row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2016 VND,01/04/2016 VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2016 VND,numeric__01/04/2016 VND
TÀI SẢN NGẮN HẠN,TÀI SẢN NGẮN HẠN,TÀI SẢN NGẮN HẠN,100,,20.258.672.447.185,19.198.308.746.841,100.0,,20258672447185.0,19198308746841.0
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,4,2.674.793.260.611,2.413.453.826.323,110.0,4.0,2674793260611.0,2413453826323.0
Tiền,Tiền,Tiền,111,,2.674.793.260.611,2.413.453.826.323,111.0,,2674793260611.0,2413453826323.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,,13.508.000.000.000,12.182.900.000.000,120.0,,13508000000000.0,12182900000000.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,123,5,13.508.000.000.000,12.182.900.000.000,123.0,5.0,13508000000000.0,12182900000000.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,3.309.436.380.493,3.837.609.061.396,130.0,,3309436380493.0,3837609061396.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,6,1.622.100.827.912,1.722.492.598.939,131.0,6.0,1622100827912.0,1722492598939.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,7,903.175.790.057,1.361.319.358.754,132.0,7.0,903175790057.0,1361319358754.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,8,815.035.748.033,753.797.103.703,136.0,8.0,815035748033.0,753797103703.0
Dự phòng các khoản phải thu khó đòi,Dự phòng các khoản phải thu khó đòi,Dự phòng các khoản phải thu khó đòi,137,11,(30.875.985.509),-,137.0,11.0,-30875985509.0,
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,140,9,426.396.172.353,376.985.382.570,140.0,9.0,426396172353.0,376985382570.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,141,,426.396.172.353,376.985.382.570,141.0,,426396172353.0,376985382570.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,340.046.633.728,387.360.476.552,150.0,,340046633728.0,387360476552.0
