row_label_raw,row_label_full,Chỉ tiêu,Mã số,Thuyết minh,Từ 01/04/2016 đến 31/12/2016 VND,Từ 01/01/2016 đến 31/03/2016 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Từ 01/04/2016 đến 31/12/2016 VND,numeric__Từ 01/01/2016 đến 31/03/2016 VND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,24,10.241.042.745.138,3.299.111.435.947,1.0,24.0,10241042745138.0,3299111435947.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,24,100.323.506.675,31.421.160.562,2.0,24.0,100323506675.0,31421160562.0
Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,10,24,10.140.719.238.463,3.267.690.275.385,10.0,24.0,10140719238463.0,3267690275385.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,25,7.025.468.290.074,1.643.470.173.869,11.0,25.0,7025468290074.0,1643470173869.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,3.115.250.948.389,1.624.220.101.516,20.0,,3115250948389.0,1624220101516.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,26,988.996.587.939,1.732.951.933.404,21.0,26.0,988996587939.0,1732951933404.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,27,91.313.628.508,897.122.689.121,22.0,27.0,91313628508.0,897122689121.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,75.244.790.879,23.087.598.449,23.0,,75244790879.0,23087598449.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,28,178.950.509.932,47.619.811.834,25.0,28.0,178950509932.0,47619811834.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,28,724.482.546.150,240.362.751.629,26.0,28.0,724482546150.0,240362751629.0
Lợi nhuận thuần từ hoạt động kinh doạnh,Lợi nhuận thuần từ hoạt động kinh doạnh,Lợi nhuận thuần từ hoạt động kinh doạnh,30,,3.109.500.851.738,2.172.066.782.336,30.0,,3109500851738.0,2172066782336.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,29,4.990.618.179,2.596.779.881.274,31.0,29.0,4990618179.0,2596779881274.0
Chi phí khác,Chi phí khác,Chi phí khác,32,30,3.428.889.725,137.533.845.400,32.0,30.0,3428889725.0,137533845400.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,40,,1.561.728.454,2.459.246.035.874,40.0,,1561728454.0,2459246035874.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,50,,3.111.062.580.192,4.631.312.818.210,50.0,,3111062580192.0,4631312818210.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,32,700.362.677.753,825.306.004.575,51.0,32.0,700362677753.0,825306004575.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,52,33,(87.477.257.903),117.613.476.241,52.0,33.0,-87477257903.0,117613476241.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,2.498.177.160.342,3.688.393.337.394,60.0,,2498177160342.0,3688393337394.0
