row_label_raw,row_label_full,col_0,31/12/2016 > Giá trịVND,31/12/2016 > Số có khả năngtrả nợVND,01/04/2016 > Giá trịVND,01/04/2016 > Số có khả năngtrả nợVND,numeric__31/12/2016 > Giá trịVND,numeric__31/12/2016 > Số có khả năngtrả nợVND,numeric__01/04/2016 > Giá trịVND,numeric__01/04/2016 > Số có khả năngtrả nợVND
Phải trả người bán ngắn hạn (tiếp),Phải trả người bán ngắn hạn (tiếp),Phải trả người bán ngắn hạn (tiếp),Phải trả người bán ngắn hạn (tiếp),Phải trả người bán ngắn hạn (tiếp),Phải trả người bán ngắn hạn (tiếp),Phải trả người bán ngắn hạn (tiếp),,,,
- Công ty Cổ phần Cơ khí Xây dựng Thương mại Đại Dũng,Phải trả người bán ngắn hạn (tiếp) > - Công ty Cổ phần Cơ khí Xây dựng Thương mại Đại Dũng,- Công ty Cổ phần Cơ khí Xây dựng Thương mại Đại Dũng,7.945.205.565,7.945.205.565,8.425.165.420,8.425.165.420,7945205565.0,7945205565.0,8425165420.0,8425165420.0
- Tổng Công ty Xây dựng công trình giao thông 4 - CTCP,Phải trả người bán ngắn hạn (tiếp) > - Tổng Công ty Xây dựng công trình giao thông 4 - CTCP,- Tổng Công ty Xây dựng công trình giao thông 4 - CTCP,7.628.219.643,7.628.219.643,-,-,7628219643.0,7628219643.0,,
- Công ty Cổ phần kết cấu thép ATAD,Phải trả người bán ngắn hạn (tiếp) > - Công ty Cổ phần kết cấu thép ATAD,- Công ty Cổ phần kết cấu thép ATAD,7.341.737.769,7.341.737.769,7.341.737.769,7.341.737.769,7341737769.0,7341737769.0,7341737769.0,7341737769.0
- Công ty Cổ phần Dịch vụ Nhiên liệu hàng không Nội Bài,Phải trả người bán ngắn hạn (tiếp) > - Công ty Cổ phần Dịch vụ Nhiên liệu hàng không Nội Bài,- Công ty Cổ phần Dịch vụ Nhiên liệu hàng không Nội Bài,6.803.975.640,6.803.975.640,5.709.383.790,5.709.383.790,6803975640.0,6803975640.0,5709383790.0,5709383790.0
- Công ty Cổ phần Vinaconex 25,Phải trả người bán ngắn hạn (tiếp) > - Công ty Cổ phần Vinaconex 25,- Công ty Cổ phần Vinaconex 25,6.743.703.956,6.743.703.956,-,-,6743703956.0,6743703956.0,,
- Công ty TNHH MTV Thiết kế và Tư vấn Xây dựng công trình hàng không ADCC,Phải trả người bán ngắn hạn (tiếp) > - Công ty TNHH MTV Thiết kế và Tư vấn Xây dựng công trình hàng không ADCC,- Công ty TNHH MTV Thiết kế và Tư vấn Xây dựng công trình hàng không ADCC,6.466.925.603,6.466.925.603,4.434.424.013,4.434.424.013,6466925603.0,6466925603.0,4434424013.0,4434424013.0
- Tổng Công ty Cơ khí Giao Thông Vận Tài Sài Gòn - TNHH MTV,Phải trả người bán ngắn hạn (tiếp) > - Tổng Công ty Cơ khí Giao Thông Vận Tài Sài Gòn - TNHH MTV,- Tổng Công ty Cơ khí Giao Thông Vận Tài Sài Gòn - TNHH MTV,6.162.550.000,6.162.550.000,-,-,6162550000.0,6162550000.0,,
- Công ty Cổ phần đầu tư phát triển kỹ thuật Hà Nội,Phải trả người bán ngắn hạn (tiếp) > - Công ty Cổ phần đầu tư phát triển kỹ thuật Hà Nội,- Công ty Cổ phần đầu tư phát triển kỹ thuật Hà Nội,6.109.935.090,6.109.935.090,-,-,6109935090.0,6109935090.0,,
- Công ty Cổ phần EUROWINDOW,Phải trả người bán ngắn hạn (tiếp) > - Công ty Cổ phần EUROWINDOW,- Công ty Cổ phần EUROWINDOW,5.864.364.256,5.864.364.256,5.864.364.256,5.864.364.256,5864364256.0,5864364256.0,5864364256.0,5864364256.0
- Công ty TNHH Liên doanh Xây dựng VIC,Phải trả người bán ngắn hạn (tiếp) > - Công ty TNHH Liên doanh Xây dựng VIC,- Công ty TNHH Liên doanh Xây dựng VIC,5.625.601.195,5.625.601.195,-,-,5625601195.0,5625601195.0,,
- Công Ty Cổ phần Avintech,Phải trả người bán ngắn hạn (tiếp) > - Công Ty Cổ phần Avintech,- Công Ty Cổ phần Avintech,5.491.200.000,5.491.200.000,-,-,5491200000.0,5491200000.0,,
- Công ty Cổ phần xuất nhập khẩu kỹ thuật-Technímex,Phải trả người bán ngắn hạn (tiếp) > - Công ty Cổ phần xuất nhập khẩu kỹ thuật-Technímex,- Công ty Cổ phần xuất nhập khẩu kỹ thuật-Technímex,5.308.067.291,5.308.067.291,-,-,5308067291.0,5308067291.0,,
- Các đối tượng khác,Phải trả người bán ngắn hạn (tiếp) > - Các đối tượng khác,- Các đối tượng khác,319.016.081.879,319.016.081.879,410.600.672.696,410.600.672.696,319016081879.0,319016081879.0,410600672696.0,410600672696.0
Phải trả người bán dài hạn,Phải trả người bán dài hạn,Phải trả người bán dài hạn,-,-,-,-,,,,
,,,1.021.692.186.338,1.021.692.186.338,860.764.370.102,860.764.370.102,1021692186338.0,1021692186338.0,860764370102.0,860764370102.0
