row_label_raw,row_label_full,col_0,Năm,numeric__Năm
"Nhà xưởng, vật kiến trúc","Nhà xưởng, vật kiến trúc","Nhà xưởng, vật kiến trúc",5 - 30,
"Máy móc, thiết bị","Máy móc, thiết bị","Máy móc, thiết bị",05 - 10,
Phương tiện vận tải,Phương tiện vận tải,Phương tiện vận tải,04 - 08,
Thiết bị dụng cụ quản lý,Thiết bị dụng cụ quản lý,Thiết bị dụng cụ quản lý,04 - 06,
