row_label_raw,row_label_full,31/12/2016,Dưới 1 nămVND > 31/12/2016,Từ 1-5 nămVND > 31/12/2016,TổngVND > 31/12/2016,numeric__Dưới 1 nămVND > 31/12/2016,numeric__Từ 1-5 nămVND > 31/12/2016,numeric__TổngVND > 31/12/2016
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,2.674.793.260.611,-,2.674.793.260.611,2674793260611.0,,2674793260611.0
Các khoản đầu tư tài chính ngắn hạn,Các khoản đầu tư tài chính ngắn hạn,Các khoản đầu tư tài chính ngắn hạn,13.508.000.000.000,-,13.508.000.000.000,13508000000000.0,,13508000000000.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,2.049.450.539.486,6.080.000.000,2.055.530.539.486,2049450539486.0,6080000000.0,2055530539486.0
,,,18.232.243.800.097,6.080.000.000,18.238.323.800.097,18232243800097.0,6080000000.0,18238323800097.0
01/04/2016,01/04/2016,01/04/2016,01/04/2016,01/04/2016,01/04/2016,,,
Tiền và các khoản tương đương tiền,01/04/2016 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,2.413.453.826.323,-,2.413.453.826.323,2413453826323.0,,2413453826323.0
Các khoản đầu tư tài chính ngắn hạn,01/04/2016 > Các khoản đầu tư tài chính ngắn hạn,Các khoản đầu tư tài chính ngắn hạn,12.182.900.000.000,-,12.182.900.000.000,12182900000000.0,,12182900000000.0
Phải thu khách hàng và phải thu khác,01/04/2016 > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,2.288.492.104.789,65.000.000,2.288.557.104.789,2288492104789.0,65000000.0,2288557104789.0
,,,16.884.845.931.112,65.000.000,16.884.910.931.112,16884845931112.0,65000000.0,16884910931112.0
