row_label_raw,row_label_full,col_0,31/12/2016 > Giá gốcVND,31/12/2016 > Dự phòngVND,31/12/2016 > Giá trị hợp lýVND,31/12/2016 > Tỷ lệ sở hữu%,01/04/2016 > Giá gốcVND,01/04/2016 > Giá trị hợp lýVND,01/04/2016 > Tỷ lệ sở hữu%,numeric__31/12/2016 > Giá gốcVND,numeric__31/12/2016 > Dự phòngVND,numeric__31/12/2016 > Giá trị hợp lýVND,numeric__31/12/2016 > Tỷ lệ sở hữu%,numeric__01/04/2016 > Giá gốcVND,numeric__01/04/2016 > Giá trị hợp lýVND,numeric__01/04/2016 > Tỷ lệ sở hữu%
Các khoản đầu tư vào công ty con,Các khoản đầu tư vào công ty con,Các khoản đầu tư vào công ty con,1.682.973.000.000,-,1.850.994.000.000,,2.267.839.016.655,2.267.839.016.655,,1682973000000.0,,1850994000000.0,,2267839016655.0,2267839016655.0,
Công ty Cổ phần Dịch vụ Hàng không sân bay Tân Sơn Nhất (1),Công ty Cổ phần Dịch vụ Hàng không sân bay Tân Sơn Nhất (1),Công ty Cổ phần Dịch vụ Hàng không sân bay Tân Sơn Nhất (1),1.622.973.000.000,-,1.850.994.000.000,"51,00%",1.622.973.000.000,1.622.973.000.000,"51,00%",1622973000000.0,,1850994000000.0,0.51,1622973000000.0,1622973000000.0,0.51
Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,-,-,-,-,584.985.598.000,584.985.598.000,"55,51%",,,,,584985598000.0,584985598000.0,0.5550999999999999
Công ty Cổ phần Dịch vụ nhiên liệu Hàng không Nội Bài (2),Công ty Cổ phần Dịch vụ nhiên liệu Hàng không Nội Bài (2),Công ty Cổ phần Dịch vụ nhiên liệu Hàng không Nội Bài (2),60.000.000.000,-,-,"60,00%",59.880.418.655,59.880.418.655,"60,00%",60000000000.0,,,0.6,59880418655.0,59880418655.0,0.6
"Các khoản đầu tư vào công ty liên doanh, liên kết","Các khoản đầu tư vào công ty liên doanh, liên kết","Các khoản đầu tư vào công ty liên doanh, liên kết",642.992.463.558,-,1.356.772.381.230,,132.454.514.258,132.454.514.258,,642992463558.0,,1356772381230.0,,132454514258.0,132454514258.0,
Công ty Cổ phần Phục vụ Mặt đất Sài Gòn (1),Công ty Cổ phần Phục vụ Mặt đất Sài Gòn (1),Công ty Cổ phần Phục vụ Mặt đất Sài Gòn (1),514.287.949.300,-,1.356.772.381.230,"48,00%",-,-,-,514287949300.0,,1356772381230.0,0.48,,,
Công ty Cổ phần Dịch vụ Hàng hóa Hàng không Việt Nam(2),Công ty Cổ phần Dịch vụ Hàng hóa Hàng không Việt Nam(2),Công ty Cổ phần Dịch vụ Hàng hóa Hàng không Việt Nam(2),57.097.637.810,-,-,"20,00%",60.847.637.810,60.847.637.810,"20,00%",57097637810.0,,,0.2,60847637810.0,60847637810.0,0.2
Công ty Cổ phần Phục vụ Mặt đất Hà Nội (2),Công ty Cổ phần Phục vụ Mặt đất Hà Nội (2),Công ty Cổ phần Phục vụ Mặt đất Hà Nội (2),31.420.141.377,-,-,"20,00%",31.420.141.377,31.420.141.377,"20,00%",31420141377.0,,,0.2,31420141377.0,31420141377.0,0.2
Công ty TNHH Dịch vụ Bảo dưỡng máy bay Cảng hàng không Miền Nam (2),Công ty TNHH Dịch vụ Bảo dưỡng máy bay Cảng hàng không Miền Nam (2),Công ty TNHH Dịch vụ Bảo dưỡng máy bay Cảng hàng không Miền Nam (2),17.762.129.489,-,-,"51,00%",17.762.129.489,17.762.129.489,"51,00%",17762129489.0,,,0.51,17762129489.0,17762129489.0,0.51
Công ty Cổ phần Vận tải Hàng không Miền Nam (2),Công ty Cổ phần Vận tải Hàng không Miền Nam (2),Công ty Cổ phần Vận tải Hàng không Miền Nam (2),14.876.737.921,-,-,"30,00%",14.876.737.921,14.876.737.921,"30,00%",14876737921.0,,,0.3,14876737921.0,14876737921.0,0.3
Công ty Cổ phần Thương mại Hàng không Miền Nam (2),Công ty Cổ phần Thương mại Hàng không Miền Nam (2),Công ty Cổ phần Thương mại Hàng không Miền Nam (2),7.547.867.661,-,-,"29,53%",7.547.867.661,7.547.867.661,"29,53%",7547867661.0,,,0.2953,7547867661.0,7547867661.0,0.2953
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,199.007.763.662,(1.300.000.000),-,,137.067.763.662,137.067.763.662,,199007763662.0,-1300000000.0,,,137067763662.0,137067763662.0,
Công ty Cổ phần Dịch vụ hàng hóa Sài Gòn (2),Công ty Cổ phần Dịch vụ hàng hóa Sài Gòn (2),Công ty Cổ phần Dịch vụ hàng hóa Sài Gòn (2),84.207.763.662,-,-,"14,05%",84.207.763.662,84.207.763.662,"14,05%",84207763662.0,,,0.1405,84207763662.0,84207763662.0,0.1405
