row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Thuyết minh,31/12/2016 VND,01/04/2016 VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2016 VND,numeric__01/04/2016 VND
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,300,,21.187.074.651.157,23.498.423.330.802,300.0,,21187074651157.0,23498423330802.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,310,,6.618.571.070.317,9.203.184.446.319,310.0,,6618571070317.0,9203184446319.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,17,1.021.692.186.338,860.764.370.102,311.0,17.0,1021692186338.0,860764370102.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,312,,4.616.897.682,7.287.789.972,312.0,,4616897682.0,7287789972.0
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,18,186.475.509.377,3.246.432.310.355,313.0,18.0,186475509377.0,3246432310355.0
Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,314,,1.065.843.031.056,703.231.015.034,314.0,,1065843031056.0,703231015034.0
Chỉ phí phải trả ngắn hạn,Chỉ phí phải trả ngắn hạn,Chỉ phí phải trả ngắn hạn,315,20,1.492.018.127.664,1.391.794.362.561,315.0,20.0,1492018127664.0,1391794362561.0
Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,318,,17.389.468.433,31.428.821.767,318.0,,17389468433.0,31428821767.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,21,2.029.978.763.116,2.184.695.843.986,319.0,21.0,2029978763116.0,2184695843986.0
Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,320,19,143.286.029.602,145.698.498.468,320.0,19.0,143286029602.0,145698498468.0
"Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",322,,657.271.057.049,631.851.434.074,322.0,,657271057049.0,631851434074.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,330,,14.568.503.580.840,14.295.238.884.483,330.0,,14568503580840.0,14295238884483.0
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,337,21,61.892.108.541,33.535.030.446,337.0,21.0,61892108541.0,33535030446.0
Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,338,19,13.961.611.472.299,14.261.703.854.037,338.0,19.0,13961611472299.0,14261703854037.0
Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,342,22,545.000.000.000,-,342.0,22.0,545000000000.0,
VỐN CHỦ SỐ HỮU,VỐN CHỦ SỐ HỮU,VỐN CHỦ SỐ HỮU,400,,23.996.007.710.183,21.786.335.150.587,400.0,,23996007710183.0,21786335150587.0
Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,410,23,23.996.007.710.183,21.786.335.150.587,410.0,23.0,23996007710183.0,21786335150587.0
Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,411,,21.771.732.360.000,21.771.732.360.000,411.0,,21771732360000.0,21771732360000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,21.771.732.360.000,21.771.732.360.000,,,21771732360000.0,21771732360000.0
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,,14.602.790.587,14.602.790.587,412.0,,14602790587.0,14602790587.0
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,418,,450.015.282.490,-,418.0,,450015282490.0,
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,1.759.657.277.106,-,421.0,,1759657277106.0,
- LNST chưa phân phối kỳ này,- LNST chưa phân phối kỳ này,- LNST chưa phân phối kỳ này,421b,,1.759.657.277.106,-,,,1759657277106.0,
TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,440,,45.183.082.361.340,45.284.758.481.389,440.0,,45183082361340.0,45284758481389.0
