row_label_raw,row_label_full,Chỉ tiêu,Dịch vụ > VND,Bán hàng > VND,Tổng cộng toàn Tổng Công ty VND,numeric__Dịch vụ > VND,numeric__Bán hàng > VND,numeric__Tổng cộng toàn Tổng Công ty VND
KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,,,
Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,KẾT QUẢ KINH DOANH > Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,9.239.592.048.295,901.127.190.168,10.140.719.238.463,9239592048295.0,901127190168.0,10140719238463.0
Tổng Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,KẾT QUẢ KINH DOANH > Tổng Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Tổng Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,9.239.592.048.295,901.127.190.168,10.140.719.238.463,9239592048295.0,901127190168.0,10140719238463.0
Chi phí bộ phận,Chi phí bộ phận,Chi phí bộ phận,Chi phí bộ phận,Chi phí bộ phận,Chi phí bộ phận,,,
- Giá vốn hàng bán,Chi phí bộ phận > - Giá vốn hàng bán,- Giá vốn hàng bán,6.420.179.914.098,605.288.375.976,7.025.468.290.074,6420179914098.0,605288375976.0,7025468290074.0
- Chi phí bán hàng,Chi phí bộ phận > - Chi phí bán hàng,- Chi phí bán hàng,-,178.950.509.932,178.950.509.932,,178950509932.0,178950509932.0
Kết quả kinh doanh theo bộ phận,Chi phí bộ phận > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,2.819.412.134.197,116.888.304.260,2.936.300.438.457,2819412134197.0,116888304260.0,2936300438457.0
Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,
Chi phí quản lý doanh nghiệp,Các chi phí không phân bổ theo bộ phận > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,724.482.546.150,,,724482546150.0
Doanh thu hoạt động tài chính,Các chi phí không phân bổ theo bộ phận > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,988.996.587.939,,,988996587939.0
Chi phí tài chính,Các chi phí không phân bổ theo bộ phận > Chi phí tài chính,Chi phí tài chính,,,91.313.628.508,,,91313628508.0
Thu nhập khác,Các chi phí không phân bổ theo bộ phận > Thu nhập khác,Thu nhập khác,,,4.990.618.179,,,4990618179.0
Chi phí khác,Các chi phí không phân bổ theo bộ phận > Chi phí khác,Chi phí khác,,,3.428.889.725,,,3428889725.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Các chi phí không phân bổ theo bộ phận > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,700.362.677.753,,,700362677753.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Các chi phí không phân bổ theo bộ phận > Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,(87.477.257.903),,,-87477257903.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Các chi phí không phân bổ theo bộ phận > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,2.498.177.160.342,,,2498177160342.0
Tài sản không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận > Tài sản không phân bổ theo bộ phận,Tài sản không phân bổ theo bộ phận,,,45.183.082.361.340,,,45183082361340.0
Nợ phải trả không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận > Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,21.187.074.651.157,,,21187074651157.0
Tổng chi phí đã phát sinh trong niên độ để mua tài sản cố định,Các chi phí không phân bổ theo bộ phận > Tổng chi phí đã phát sinh trong niên độ để mua tài sản cố định,Tổng chi phí đã phát sinh trong niên độ để mua tài sản cố định,,,2.914.164.642.203,,,2914164642203.0
Tổng chi phí khấu hao TSCĐ và phân bổ chi phí trả trước dài hạn của bộ phận,Tổng chi phí khấu hao TSCĐ và phân bổ chi phí trả trước dài hạn của bộ phận,Tổng chi phí khấu hao TSCĐ và phân bổ chi phí trả trước dài hạn của bộ phận,Tổng chi phí khấu hao TSCĐ và phân bổ chi phí trả trước dài hạn của bộ phận,Tổng chi phí khấu hao TSCĐ và phân bổ chi phí trả trước dài hạn của bộ phận,Tổng chi phí khấu hao TSCĐ và phân bổ chi phí trả trước dài hạn của bộ phận,,,
- Chi phí khấu hao TSCĐ,Tổng chi phí khấu hao TSCĐ và phân bổ chi phí trả trước dài hạn của bộ phận > - Chi phí khấu hao TSCĐ,- Chi phí khấu hao TSCĐ,,,3.377.659.475.811,,,3377659475811.0
- Phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao TSCĐ và phân bổ chi phí trả trước dài hạn của bộ phận > - Phân bổ chi phí trả trước dài hạn,- Phân bổ chi phí trả trước dài hạn,,,19.167.376.120,,,19167376120.0
