row_label_raw,row_label_full,col_0,Từ 01/04/2016đến 31/12/2016VND,Từ 01/01/2016đến 31/03/2016VND,numeric__Từ 01/04/2016đến 31/12/2016VND,numeric__Từ 01/01/2016đến 31/03/2016VND
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,1.730.018.097.268,658.673.556.664,1730018097268.0,658673556664.0
"Chi phí vật liệu, công cụ dụng cụ, đồ dùng văn phòng","Chi phí vật liệu, công cụ dụng cụ, đồ dùng văn phòng","Chi phí vật liệu, công cụ dụng cụ, đồ dùng văn phòng",104.369.513.222,27.282.453.521,104369513222.0,27282453521.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,3.375.797.630.230,941.624.443.786,3375797630230.0,941624443786.0
"Thuế, phí, lệ phí","Thuế, phí, lệ phí","Thuế, phí, lệ phí",47.700.450.006,19.243.353.423,47700450006.0,19243353423.0
Chi phí sửa chữa tài sản,Chi phí sửa chữa tài sản,Chi phí sửa chữa tài sản,777.013.095.462,(251.313.085.764),777013095462.0,-251313085764.0
"Chi phí bảo hiểm hàng không, phi hàng không","Chi phí bảo hiểm hàng không, phi hàng không","Chi phí bảo hiểm hàng không, phi hàng không",15.781.500.436,5.405.434.824,15781500436.0,5405434824.0
"Chi phí điện, nước, thông tin liên lạc","Chi phí điện, nước, thông tin liên lạc","Chi phí điện, nước, thông tin liên lạc",309.190.404.038,81.285.533.476,309190404038.0,81285533476.0
Chi phí dịch vụ mua ngoài khác,Chi phí dịch vụ mua ngoài khác,Chi phí dịch vụ mua ngoài khác,370.415.388.161,47.551.888.083,370415388161.0,47551888083.0
"Chi hoa hồng, môi giới","Chi hoa hồng, môi giới","Chi hoa hồng, môi giới",76.318.703.835,24.710.657.499,76318703835.0,24710657499.0
Chi phí phúc lợi cho người lao động,Chi phí phúc lợi cho người lao động,Chi phí phúc lợi cho người lao động,32.098.952.340,10.767.690.848,32098952340.0,10767690848.0
Chi phí công tác phí,Chi phí công tác phí,Chi phí công tác phí,26.790.988.134,7.502.091.796,26790988134.0,7502091796.0
Phí nhượng quyền khai thác,Phí nhượng quyền khai thác,Phí nhượng quyền khai thác,142.345.520.000,44.547.630.000,142345520000.0,44547630000.0
Chi phí điều hành và thương quyền hợp tác kinh doanh,Chi phí điều hành và thương quyền hợp tác kinh doanh,Chi phí điều hành và thương quyền hợp tác kinh doanh,80.790.374.339,20.786.598.488,80790374339.0,20786598488.0
Chi phí khác bằng tiền,Chi phí khác bằng tiền,Chi phí khác bằng tiền,204.106.367.200,72.253.512.420,204106367200.0,72253512420.0
Trích lập dự phòng phải thu khó đòi,Trích lập dự phòng phải thu khó đòi,Trích lập dự phòng phải thu khó đòi,30.875.985.509,-,30875985509.0,
,,,7.323.612.970.180,1.710.579.725.564,7323612970180.0,1710579725564.0
