row_label_raw,row_label_full,Chỉ tiêu,Dịch vụ > VND,Bán hàng > VND,Tổng cộng toàn Tổng Công ty VND,numeric__Dịch vụ > VND,numeric__Bán hàng > VND,numeric__Tổng cộng toàn Tổng Công ty VND
KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,KẾT QUẢ KINH DOANH,,,
Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,KẾT QUẢ KINH DOANH > Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,2.948.575.454.425,319.114.820.960,3.267.690.275.385,2948575454425.0,319114820960.0,3267690275385.0
Tổng Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,KẾT QUẢ KINH DOANH > Tổng Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Tổng Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,2.948.575.454.425,319.114.820.960,3.267.690.275.385,2948575454425.0,319114820960.0,3267690275385.0
Chi phí bộ phận,Chi phí bộ phận,Chi phí bộ phận,Chi phí bộ phận,Chi phí bộ phận,Chi phí bộ phận,,,
- Giá vốn hàng bán,Chi phí bộ phận > - Giá vốn hàng bán,- Giá vốn hàng bán,1.422.597.162.101,220.873.011.768,1.643.470.173.869,1422597162101.0,220873011768.0,1643470173869.0
- Chi phí bán hàng,Chi phí bộ phận > - Chi phí bán hàng,- Chi phí bán hàng,-,47.619.811.834,47.619.811.834,,47619811834.0,47619811834.0
Kết quả kinh doanh theo bộ phận,Chi phí bộ phận > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,1.525.978.292.324,50.621.997.358,1.576.600.289.682,1525978292324.0,50621997358.0,1576600289682.0
Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,
Chi phí quản lý doanh nghiệp,Các chi phí không phân bổ theo bộ phận > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,240.362.751.629,,,240362751629.0
Doanh thu hoạt động tài chính,Các chi phí không phân bổ theo bộ phận > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,1.732.951.933.404,,,1732951933404.0
Chi phí tài chính,Các chi phí không phân bổ theo bộ phận > Chi phí tài chính,Chi phí tài chính,,,897.122.689.121,,,897122689121.0
Thu nhập khác,Các chi phí không phân bổ theo bộ phận > Thu nhập khác,Thu nhập khác,,,2.596.779.881.274,,,2596779881274.0
Chi phí khác,Các chi phí không phân bổ theo bộ phận > Chi phí khác,Chi phí khác,,,137.533.845.400,,,137533845400.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Các chi phí không phân bổ theo bộ phận > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,825.306.004.575,,,825306004575.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Các chi phí không phân bổ theo bộ phận > Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,117.613.476.241,,,117613476241.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Các chi phí không phân bổ theo bộ phận > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,3.688.393.337.394,,,3688393337394.0
Tài sản không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận > Tài sản không phân bổ theo bộ phận,Tài sản không phân bổ theo bộ phận,,,45.284.758.481.389,,,45284758481389.0
Nợ phải trả không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận > Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,23.498.423.330.802,,,23498423330802.0
Tổng chi phí đã phát sinh trong niên độ để mua tài sản cố định,Các chi phí không phân bổ theo bộ phận > Tổng chi phí đã phát sinh trong niên độ để mua tài sản cố định,Tổng chi phí đã phát sinh trong niên độ để mua tài sản cố định,,,1.001.901.051.618,,,1001901051618.0
Tổng chi phí khấu hao TSCĐ và phân bổ chi phí trả trước dài hạn của bộ phận,Tổng chi phí khấu hao TSCĐ và phân bổ chi phí trả trước dài hạn của bộ phận,Tổng chi phí khấu hao TSCĐ và phân bổ chi phí trả trước dài hạn của bộ phận,Tổng chi phí khấu hao TSCĐ và phân bổ chi phí trả trước dài hạn của bộ phận,Tổng chi phí khấu hao TSCĐ và phân bổ chi phí trả trước dài hạn của bộ phận,Tổng chi phí khấu hao TSCĐ và phân bổ chi phí trả trước dài hạn của bộ phận,,,
- Chi phí khấu hao TSCĐ,Tổng chi phí khấu hao TSCĐ và phân bổ chi phí trả trước dài hạn của bộ phận > - Chi phí khấu hao TSCĐ,- Chi phí khấu hao TSCĐ,,,901.371.940.131,,,901371940131.0
- Phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao TSCĐ và phân bổ chi phí trả trước dài hạn của bộ phận > - Phân bổ chi phí trả trước dài hạn,- Phân bổ chi phí trả trước dài hạn,,,25.005.468.648,,,25005468648.0
