row_label_raw,row_label_full,col_0,Từ 01/04/2016đến 31/12/2016VND,Từ 01/01/2016đến 31/03/2016VND,numeric__Từ 01/04/2016đến 31/12/2016VND,numeric__Từ 01/01/2016đến 31/03/2016VND
Thu bảo hiểm bồi thường,Thu bảo hiểm bồi thường,Thu bảo hiểm bồi thường,1.730.106.229,2.608.672.804,1730106229.0,2608672804.0
Thu do vi phạm Hợp đồng,Thu do vi phạm Hợp đồng,Thu do vi phạm Hợp đồng,551.512.752,50.723.900,551512752.0,50723900.0
Thu bán hồ sơ thầu,Thu bán hồ sơ thầu,Thu bán hồ sơ thầu,114.572.705,16.018.634,114572705.0,16018634.0
"Nhiên liệu, vật tư bàn giao cho Sags","Nhiên liệu, vật tư bàn giao cho Sags","Nhiên liệu, vật tư bàn giao cho Sags",1.324.833.541,-,1324833541.0,
Hoàn nhập chi phí sửa chữa lớn theo chu kỳ từ2012 đến 31/12/2015,Hoàn nhập chi phí sửa chữa lớn theo chu kỳ từ2012 đến 31/12/2015,Hoàn nhập chi phí sửa chữa lớn theo chu kỳ từ2012 đến 31/12/2015,-,2.047.311.324.981,,2047311324981.0
Hoàn nhập chi phí trích trước tiền thuê đất đến30/06/2014,Hoàn nhập chi phí trích trước tiền thuê đất đến30/06/2014,Hoàn nhập chi phí trích trước tiền thuê đất đến30/06/2014,-,441.455.000.000,,441455000000.0
Thu bồi thường giải phóng mặt bằng,Thu bồi thường giải phóng mặt bằng,Thu bồi thường giải phóng mặt bằng,-,96.607.341.690,,96607341690.0
Thu tiền đến bù ống nước hư hỏng,Thu tiền đến bù ống nước hư hỏng,Thu tiền đến bù ống nước hư hỏng,201.565.702,,201565702.0,
Thu nhập khác,Thu nhập khác,Thu nhập khác,1.068.027.250,8.730.799.265,1068027250.0,8730799265.0
,,,4.990.618.179,2.596.779.881.274,4990618179.0,2596779881274.0
Trong đó: Thu nhập khác với bên liên quan,Trong đó: Thu nhập khác với bên liên quan,Trong đó: Thu nhập khác với bên liên quan,Trong đó: Thu nhập khác với bên liên quan,Trong đó: Thu nhập khác với bên liên quan,,
Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,Trong đó: Thu nhập khác với bên liên quan > Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,1.324.833.541,-,1324833541.0,
Công ty Cổ phần Dịch vụ Hàng không sânbay Tân Sơn Nhất,Trong đó: Thu nhập khác với bên liên quan > Công ty Cổ phần Dịch vụ Hàng không sânbay Tân Sơn Nhất,Công ty Cổ phần Dịch vụ Hàng không sânbay Tân Sơn Nhất,40.454.545,-,40454545.0,
,,,1.365.288.086,-,1365288086.0,
