row_label_raw,row_label_full,Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi,31/12/2016 > Giá gốcVND > 30.875.985.509,31/12/2016 > Trích lập dự phòngVND > (30.875.985.509),31/12/2016 > Giá trị có thể thu hồiVND > -,01/04/2016 > Giá gốcVND > 30.912.654.309,01/04/2016 > Trích lập dự phòngVND > -,numeric__31/12/2016 > Giá gốcVND > 30.875.985.509,numeric__31/12/2016 > Trích lập dự phòngVND > (30.875.985.509),numeric__31/12/2016 > Giá trị có thể thu hồiVND > -,numeric__01/04/2016 > Giá gốcVND > 30.912.654.309,numeric__01/04/2016 > Trích lập dự phòngVND > -
CTCP Hàng không Mê Kông (Air Mekong),CTCP Hàng không Mê Kông (Air Mekong),CTCP Hàng không Mê Kông (Air Mekong),25.907.942.217,(25.907.942.217),-,25.907.942.217,-,25907942217.0,-25907942217.0,,25907942217.0,
Hăng Hàng không Transaero Airlines,Hăng Hàng không Transaero Airlines,Hăng Hàng không Transaero Airlines,2.645.440.325,(2.645.440.325),-,2.645.440.325,-,2645440325.0,-2645440325.0,,2645440325.0,
Hăng Hàng không SW Italia Spa (Nội Bài),Hăng Hàng không SW Italia Spa (Nội Bài),Hăng Hàng không SW Italia Spa (Nội Bài),1.283.928.262,(1.283.928.262),-,1.283.928.262,-,1283928262.0,-1283928262.0,,1283928262.0,
Công ty CP TMDV thương hiệu Interbrand Viet Nam,Công ty CP TMDV thương hiệu Interbrand Viet Nam,Công ty CP TMDV thương hiệu Interbrand Viet Nam,283.008.000,(283.008.000),-,283.008.000,-,283008000.0,-283008000.0,,283008000.0,
Công ty CP Hiệp Hòa Phát -,Công ty CP Hiệp Hòa Phát -,Công ty CP Hiệp Hòa Phát -,297.000.000,(297.000.000),-,297.000.000,-,297000000.0,-297000000.0,,297000000.0,
Công ty TNHH Sen Việt,Công ty TNHH Sen Việt,Công ty TNHH Sen Việt,79.040.000,(79.040.000),-,79.040.000,-,79040000.0,-79040000.0,,79040000.0,
Công ty CP Thông tin Du lịch,Công ty CP Thông tin Du lịch,Công ty CP Thông tin Du lịch,79.265.085,(79.265.085),-,79.265.085,-,79265085.0,-79265085.0,,79265085.0,
CTCP ĐTXD Trung Nam,CTCP ĐTXD Trung Nam,CTCP ĐTXD Trung Nam,79.000.000,(79.000.000),-,79.000.000,-,79000000.0,-79000000.0,,79000000.0,
Đối tượng khác,Đối tượng khác,Đối tượng khác,221.361.620,(221.361.620),-,258.030.420,-,221361620.0,-221361620.0,,258030420.0,
,,,30.875.985.509,(30.875.985.509),-,30.912.654.309,-,30875985509.0,-30875985509.0,,30912654309.0,
