row_label_raw,row_label_full,31/12/2016,Dưới 1 năm VND > 31/12/2016,Từ 1-5 năm VND > 31/12/2016,Tổng cộng VND > 31/12/2016,numeric__Dưới 1 năm VND > 31/12/2016,numeric__Từ 1-5 năm VND > 31/12/2016,numeric__Tổng cộng VND > 31/12/2016
Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,143.286.029.602,13.961.611.472.299,14.104.897.501.901,143286029602.0,13961611472299.0,14104897501901.0
Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,1.136.202.613.689,61.892.108.541,1.198.094.722.230,1136202613689.0,61892108541.0,1198094722230.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,1.492.018.127.664,-,1.492.018.127.664,1492018127664.0,,1492018127664.0
Dự phòng phải trả,Dự phòng phải trả,Dự phòng phải trả,-,545.000.000.000,545.000.000.000,,545000000000.0,545000000000.0
,,,2.771.506.770.955,14.568.503.580.840,17.340.010.351.795,2771506770955.0,14568503580840.0,17340010351795.0
01/04/2016,01/04/2016,01/04/2016,01/04/2016,01/04/2016,01/04/2016,,,
Vay và nợ ngắn hạn,01/04/2016 > Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,145.698.498.468,14.261.703.854.037,14.407.402.352.505,145698498468.0,14261703854037.0,14407402352505.0
Phải trả người bán và phải trả khác,01/04/2016 > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,877.890.377.414,33.535.030.446,911.425.407.860,877890377414.0,33535030446.0,911425407860.0
Chi phí phải trả,01/04/2016 > Chi phí phải trả,Chi phí phải trả,1.391.794.362.561,-,1.391.794.362.561,1391794362561.0,,1391794362561.0
Dự phòng phải trả,Dự phòng phải trả,Dự phòng phải trả,-,-,-,,,
,,,2.415.383.238.443,14.295.238.884.483,16.710.622.122.926,2415383238443.0,14295238884483.0,16710622122926.0
