row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Chênh lệch đánh giá lại tài sản,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Nguồn vốn đầu tư xây dựng cơ bản,Quỹ hỗ trợ sắp xếp doanh nghiệp,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Chênh lệch đánh giá lại tài sản,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Nguồn vốn đầu tư xây dựng cơ bản,numeric__Quỹ hỗ trợ sắp xếp doanh nghiệp,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
01/01/2016,01/01/2016,01/01/2016,17.093.269.312.227,-,342.731.552.995,-,1.742.332.993.922,-,587.575.433.242,19.765.909.292.386,17093269312227.0,,342731552995.0,,1742332993922.0,,587575433242.0,19765909292386.0
- Tăng/giảm vốn trong kỳ,- Tăng/giảm vốn trong kỳ,- Tăng/giảm vốn trong kỳ,(212.768.335.327),14.602.790.587,-,1.215.070.585.327,-,-,988.863.399,1.017.893.903.986,-212768335327.0,14602790587.0,,1215070585327.0,,,988863399.0,1017893903986.0
- Kết chuyển tăng vốn từ các quỹ,- Kết chuyển tăng vốn từ các quỹ,- Kết chuyển tăng vốn từ các quỹ,7.309.757.698.986,-,(5.426.961.960.723),-,(1.742.332.993.922),(140.462.744.341),-,-,7309757698986.0,,-5426961960723.0,,-1742332993922.0,-140462744341.0,,
- Tăng vốn đầu tư từ NSNN,- Tăng vốn đầu tư từ NSNN,- Tăng vốn đầu tư từ NSNN,-,-,-,-,-,140.462.744.341,-,140.462.744.341,,,,,,140462744341.0,,140462744341.0
- Kết chuyển tài sản thuộc khu bay,- Kết chuyển tài sản thuộc khu bay,- Kết chuyển tài sản thuộc khu bay,(2.292.759.652.841),-,-,-,-,-,-,(2.292.759.652.841),-2292759652841.0,,,,,,,-2292759652841.0
- Lãi trong kỳ,- Lãi trong kỳ,- Lãi trong kỳ,-,-,-,-,3.688.393.337.394,-,-,3.688.393.337.394,,,,,3688393337394.0,,,3688393337394.0
- Phân phối lợi nhuận,- Phân phối lợi nhuận,- Phân phối lợi nhuận,-,-,-,1.106.099.726.218,(1.248.761.364.978),-,-,(142.661.638.760),,,,1106099726218.0,-1248761364978.0,,,-142661638760.0
- Nộp lợi nhuận còn lại vào NSNN,- Nộp lợi nhuận còn lại vào NSNN,- Nộp lợi nhuận còn lại vào NSNN,-,-,-,-,(2.438.237.722.416),-,-,(2.438.237.722.416),,,,,-2438237722416.0,,,-2438237722416.0
- Đánh giá lại tài sản theo biên bàn xác định giá trị doanh nghiệp,- Đánh giá lại tài sản theo biên bàn xác định giá trị doanh nghiệp,- Đánh giá lại tài sản theo biên bàn xác định giá trị doanh nghiệp,-,-,5.084.230.407.728,-,-,-,-,5.084.230.407.728,,,5084230407728.0,,,,,5084230407728.0
"- Tăng Quỹ hỗ trợ sắp xếp doanh nghiệp bằng Lợi nhuận, quỹ và đánh giá lại tài sản khi cổ phần hóa thu từ các công ty con","- Tăng Quỹ hỗ trợ sắp xếp doanh nghiệp bằng Lợi nhuận, quỹ và đánh giá lại tài sản khi cổ phần hóa thu từ các công ty con","- Tăng Quỹ hỗ trợ sắp xếp doanh nghiệp bằng Lợi nhuận, quỹ và đánh giá lại tài sản khi cổ phần hóa thu từ các công ty con",-,-,-,-,-,-,34.990.602.020,34.990.602.020,,,,,,,34990602020.0,34990602020.0
- Nộp về Quỹ hỗ trợ sắp xếp và phát triển doanh nghiệp sau khi kết chuyển vốn điều lệ theo Ouyết định 59/QĐ-GTVT,- Nộp về Quỹ hỗ trợ sắp xếp và phát triển doanh nghiệp sau khi kết chuyển vốn điều lệ theo Ouyết định 59/QĐ-GTVT,- Nộp về Quỹ hỗ trợ sắp xếp và phát triển doanh nghiệp sau khi kết chuyển vốn điều lệ theo Ouyết định 59/QĐ-GTVT,(125.766.663.045),-,-,(2.321.170.311.545),-,-,(622.552.682.661),(3.069.489.657.251),-125766663045.0,,,-2321170311545.0,,,-622552682661.0,-3069489657251.0
- Hoàn trả tiền đặt cọc cho nhà đầu tư,- Hoàn trả tiền đặt cọc cho nhà đầu tư,- Hoàn trả tiền đặt cọc cho nhà đầu tư,-,-,-,-,-,-,(1.002.051.000),(1.002.051.000),,,,,,,-1002051000.0,-1002051000.0
- Giảm khác,- Giảm khác,- Giảm khác,-,-,-,-,(1.394.250.000),-,(165.000),(1.394.415.000),,,,,-1394250000.0,,-165000.0,-1394415000.0
31/03/2016,31/03/2016,31/03/2016,21.771.732.360.000,14.602.790.587,-,-,-,-,-,21.786.335.150.587,21771732360000.0,14602790587.0,,,,,,21786335150587.0
