row_label_raw,row_label_full,col_0,31/12/2016 > Giá trịVND,31/12/2016 > Thuế suất%,31/12/2016 > Số thuế hoãn lạiVND,01/04/2016 > Giá trịVND,01/04/2016 > Thuế suất%,01/04/2016 > Số thuế hoãn lạiVND,numeric__31/12/2016 > Giá trịVND,numeric__31/12/2016 > Thuế suất%,numeric__31/12/2016 > Số thuế hoãn lạiVND,numeric__01/04/2016 > Giá trịVND,numeric__01/04/2016 > Thuế suất%,numeric__01/04/2016 > Số thuế hoãn lạiVND
Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,1.099.230.434.572,,219.846.086.913,647.434.811.508,,129.486.962.301,1099230434572.0,,219846086913.0,647434811508.0,,129486962301.0
+ Trích trước chi phí sữa chữa lớn tài sản trong khu bay,+ Trích trước chi phí sữa chữa lớn tài sản trong khu bay,+ Trích trước chi phí sữa chữa lớn tài sản trong khu bay,545.000.000.000,20%,109.000.000.000,-,20%,-,545000000000.0,0.2,109000000000.0,,0.2,
+ Chi phí thuê đất trích trước đến 31/12/2016,+ Chi phí thuê đất trích trước đến 31/12/2016,+ Chi phí thuê đất trích trước đến 31/12/2016,63.346.974.235,20%,12.669.394.847,436.097.312.015,20%,87.219.462.403,63346974235.0,0.2,12669394847.0,436097312015.0,0.2,87219462403.0
+ Trích trước chi phí thuê tài sản trong khu bay của Nhà nước,+ Trích trước chi phí thuê tài sản trong khu bay của Nhà nước,+ Trích trước chi phí thuê tài sản trong khu bay của Nhà nước,205.000.000.000,20%,41.000.000.000,-,20%,-,205000000000.0,0.2,41000000000.0,,0.2,
+ Khấu hao tài sản tạm tăng,+ Khấu hao tài sản tạm tăng,+ Khấu hao tài sản tạm tăng,235.527.077.189,20%,47.105.415.437,147.701.114.969,20%,29.540.222.993,235527077189.0,0.2,47105415437.0,147701114969.0,0.2,29540222993.0
+ Chi phí sửa chữa lớn tài sản cố định tại các cảng chưa có đủ hóa đơn chứng từ,+ Chi phí sửa chữa lớn tài sản cố định tại các cảng chưa có đủ hóa đơn chứng từ,+ Chi phí sửa chữa lớn tài sản cố định tại các cảng chưa có đủ hóa đơn chứng từ,47.709.950.986,20%,9.541.990.197,50.393.012.119,20%,10.078.602.424,47709950986.0,0.2,9541990197.0,50393012119.0,0.2,10078602424.0
+ Trích lập dự phòng đầu tư tài chính TCP,+ Trích lập dự phòng đầu tư tài chính TCP,+ Trích lập dự phòng đầu tư tài chính TCP,1.300.000.000,20%,260.000.000,-,,-,1300000000.0,0.2,260000000.0,,,
+ Dự phòng phải thu khó đòi vượt tỷ lệ theo Thông tư 228/2009/TT-BTC,+ Dự phòng phải thu khó đòi vượt tỷ lệ theo Thông tư 228/2009/TT-BTC,+ Dự phòng phải thu khó đòi vượt tỷ lệ theo Thông tư 228/2009/TT-BTC,1.346.432.162,20%,269.286.432,-,,-,1346432162.0,0.2,269286432.0,,,
+ Chi phí tham quan nghi mát chưa có hóa đơn Lỗ CLTG do đánh giá lại tiền và phải thu tại thời điểm kết thúc kỳ kế toán,+ Chi phí tham quan nghi mát chưa có hóa đơn Lỗ CLTG do đánh giá lại tiền và phải thu tại thời điểm kết thúc kỳ kế toán,+ Chi phí tham quan nghi mát chưa có hóa đơn Lỗ CLTG do đánh giá lại tiền và phải thu tại thời điểm kết thúc kỳ kế toán,-,20%,-,10.366.666.667,20%,2.073.333.333,,0.2,,10366666667.0,0.2,2073333333.0
+ Chi phí tham quan nghi mát chưa có hóa đơn Lỗ CLTG do đánh giá lại tiền và phải thu tại thời điểm kết thúc kỳ kế toán,+ Chi phí tham quan nghi mát chưa có hóa đơn Lỗ CLTG do đánh giá lại tiền và phải thu tại thời điểm kết thúc kỳ kế toán,+ Chi phí tham quan nghi mát chưa có hóa đơn Lỗ CLTG do đánh giá lại tiền và phải thu tại thời điểm kết thúc kỳ kế toán,-,20%,-,2.876.705.738,20%,575.341.148,,0.2,,2876705738.0,0.2,575341148.0
Bù trừ với Thuế thu nhập hoãn lại phải trả phát sinh,Bù trừ với Thuế thu nhập hoãn lại phải trả phát sinh,Bù trừ với Thuế thu nhập hoãn lại phải trả phát sinh,(14.409.333.544),,(2.881.866.709),-,,-,-14409333544.0,,-2881866709.0,,,
+ Lãi CLTG do đánh giá lại tiền và phải thu tại thời điểm kết thúc kỳ kế toán,+ Lãi CLTG do đánh giá lại tiền và phải thu tại thời điểm kết thúc kỳ kế toán,+ Lãi CLTG do đánh giá lại tiền và phải thu tại thời điểm kết thúc kỳ kế toán,(14.409.333.544),20%,(2.881.866.709),-,,-,-14409333544.0,0.2,-2881866709.0,,,
,,,1.084.821.101.028,,216.964.220.204,647.434.811.508,,129.486.962.301,1084821101028.0,,216964220204.0,647434811508.0,,129486962301.0
