row_label_raw,row_label_full,Chỉ tiêu,Mã số Thuyết minh,Từ 01/04/2016 đến 31/12/2016 > VND,Từ 01/01/2016 đến 31/03/2016 > VND,numeric__Mã số Thuyết minh,numeric__Từ 01/04/2016 đến 31/12/2016 > VND,numeric__Từ 01/01/2016 đến 31/03/2016 > VND
Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,,,
Lợi nhuận trước thuế,Lưu chuyển tiền từ hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,3.111.062.580.192,4.631.312.818.210,1.0,3111062580192.0,4631312818210.0
Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,,,
Khấu hao TSCĐ và BĐSĐT,Điều chỉnh cho các khoản > Khấu hao TSCĐ và BĐSĐT,Khấu hao TSCĐ và BĐSĐT,02,3.377.659.475.811,901.371.940.131,2.0,3377659475811.0,901371940131.0
Các khoản dự phòng,Điều chỉnh cho các khoản > Các khoản dự phòng,Các khoản dự phòng,03,32.175.985.509,-,3.0,32175985509.0,
(Lãi) các khoản chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Điều chỉnh cho các khoản > (Lãi) các khoản chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,(Lãi) các khoản chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,(248.100.747.890),832.054.582.430,4.0,-248100747890.0,832054582430.0
(Lãi) từ hoạt động đầu tư,Điều chỉnh cho các khoản > (Lãi) từ hoạt động đầu tư,(Lãi) từ hoạt động đầu tư,05,(729.155.768.835),(1.718.596.556.571),5.0,-729155768835.0,-1718596556571.0
Chi phí lãi vay,Điều chỉnh cho các khoản > Chi phí lãi vay,Chi phí lãi vay,06,75.244.790.879,23.087.598.449,6.0,75244790879.0,23087598449.0
Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Điều chỉnh cho các khoản > Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,5.618.886.315.666,4.669.230.382.649,8.0,5618886315666.0,4669230382649.0
Tăng/giảm các khoản phải thu,Điều chỉnh cho các khoản > Tăng/giảm các khoản phải thu,Tăng/giảm các khoản phải thu,09,207.337.909.347,1.939.510.900.867,9.0,207337909347.0,1939510900867.0
Tăng/giảm hàng tồn kho,Điều chỉnh cho các khoản > Tăng/giảm hàng tồn kho,Tăng/giảm hàng tồn kho,10,(49.410.789.783),55.147.689.016,10.0,-49410789783.0,55147689016.0
"Tăng/giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","Điều chỉnh cho các khoản > Tăng/giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","Tăng/giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,1.383.531.600.380,(7.172.998.544.933),11.0,1383531600380.0,-7172998544933.0
Tăng/giảm chi phí trả trước,Điều chỉnh cho các khoản > Tăng/giảm chi phí trả trước,Tăng/giảm chi phí trả trước,12,101.925.767.706,2.007.658.677,12.0,101925767706.0,2007658677.0
Tiền lãi vay đã trả,Điều chỉnh cho các khoản > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(57.308.659.352),(40.398.842.878),14.0,-57308659352.0,-40398842878.0
Thuế thu nhập doanh nghiệp đã nộp,Điều chỉnh cho các khoản > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,(1.269.355.923.181),(318.797.050.000),15.0,-1269355923181.0,-318797050000.0
Tiền thu khác từ hoạt động kinh doanh,Điều chỉnh cho các khoản > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,676.948.516,988.731.399,16.0,676948516.0,988731399.0
Tiền chi khác cho hoạt động kinh doanh (*),Điều chỉnh cho các khoản > Tiền chi khác cho hoạt động kinh doanh (*),Tiền chi khác cho hoạt động kinh doanh (*),17,(504.876.869.520),(1.350.047.384.575),17.0,-504876869520.0,-1350047384575.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Điều chỉnh cho các khoản > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,5.431.406.299.779,(2.215.356.459.778),20.0,5431406299779.0,-2215356459778.0
Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,,,
