row_label_raw,row_label_full,col_0,31/12/2016 > Giá gốc VND,31/12/2016 > Giá trị VND,01/04/2016 > Giá gốc VND,01/04/2016 > Giá trị VND,numeric__31/12/2016 > Giá gốc VND,numeric__31/12/2016 > Giá trị VND,numeric__01/04/2016 > Giá gốc VND,numeric__01/04/2016 > Giá trị VND
Thuộc ACV:,Thuộc ACV:,Thuộc ACV:,375.392.756.358,375.392.756.358,1.048.027.571.105,1.048.027.571.105,375392756358.0,375392756358.0,1048027571105.0,1048027571105.0
Xây dựng cơ bản,Xây dựng cơ bản,Xây dựng cơ bản,356.153.557.390,356.153.557.390,1.040.693.206.125,1.040.693.206.125,356153557390.0,356153557390.0,1040693206125.0,1040693206125.0
Xây dựng CHK Quốc tế Long Thành,Xây dựng CHK Quốc tế Long Thành,Xây dựng CHK Quốc tế Long Thành,11.093.411.681,11.093.411.681,11.049.221.681,11.049.221.681,11093411681.0,11093411681.0,11049221681.0,11049221681.0
Mở rộng nhà ga hành khách - CHK Quốc tế Phú Quốc,Mở rộng nhà ga hành khách - CHK Quốc tế Phú Quốc,Mở rộng nhà ga hành khách - CHK Quốc tế Phú Quốc,20.949.941.942,20.949.941.942,6.517.853.689,6.517.853.689,20949941942.0,20949941942.0,6517853689.0,6517853689.0
Xây dựng & mở rộng sân dỗ máy bay - CHK Phú Quốc,Xây dựng & mở rộng sân dỗ máy bay - CHK Phú Quốc,Xây dựng & mở rộng sân dỗ máy bay - CHK Phú Quốc,121.421.089.732,121.421.089.732,2.492.928.695,2.492.928.695,121421089732.0,121421089732.0,2492928695.0,2492928695.0
Mở rộng Nhà ga quốc tế T2- CHK Quốc tế Tân Sơn Nhất,Mở rộng Nhà ga quốc tế T2- CHK Quốc tế Tân Sơn Nhất,Mở rộng Nhà ga quốc tế T2- CHK Quốc tế Tân Sơn Nhất,109.187.029.667,109.187.029.667,91.570.539.950,91.570.539.950,109187029667.0,109187029667.0,91570539950.0,91570539950.0
Trụ sở quản lý điều hành Cảng hàng không Quốc tế Đà Nẵng,Trụ sở quản lý điều hành Cảng hàng không Quốc tế Đà Nẵng,Trụ sở quản lý điều hành Cảng hàng không Quốc tế Đà Nẵng,64.304.457.118,64.304.457.118,590.188.185,590.188.185,64304457118.0,64304457118.0,590188185.0,590188185.0
Xây dựng Nhà ga hành khách - CHK Tuy Hòa,Xây dựng Nhà ga hành khách - CHK Tuy Hòa,Xây dựng Nhà ga hành khách - CHK Tuy Hòa,8.066.851.803,8.066.851.803,8.066.851.803,8.066.851.803,8066851803.0,8066851803.0,8066851803.0,8066851803.0
Nhà ga hàng hóa và văn phòng làm việc CHK Phú Quốc,Nhà ga hàng hóa và văn phòng làm việc CHK Phú Quốc,Nhà ga hàng hóa và văn phòng làm việc CHK Phú Quốc,2.219.814.639,2.219.814.639,2.219.814.639,2.219.814.639,2219814639.0,2219814639.0,2219814639.0,2219814639.0
Xây dựng nhà ga hành khách cảng Hàng không Buôn Mê Thuột,Xây dựng nhà ga hành khách cảng Hàng không Buôn Mê Thuột,Xây dựng nhà ga hành khách cảng Hàng không Buôn Mê Thuột,2.382.913.271,2.382.913.271,2.387.424.861,2.387.424.861,2382913271.0,2382913271.0,2387424861.0,2387424861.0
Nhà ga hành khách - CHK Phù Cát,Nhà ga hành khách - CHK Phù Cát,Nhà ga hành khách - CHK Phù Cát,1.718.686.884,1.718.686.884,1.710.474.023,1.710.474.023,1718686884.0,1718686884.0,1710474023.0,1710474023.0
Mở rộng sân dậu may bay phía Bắc đường lăn song song đoạn từ NS đến E6 - CHK Quốc tế Tân Sơn Nhất,Mở rộng sân dậu may bay phía Bắc đường lăn song song đoạn từ NS đến E6 - CHK Quốc tế Tân Sơn Nhất,Mở rộng sân dậu may bay phía Bắc đường lăn song song đoạn từ NS đến E6 - CHK Quốc tế Tân Sơn Nhất,4.910.770.265,4.910.770.265,200.000,200.000,4910770265.0,4910770265.0,200000.0,200000.0
Nâng cấp hệ thống điều hoà không khí nhà ga HK CHK Quốc tế ĐN,Nâng cấp hệ thống điều hoà không khí nhà ga HK CHK Quốc tế ĐN,Nâng cấp hệ thống điều hoà không khí nhà ga HK CHK Quốc tế ĐN,5.692.261.672,5.692.261.672,114.804.545,114.804.545,5692261672.0,5692261672.0,114804545.0,114804545.0
Mở rộng sân dỗ máy bay - CHK Đồng Hới,Mở rộng sân dỗ máy bay - CHK Đồng Hới,Mở rộng sân dỗ máy bay - CHK Đồng Hới,1.341.164.545,1.341.164.545,-,-,1341164545.0,1341164545.0,,
Mở rộng sân dỗ máy bay - CHK Pleiku,Mở rộng sân dỗ máy bay - CHK Pleiku,Mở rộng sân dỗ máy bay - CHK Pleiku,213.027.273,213.027.273,-,-,213027273.0,213027273.0,,
Nhà khách - Cảng hàng không Quốc tế Đà Nẵng,Nhà khách - Cảng hàng không Quốc tế Đà Nẵng,Nhà khách - Cảng hàng không Quốc tế Đà Nẵng,487.812.914,487.812.914,-,-,487812914.0,487812914.0,,
"Cải tạo, mở rộng nhà ga Hành khách, sân dỗ ô tô CHK Chu Lai","Cải tạo, mở rộng nhà ga Hành khách, sân dỗ ô tô CHK Chu Lai","Cải tạo, mở rộng nhà ga Hành khách, sân dỗ ô tô CHK Chu Lai",19.498.818,19.498.818,-,-,19498818.0,19498818.0,,
Nhà ga hàng hóa tạm - CHK Quốc tế Vinh,Nhà ga hàng hóa tạm - CHK Quốc tế Vinh,Nhà ga hàng hóa tạm - CHK Quốc tế Vinh,179.859.454,179.859.454,-,-,179859454.0,179859454.0,,
Nhà xe ngoại trường - CHK Quốc tế Phú Quốc,Nhà xe ngoại trường - CHK Quốc tế Phú Quốc,Nhà xe ngoại trường - CHK Quốc tế Phú Quốc,-,-,-,-,,,,
Nhà ga hành khách - CHK Quốc tế Cát Bi,Nhà xe ngoại trường - CHK Quốc tế Phú Quốc > Nhà ga hành khách - CHK Quốc tế Cát Bi,Nhà ga hành khách - CHK Quốc tế Cát Bi,-,-,552.074.448.543,552.074.448.543,,,552074448543.0,552074448543.0
"Sửa chữa, Cải tạo và mở rộng sân dỗ máy bay - CHK Quốc tế Tân Sơn Nhất","Nhà xe ngoại trường - CHK Quốc tế Phú Quốc > Sửa chữa, Cải tạo và mở rộng sân dỗ máy bay - CHK Quốc tế Tân Sơn Nhất","Sửa chữa, Cải tạo và mở rộng sân dỗ máy bay - CHK Quốc tế Tân Sơn Nhất",-,-,295.873.545.940,295.873.545.940,,,295873545940.0,295873545940.0
"Sửa chữa, mở rộng nhà ga HK, CHK Quốc tế Cam Ranh","Nhà xe ngoại trường - CHK Quốc tế Phú Quốc > Sửa chữa, mở rộng nhà ga HK, CHK Quốc tế Cam Ranh","Sửa chữa, mở rộng nhà ga HK, CHK Quốc tế Cam Ranh",-,-,36.137.562.321,36.137.562.321,,,36137562321.0,36137562321.0
"Cung cấp, lắp đặt hệ thống bằng chuyên hành lý - CHKQT Cát Bi","Nhà xe ngoại trường - CHK Quốc tế Phú Quốc > Cung cấp, lắp đặt hệ thống bằng chuyên hành lý - CHKQT Cát Bi","Cung cấp, lắp đặt hệ thống bằng chuyên hành lý - CHKQT Cát Bi",-,-,21.716.349.032,21.716.349.032,,,21716349032.0,21716349032.0
Công trình khác,Nhà xe ngoại trường - CHK Quốc tế Phú Quốc > Công trình khác,Công trình khác,1.964.965.712,1.964.965.712,8.170.998.218,8.170.998.218,1964965712.0,1964965712.0,8170998218.0,8170998218.0
Sửa chữa lớn tài sản cố định,Nhà xe ngoại trường - CHK Quốc tế Phú Quốc > Sửa chữa lớn tài sản cố định,Sửa chữa lớn tài sản cố định,19.239.198.968,19.239.198.968,7.263.748.616,7.263.748.616,19239198968.0,19239198968.0,7263748616.0,7263748616.0
,,,700.748.493.413,700.748.493.413,1.159.830.590.255,1.159.830.590.255,700748493413.0,700748493413.0,1159830590255.0,1159830590255.0
