row_label_raw,row_label_full,col_0,"Bản quyền,bằng sáng chếVND",Phần mềmmáy vi tínhVND,TSCĐvô hình khácVND,CộngVND,"numeric__Bản quyền,bằng sáng chếVND",numeric__Phần mềmmáy vi tínhVND,numeric__TSCĐvô hình khácVND,numeric__CộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
01/04/2016,NGUYÊN GIÁ > 01/04/2016,01/04/2016,2.661.339.000,18.482.905.234,170.000.000,21.314.244.234,2661339000.0,18482905234.0,170000000.0,21314244234.0
- Mua trong kỳ,NGUYÊN GIÁ > - Mua trong kỳ,- Mua trong kỳ,-,283.977.183,-,283.977.183,,283977183.0,,283977183.0
- Giảm Tài sản khu bay bàn giao Nhà nước,NGUYÊN GIÁ > - Giảm Tài sản khu bay bàn giao Nhà nước,- Giảm Tài sản khu bay bàn giao Nhà nước,-,(7.077.414.856),-,(7.077.414.856),,-7077414856.0,,-7077414856.0
31/12/2016,NGUYÊN GIÁ > 31/12/2016,31/12/2016,2.661.339.000,11.689.467.561,170.000.000,14.520.806.561,2661339000.0,11689467561.0,170000000.0,14520806561.0
GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,,,,
01/04/2016,GIÁ TRỊ HAO MÔN > 01/04/2016,01/04/2016,(1.128.298.481),(12.097.704.391),(170.000.000),(13.396.002.872),-1128298481.0,-12097704391.0,-170000000.0,-13396002872.0
- Khấu hao trong kỳ,GIÁ TRỊ HAO MÔN > - Khấu hao trong kỳ,- Khấu hao trong kỳ,(654.469.233),(1.800.958.369),-,(2.455.427.602),-654469233.0,-1800958369.0,,-2455427602.0
- Giảm Tài sản khu bay bàn giao Nhà nước,GIÁ TRỊ HAO MÔN > - Giảm Tài sản khu bay bàn giao Nhà nước,- Giảm Tài sản khu bay bàn giao Nhà nước,-,4.971.823.045,-,4.971.823.045,,4971823045.0,,4971823045.0
31/12/2016,GIÁ TRỊ HAO MÔN > 31/12/2016,31/12/2016,(1.782.767.714),(8.926.839.715),(170.000.000),(10.879.607.429),-1782767714.0,-8926839715.0,-170000000.0,-10879607429.0
GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,,,,
01/04/2016,GIÁ TRỊ CÔN LẠI > 01/04/2016,01/04/2016,1.533.040.519,6.385.200.843,-,7.918.241.362,1533040519.0,6385200843.0,,7918241362.0
31/12/2016,GIÁ TRỊ CÔN LẠI > 31/12/2016,31/12/2016,878.571.286,2.762.627.846,-,3.641.199.132,878571286.0,2762627846.0,,3641199132.0
