row_label_raw,row_label_full,Bà Huỳnh Thị Diệu,Trường ban,col_2,numeric__Trường ban,numeric__col_2
Bà Lê Thị Hương Giang,Bà Lê Thị Hương Giang,Bà Lê Thị Hương Giang,Thành viên,,,
Bà Hoàng Thị Thành,Bà Hoàng Thị Thành,Bà Hoàng Thị Thành,Thành viên,Thành viên không chuyên trách,,
