row_label_raw,row_label_full,Chỉ tiêu,Mã số Thuyết minh,Mã số Thuyết minh_1,Từ 01/04/2016đến 31/12/2016VND,Từ 01/01/2016đến 31/03/2016VND,numeric__Mã số Thuyết minh,numeric__Mã số Thuyết minh_1,numeric__Từ 01/04/2016đến 31/12/2016VND,numeric__Từ 01/01/2016đến 31/03/2016VND
Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,,,,
"Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","Lưu chuyển tiền từ hoạt động tài chính > Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,-,1.157.367.784.928,31.0,,,1157367784928.0
Tiền thu từ đi vay,Lưu chuyển tiền từ hoạt động tài chính > Tiền thu từ đi vay,Tiền thu từ đi vay,33,,8.205.652.246,395.265.067.392,33.0,,8205652246.0,395265067392.0
Tiền trả nợ gốc vay,Lưu chuyển tiền từ hoạt động tài chính > Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,34,,(78.807.316.282),(68.605.497.184),34.0,,-78807316282.0,-68605497184.0
"Cổ tức, lợi nhuận đã trả cho chủ sở hữu","Lưu chuyển tiền từ hoạt động tài chính > Cổ tức, lợi nhuận đã trả cho chủ sở hữu","Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,(2.602.319.905.854),(341.229.315.000),36.0,,-2602319905854.0,-341229315000.0
Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,,(2.672.921.569.890),1.142.798.040.136,40.0,,-2672921569890.0,1142798040136.0
Lưu chuyển tiền thuần trong kỳ,Lưu chuyển tiền từ hoạt động tài chính > Lưu chuyển tiền thuần trong kỳ,Lưu chuyển tiền thuần trong kỳ,50,,245.784.008.354,(1.464.840.443.192),50.0,,245784008354.0,-1464840443192.0
Tiền và tương đương tiền đầu kỳ,Lưu chuyển tiền từ hoạt động tài chính > Tiền và tương đương tiền đầu kỳ,Tiền và tương đương tiền đầu kỳ,60,4,2.413.453.826.323,3.879.093.132.638,60.0,4.0,2413453826323.0,3879093132638.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Lưu chuyển tiền từ hoạt động tài chính > Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,15.555.425.934,(798.863.123),61.0,,15555425934.0,-798863123.0
Tiền và tương đương tiền cuối kỳ,Lưu chuyển tiền từ hoạt động tài chính > Tiền và tương đương tiền cuối kỳ,Tiền và tương đương tiền cuối kỳ,70,4,2.674.793.260.611,2.413.453.826.323,70.0,4.0,2674793260611.0,2413453826323.0
