row_label_raw,row_label_full,col_0,31/12/2016 > Giá gốcVND,31/12/2016 > Giá trịcó thể thu hồiVND,01/04/2016 > Giá gốcVND,01/04/2016 > Giá trịcó thể thu hồiVND,numeric__31/12/2016 > Giá gốcVND,numeric__31/12/2016 > Giá trịcó thể thu hồiVND,numeric__01/04/2016 > Giá gốcVND,numeric__01/04/2016 > Giá trịcó thể thu hồiVND
Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,700.748.493.413,700.748.493.413,1.159.830.590.255,1.159.830.590.255,700748493413.0,700748493413.0,1159830590255.0,1159830590255.0
Thuộc Nhà nước:,Thuộc Nhà nước:,Thuộc Nhà nước:,325.355.737.055,325.355.737.055,111.803.019.150,111.803.019.150,325355737055.0,325355737055.0,111803019150.0,111803019150.0
Mua sắm tài sản cố định,Mua sắm tài sản cố định,Mua sắm tài sản cố định,-,-,106.107.273,106.107.273,,,106107273.0,106107273.0
Xây dựng cơ bản,Xây dựng cơ bản,Xây dựng cơ bản,325.355.737.055,325.355.737.055,111.696.911.877,111.696.911.877,325355737055.0,325355737055.0,111696911877.0,111696911877.0
Xây dựng hệ thống đường lăn - CHK Phú Quốc,Xây dựng hệ thống đường lăn - CHK Phú Quốc,Xây dựng hệ thống đường lăn - CHK Phú Quốc,251.415.397.354,251.415.397.354,5.036.964.290,5.036.964.290,251415397354.0,251415397354.0,5036964290.0,5036964290.0
Hệ thống hàng rào và đường công vụ CHK QT Phú Quốc,Hệ thống hàng rào và đường công vụ CHK QT Phú Quốc,Hệ thống hàng rào và đường công vụ CHK QT Phú Quốc,24.231.624.987,24.231.624.987,15.701.452.083,15.701.452.083,24231624987.0,24231624987.0,15701452083.0,15701452083.0
Gia cố mái ta luy đầu 10 đường HCC - CHK Phú Quốc,Gia cố mái ta luy đầu 10 đường HCC - CHK Phú Quốc,Gia cố mái ta luy đầu 10 đường HCC - CHK Phú Quốc,16.196.448.244,16.196.448.244,5.827.660.908,5.827.660.908,16196448244.0,16196448244.0,5827660908.0,5827660908.0
"Kéo dài và nâng cấp đường CHC, đường lăn - CHK Pleiku","Kéo dài và nâng cấp đường CHC, đường lăn - CHK Pleiku","Kéo dài và nâng cấp đường CHC, đường lăn - CHK Pleiku",11.048.833.611,11.048.833.611,-,-,11048833611.0,11048833611.0,,
Cải tạo đường HCC 1A-CHK Quốc tế Nội Bài,Cải tạo đường HCC 1A-CHK Quốc tế Nội Bài,Cải tạo đường HCC 1A-CHK Quốc tế Nội Bài,8.964.555.957,8.964.555.957,-,-,8964555957.0,8964555957.0,,
Cải tạo mương thoát nước phía Bắc khu bay - CHK Quốc tế Nội Bài,Cải tạo mương thoát nước phía Bắc khu bay - CHK Quốc tế Nội Bài,Cải tạo mương thoát nước phía Bắc khu bay - CHK Quốc tế Nội Bài,3.868.734.311,3.868.734.311,-,-,3868734311.0,3868734311.0,,
Cải tạo đường lăn E6 CHK Quốc tế Đà Nẵng nút E1 đến E4,Cải tạo đường lăn E6 CHK Quốc tế Đà Nẵng nút E1 đến E4,Cải tạo đường lăn E6 CHK Quốc tế Đà Nẵng nút E1 đến E4,1.495.504.698,1.495.504.698,-,-,1495504698.0,1495504698.0,,
Mở rộng phía Bắc đường lăn song song đoạn từ NS đến E6 - CHKQT,Mở rộng phía Bắc đường lăn song song đoạn từ NS đến E6 - CHKQT,Mở rộng phía Bắc đường lăn song song đoạn từ NS đến E6 - CHKQT,1.060.071.781,1.060.071.781,-,-,1060071781.0,1060071781.0,,
Hệ thống thiết bị hạ cánh chính xác ILS-CHK Buôn Ma Thuột,Hệ thống thiết bị hạ cánh chính xác ILS-CHK Buôn Ma Thuột,Hệ thống thiết bị hạ cánh chính xác ILS-CHK Buôn Ma Thuột,589.193.104,589.193.104,-,-,589193104.0,589193104.0,,
