row_label_raw,row_label_full,col_0,Mối quan hệ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Số cuối năm,numeric__Số đầu năm
,,,Mối quan hệ,VND,VND,,,
Phải thu các bên liên quan,Phải thu các bên liên quan,Phải thu các bên liên quan,Phải thu các bên liên quan,4.785.184.276,8.775.931.487,,4785184276.0,8775931487.0
Công ty CP vật tư kỹ thuật nông nghiệp Cần Thơ (TSC),Công ty CP vật tư kỹ thuật nông nghiệp Cần Thơ (TSC),Công ty CP vật tư kỹ thuật nông nghiệp Cần Thơ (TSC),Công ty con cấp 1,-,151.286.610,,,151286610.0
Công ty CP Dược Phẩm Cửu Long,Công ty CP Dược Phẩm Cửu Long,Công ty CP Dược Phẩm Cửu Long,Công ty con cấp 1,1.108.076.236,5.958.656.736,,1108076236.0,5958656736.0
Công ty CP FIT Consumer,Công ty CP FIT Consumer,Công ty CP FIT Consumer,Công ty con cấp 2,160.310.800,221.553.691,,160310800.0,221553691.0
Công ty CP nước khoáng Khánh Hòa - Fit Beverage,Công ty CP nước khoáng Khánh Hòa - Fit Beverage,Công ty CP nước khoáng Khánh Hòa - Fit Beverage,Công ty liên kết,1.102.500.000,-,,1102500000.0,
Công ty CP chứng khoán Đại Nam,Công ty CP chứng khoán Đại Nam,Công ty CP chứng khoán Đại Nam,Công ty liên kết,-,473.678.700,,,473678700.0
Công ty CP FIT COSMETICS,Công ty CP FIT COSMETICS,Công ty CP FIT COSMETICS,Công ty liên kết,2.414.297.240,1.847.476.240,,2414297240.0,1847476240.0
Công ty CP Đầu Tư Dũng Tâm,Công ty CP Đầu Tư Dũng Tâm,Công ty CP Đầu Tư Dũng Tâm,Bên liên quan,-,123.279.510,,,123279510.0
Phải trả các bên liên quan,Phải trả các bên liên quan,Phải trả các bên liên quan,Phải trả các bên liên quan,14.787.520,-,,14787520.0,
Công ty CP FIT Consumer,Công ty CP FIT Consumer,Công ty CP FIT Consumer,Công ty con cấp 2,14.787.520,-,,14787520.0,
Phải thu khác các bên liên quan,Phải thu khác các bên liên quan,Phải thu khác các bên liên quan,Phải thu khác các bên liên quan,7.792.107.478,3.594.194.055,,7792107478.0,3594194055.0
Công ty CP đầu tư Bất Động Sản F.I.T,Công ty CP đầu tư Bất Động Sản F.I.T,Công ty CP đầu tư Bất Động Sản F.I.T,Công ty con cấp 1,358.027.397,-,,358027397.0,
Công ty CP FIT Consumer,Công ty CP FIT Consumer,Công ty CP FIT Consumer,Công ty con cấp 2,944.779.340,310.963.891,,944779340.0,310963891.0
Công ty CP FIT COSMETICS,Công ty CP FIT COSMETICS,Công ty CP FIT COSMETICS,Công ty liên kết,6.272.998.519,3.163.805.997,,6272998519.0,3163805997.0
Công ty CP Today Cosmetics,Công ty CP Today Cosmetics,Công ty CP Today Cosmetics,Bên liên quan,216.302.222,119.424.167,,216302222.0,119424167.0
Hợp tác đầu tư với các bên liên quan,Hợp tác đầu tư với các bên liên quan,Hợp tác đầu tư với các bên liên quan,Hợp tác đầu tư với các bên liên quan,103.522.632.350,47.111.632.350,,103522632350.0,47111632350.0
Công ty CP đầu tư Bất Động Sản F.I.T,Công ty CP đầu tư Bất Động Sản F.I.T,Công ty CP đầu tư Bất Động Sản F.I.T,Công ty con cấp 1,48.400.000.000,-,,48400000000.0,
Công ty CP FIT Consumer,Công ty CP FIT Consumer,Công ty CP FIT Consumer,Công ty con cấp 2,11.636.000.000,4.500.000.000,,11636000000.0,4500000000.0
Công ty CP FIT COSMETICS,Công ty CP FIT COSMETICS,Công ty CP FIT COSMETICS,Công ty liên kết,34.286.632.350,33.411.632.350,,34286632350.0,33411632350.0
Công ty CP Today Cosmetics,Công ty CP Today Cosmetics,Công ty CP Today Cosmetics,Bên liên quan,9.200.000.000,9.200.000.000,,9200000000.0,9200000000.0
Nhận hợp tác đầu tư từ các bên liên quan,Nhận hợp tác đầu tư từ các bên liên quan,Nhận hợp tác đầu tư từ các bên liên quan,Nhận hợp tác đầu tư từ các bên liên quan,10.000.000.000,10.000.000.000,,10000000000.0,10000000000.0
Công ty CP Phát triển Bất động sản DPV,Công ty CP Phát triển Bất động sản DPV,Công ty CP Phát triển Bất động sản DPV,Bên liên quan,10.000.000.000,10.000.000.000,,10000000000.0,10000000000.0
