row_label_raw,row_label_full,Nội dung,Số trước điều chỉnh,Số điều chỉnh,Số sau điều chỉnh,numeric__Số trước điều chỉnh,numeric__Số điều chỉnh,numeric__Số sau điều chỉnh
Đầu tư vào Công ty con,Đầu tư vào Công ty con,Đầu tư vào Công ty con,1.700.033.486.750,140.110.000.000,1.840.143.486.750,1700033486750.0,140110000000.0,1840143486750.0
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,140.110.000.000,(140.110.000.000),-,140110000000.0,-140110000000.0,
Tổng cộng,Tổng cộng,Tổng cộng,1.840.143.486.750,-,1.840.143.486.750,1840143486750.0,,1840143486750.0
