row_label_raw,row_label_full,Đầu tư nắm giữ đến ngày đáo hạn,Số cuối năm > Giá gốcVND > 842.177.990.178,Số cuối năm > Giá trị ghi sốVND > 841.962.846.450,Số đầu năm (Trình bày lại) > Giá gốcVND > 1.030.772.776.078,Số đầu năm (Trình bày lại) > Giá trị ghi sốVND > 1.030.557.632.350,numeric__Số cuối năm > Giá gốcVND > 842.177.990.178,numeric__Số cuối năm > Giá trị ghi sốVND > 841.962.846.450,numeric__Số đầu năm (Trình bày lại) > Giá gốcVND > 1.030.772.776.078,numeric__Số đầu năm (Trình bày lại) > Giá trị ghi sốVND > 1.030.557.632.350
Ngắn hạn,Ngắn hạn,Ngắn hạn,732.177.990.178,731.962.846.450,1.030.772.776.078,1.030.557.632.350,732177990178.0,731962846450.0,1030772776078.0,1030557632350.0
- Tiền gửi có kỳ hạn (i),- Tiền gửi có kỳ hạn (i),- Tiền gửi có kỳ hạn (i),221.000.000.000,221.000.000.000,562.360.000.000,562.360.000.000,221000000000.0,221000000000.0,562360000000.0,562360000000.0
- Các khoản đầu tư khác,- Các khoản đầu tư khác,- Các khoản đầu tư khác,511.177.990.178,510.962.846.450,468.412.776.078,468.197.632.350,511177990178.0,510962846450.0,468412776078.0,468197632350.0
+ Khoản đầu tư vào tổ chức,+ Khoản đầu tư vào tổ chức,+ Khoản đầu tư vào tổ chức,510.962.846.450,510.962.846.450,468.197.632.350,468.197.632.350,510962846450.0,510962846450.0,468197632350.0,468197632350.0
Công ty CP Đầu Tư Thương Mại Hoa Sen Việt Nam (ii),Công ty CP Đầu Tư Thương Mại Hoa Sen Việt Nam (ii),Công ty CP Đầu Tư Thương Mại Hoa Sen Việt Nam (ii),240.029.507.000,240.029.507.000,421.086.000.000,421.086.000.000,240029507000.0,240029507000.0,421086000000.0,421086000000.0
Công ty Cổ phần đầu tư và phát triển nông sản Hưng Yên (iii),Công ty Cổ phần đầu tư và phát triển nông sản Hưng Yên (iii),Công ty Cổ phần đầu tư và phát triển nông sản Hưng Yên (iii),99.795.068.000,99.795.068.000,-,-,99795068000.0,99795068000.0,,
Công ty Cổ phần Đầu Tư và Phát Triển Nghệ An (iv),Công ty Cổ phần Đầu Tư và Phát Triển Nghệ An (iv),Công ty Cổ phần Đầu Tư và Phát Triển Nghệ An (iv),59.541.487.500,59.541.487.500,-,-,59541487500.0,59541487500.0,,
Công ty CP đầu tư Bất Động Sản F.I.T (v),Công ty CP đầu tư Bất Động Sản F.I.T (v),Công ty CP đầu tư Bất Động Sản F.I.T (v),48.400.000.000,48.400.000.000,-,-,48400000000.0,48400000000.0,,
Công ty Cổ phần FIT COSMETICS (vi),Công ty Cổ phần FIT COSMETICS (vi),Công ty Cổ phần FIT COSMETICS (vi),34.286.632.350,34.286.632.350,33.411.632.350,33.411.632.350,34286632350.0,34286632350.0,33411632350.0,33411632350.0
Công ty CP Thương mại và phát triển nông nghiệp VP (vii),Công ty CP Thương mại và phát triển nông nghiệp VP (vii),Công ty CP Thương mại và phát triển nông nghiệp VP (vii),11.274.151.600,11.274.151.600,-,-,11274151600.0,11274151600.0,,
