row_label_raw,row_label_full,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Số đầu năm > Giá trị,Số đầu năm > Dự phòng,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Dự phòng
VND,VND,VND,VND,VND,VND,,,
19.036.005.804,VND > 19.036.005.804,19.036.005.804,46.793.763,24.527.840.498,46.793.763,46793763.0,24527840498.0,46793763.0
39.800.000,VND > 39.800.000,39.800.000,-,28.800.000,-,,28800000.0,
106.028.465,VND > 106.028.465,106.028.465,-,102.979.963,-,,102979963.0,
,,,-,-,-,,,
11.042.356.163,VND > 11.042.356.163,11.042.356.163,-,19.038.328.107,-,,19038328107.0,
6.767.671.232,VND > 6.767.671.232,6.767.671.232,-,12.194.045.665,-,,12194045665.0,
-,VND > -,-,-,3.077.643.553,-,,3077643553.0,
4.270.684.931,VND > 4.270.684.931,4.270.684.931,-,2.476.527.777,-,,2476527777.0,
-,VND > -,-,-,954.000.002,-,,954000002.0,
-,VND > -,-,,332.222.221,-,,332222221.0,
4.000.000,VND > 4.000.000,4.000.000,-,3.888.889,-,,3888889.0,
7.801.027.413,VND > 7.801.027.413,7.801.027.413,-,5.310.938.665,-,,5310938665.0,
6.272.998.519,VND > 6.272.998.519,6.272.998.519,-,3.163.805.997,-,,3163805997.0,
8.919.935,VND > 8.919.935,8.919.935,-,1.716.744.610,-,,1716744610.0,
944.779.340,VND > 944.779.340,944.779.340,,310.963.891,,,310963891.0,
358.027.397,358.027.397,358.027.397,-,-,-,,,
216.302.222,358.027.397 > 216.302.222,216.302.222,-,119.424.167,-,,119424167.0,
46.793.763,358.027.397 > 46.793.763,46.793.763,46.793.763,46.793.763,46.793.763,46793763.0,46793763.0,46793763.0
1.014.500.000,358.027.397 > 1.014.500.000,1.014.500.000,-,1.014.500.000,-,,1014500000.0,
1.014.500.000,358.027.397 > 1.014.500.000,1.014.500.000,-,1.014.500.000,-,,1014500000.0,
