row_label_raw,row_label_full,col_0,Số cuối năm > Giá trịVND,Số cuối năm > Số có khả năng trả nợVND,Trong năm > GiảmVND,Trong năm > TăngVND,Số đầu năm > Giá trịVND,Số đầu năm > Số có khả năng trả nợVND,numeric__Số cuối năm > Giá trịVND,numeric__Số cuối năm > Số có khả năng trả nợVND,numeric__Trong năm > GiảmVND,numeric__Trong năm > TăngVND,numeric__Số đầu năm > Giá trịVND,numeric__Số đầu năm > Số có khả năng trả nợVND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,15.081.471.953,15.081.471.953,2.558.378.995.747,2.460.755.911.432,112.704.556.268,112.704.556.268,15081471953.0,15081471953.0,2558378995747.0,2460755911432.0,112704556268.0,112704556268.0
- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (i),- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (i),- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (i),15.081.471.953,15.081.471.953,1.220.311.560.895,1.183.722.490.824,51.670.542.024,51.670.542.024,15081471953.0,15081471953.0,1220311560895.0,1183722490824.0,51670542024.0,51670542024.0
- Ngân hàng TMCP Ngoại thương Việt nam,- Ngân hàng TMCP Ngoại thương Việt nam,- Ngân hàng TMCP Ngoại thương Việt nam,-,-,60.000.000.000,40.000.000.000,20.000.000.000,20.000.000.000,,,60000000000.0,40000000000.0,20000000000.0,20000000000.0
- Ngân hàng TMCP Quốc tế Việt Nam,- Ngân hàng TMCP Quốc tế Việt Nam,- Ngân hàng TMCP Quốc tế Việt Nam,-,-,117.404.795.748,117.397.074.229,7.721.519,7.721.519,,,117404795748.0,117397074229.0,7721519.0,7721519.0
- Ngân hàng TNHH MTV Public Việt Nam,- Ngân hàng TNHH MTV Public Việt Nam,- Ngân hàng TNHH MTV Public Việt Nam,-,-,2.036.331.937,1.038.447.596,997.884.341,997.884.341,,,2036331937.0,1038447596.0,997884341.0,997884341.0
- Ngân hàng TMCP Việt Nam Thịnh Vượng,- Ngân hàng TMCP Việt Nam Thịnh Vượng,- Ngân hàng TMCP Việt Nam Thịnh Vượng,-,-,1.158.470.517.105,1.118.442.108.721,40.028.408.384,40.028.408.384,,,1158470517105.0,1118442108721.0,40028408384.0,40028408384.0
,,,,,155.790.062,155.790.062,-,-,,,155790062.0,155790062.0,,
- Công ty cổ phần chứng khoán Đại Nam,- Công ty cổ phần chứng khoán Đại Nam,- Công ty cổ phần chứng khoán Đại Nam,-,-,,,,,,,,,,
Vay dài hạn đến hạn trả,- Công ty cổ phần chứng khoán Đại Nam > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,10.417.362.000,10.417.362.000,10.417.362.000,10.417.362.000,10.417.362.000,10.417.362.000,10417362000.0,10417362000.0,10417362000.0,10417362000.0,10417362000.0,10417362000.0
- Ngân hàng TMCP Đông nam Á (ii),- Công ty cổ phần chứng khoán Đại Nam > - Ngân hàng TMCP Đông nam Á (ii),- Ngân hàng TMCP Đông nam Á (ii),10.417.362.000,10.417.362.000,10.417.362.000,10.417.362.000,10.417.362.000,10.417.362.000,10417362000.0,10417362000.0,10417362000.0,10417362000.0,10417362000.0,10417362000.0
Tổng Vay ngắn hạn,- Công ty cổ phần chứng khoán Đại Nam > Tổng Vay ngắn hạn,Tổng Vay ngắn hạn,25.498.833.953,25.498.833.953,2.568.796.357.747,2.471.173.273.432,123.121.918.268,123.121.918.268,25498833953.0,25498833953.0,2568796357747.0,2471173273432.0,123121918268.0,123121918268.0
Vay dài hạn,- Công ty cổ phần chứng khoán Đại Nam > Vay dài hạn,Vay dài hạn,23.439.064.500,23.439.064.500,10.417.362.000,-,33.856.426.500,33.856.426.500,23439064500.0,23439064500.0,10417362000.0,,33856426500.0,33856426500.0
- Ngân hàng TMCP Đông Nam Á (ii),- Công ty cổ phần chứng khoán Đại Nam > - Ngân hàng TMCP Đông Nam Á (ii),- Ngân hàng TMCP Đông Nam Á (ii),23.439.064.500,23.439.064.500,10.417.362.000,-,33.856.426.500,33.856.426.500,23439064500.0,23439064500.0,10417362000.0,,33856426500.0,33856426500.0
