row_label_raw,row_label_full,col_0,Mối quan hệ,Năm nay,Năm trước,numeric__Mối quan hệ,numeric__Năm nay,numeric__Năm trước
,,,Mối quan hệ,VND,VND,,,
Doanh thu cung cấp cho các bên liên quan,Doanh thu cung cấp cho các bên liên quan,Doanh thu cung cấp cho các bên liên quan,Doanh thu cung cấp cho các bên liên quan,Doanh thu cung cấp cho các bên liên quan,Doanh thu cung cấp cho các bên liên quan,,,
Công ty CP vật tư kỹ thuật nông nghiệp Cần Thơ (TSC),Doanh thu cung cấp cho các bên liên quan > Công ty CP vật tư kỹ thuật nông nghiệp Cần Thơ (TSC),Công ty CP vật tư kỹ thuật nông nghiệp Cần Thơ (TSC),Công ty con cấp 1,313.143.276,1.001.332.448,,313143276.0,1001332448.0
Công ty CP đầu tư Bất Đông Sản F.I.T,Doanh thu cung cấp cho các bên liên quan > Công ty CP đầu tư Bất Đông Sản F.I.T,Công ty CP đầu tư Bất Đông Sản F.I.T,Công ty con cấp 1,535.524.000,346.335.143,,535524000.0,346335143.0
Công ty CP Dược Phẩm Cửu Long,Doanh thu cung cấp cho các bên liên quan > Công ty CP Dược Phẩm Cửu Long,Công ty CP Dược Phẩm Cửu Long,Công ty con cấp 1,5.673.808.061,8.033.064.982,,5673808061.0,8033064982.0
Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T Việt Nam,Doanh thu cung cấp cho các bên liên quan > Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T Việt Nam,Công ty TNHH Xuất nhập khẩu và Thương mại F.I.T Việt Nam,Công ty con cấp 1,535.524.000,346.335.143,,535524000.0,346335143.0
Công ty CP Giống Cây Trồng Nông Tín,Doanh thu cung cấp cho các bên liên quan > Công ty CP Giống Cây Trồng Nông Tín,Công ty CP Giống Cây Trồng Nông Tín,Công ty con cấp 2,-,356.780.218,,,356780218.0
Công ty CP chế biến thực phẩm xuất khẩu Miền Tây,Doanh thu cung cấp cho các bên liên quan > Công ty CP chế biến thực phẩm xuất khẩu Miền Tây,Công ty CP chế biến thực phẩm xuất khẩu Miền Tây,Công ty con cấp 2,630.655.924,559.185.796,,630655924.0,559185796.0
Công ty CP FIT Consumer,Doanh thu cung cấp cho các bên liên quan > Công ty CP FIT Consumer,Công ty CP FIT Consumer,Công ty con cấp 2,37.866.091,208.957.900,,37866091.0,208957900.0
Công ty CP Thuốc Ung Thư BENOVAS,Doanh thu cung cấp cho các bên liên quan > Công ty CP Thuốc Ung Thư BENOVAS,Công ty CP Thuốc Ung Thư BENOVAS,Công ty con cấp 2,1.626.582.983,1.136.570.429,,1626582983.0,1136570429.0
Công ty CP FIT COSMETICS,Doanh thu cung cấp cho các bên liên quan > Công ty CP FIT COSMETICS,Công ty CP FIT COSMETICS,Công ty liên kết,763.052.728,1.822.248.055,,763052728.0,1822248055.0
Công ty CP nước khoáng Khánh Hòa - Fit Beverage,Doanh thu cung cấp cho các bên liên quan > Công ty CP nước khoáng Khánh Hòa - Fit Beverage,Công ty CP nước khoáng Khánh Hòa - Fit Beverage,Công ty liên kết,2.083.203.818,3.079.292.913,,2083203818.0,3079292913.0
Công ty CP chứng khoán Đại Nam,Doanh thu cung cấp cho các bên liên quan > Công ty CP chứng khoán Đại Nam,Công ty CP chứng khoán Đại Nam,Công ty liên kết,2.564.640.619,1.614.661.279,,2564640619.0,1614661279.0
Công ty CP Đầu Tư Dũng Tâm,Doanh thu cung cấp cho các bên liên quan > Công ty CP Đầu Tư Dũng Tâm,Công ty CP Đầu Tư Dũng Tâm,Bên liên quan,164.088.000,293.090.463,,164088000.0,293090463.0
Cổ tức nhận được từ các bên liên quan,Cổ tức nhận được từ các bên liên quan,Cổ tức nhận được từ các bên liên quan,Cổ tức nhận được từ các bên liên quan,Cổ tức nhận được từ các bên liên quan,Cổ tức nhận được từ các bên liên quan,,,
Công ty CP Dược Phẩm Cửu Long,Cổ tức nhận được từ các bên liên quan > Công ty CP Dược Phẩm Cửu Long,Công ty CP Dược Phẩm Cửu Long,Công ty con cấp 1,21.201.308.000,15.000.000.000,,21201308000.0,15000000000.0
Công ty TNHH Xuất nhập khẩu và TM F.I.T Việt Nam,Cổ tức nhận được từ các bên liên quan > Công ty TNHH Xuất nhập khẩu và TM F.I.T Việt Nam,Công ty TNHH Xuất nhập khẩu và TM F.I.T Việt Nam,Công ty con cấp 1,-,15.000.000.000,,,15000000000.0
Lãi từ hợp đồng hợp tác đầu tư,Lãi từ hợp đồng hợp tác đầu tư,Lãi từ hợp đồng hợp tác đầu tư,Lãi từ hợp đồng hợp tác đầu tư,Lãi từ hợp đồng hợp tác đầu tư,Lãi từ hợp đồng hợp tác đầu tư,,,
Công ty CP Dược Phẩm Cửu Long,Lãi từ hợp đồng hợp tác đầu tư > Công ty CP Dược Phẩm Cửu Long,Công ty CP Dược Phẩm Cửu Long,Công ty con cấp 1,-,166.269.820,,,166269820.0
Công ty CP đầu tư Bất Đông Sản F.I.T,Lãi từ hợp đồng hợp tác đầu tư > Công ty CP đầu tư Bất Đông Sản F.I.T,Công ty CP đầu tư Bất Đông Sản F.I.T,Công ty con cấp 1,8.741.589.040,388.052.777,,8741589040.0,388052777.0
Công ty CP FIT Consumer,Lãi từ hợp đồng hợp tác đầu tư > Công ty CP FIT Consumer,Công ty CP FIT Consumer,Công ty con cấp 2,633.815.449,310.963.891,,633815449.0,310963891.0
Công ty CP FIT COSMETICS,Lãi từ hợp đồng hợp tác đầu tư > Công ty CP FIT COSMETICS,Công ty CP FIT COSMETICS,Công ty liên kết,3.109.192.522,3.058.270.670,,3109192522.0,3058270670.0
Công ty CP chứng khoán Đại Nam,Lãi từ hợp đồng hợp tác đầu tư > Công ty CP chứng khoán Đại Nam,Công ty CP chứng khoán Đại Nam,Công ty liên kết,501.534.246,-,,501534246.0,
Công ty CP nước khoáng Khánh Hòa - Fit Beverage,Lãi từ hợp đồng hợp tác đầu tư > Công ty CP nước khoáng Khánh Hòa - Fit Beverage,Công ty CP nước khoáng Khánh Hòa - Fit Beverage,Công ty liên kết,-,7.666.667,,,7666667.0
Công ty CP Today Cosmetics,Lãi từ hợp đồng hợp tác đầu tư > Công ty CP Today Cosmetics,Công ty CP Today Cosmetics,Bên liên quan,878.487.219,675.120.553,,878487219.0,675120553.0
Sử dụng dịch vụ từ các bên liên quan,Sử dụng dịch vụ từ các bên liên quan,Sử dụng dịch vụ từ các bên liên quan,Sử dụng dịch vụ từ các bên liên quan,Sử dụng dịch vụ từ các bên liên quan,Sử dụng dịch vụ từ các bên liên quan,,,
Công ty CP chứng khoán Đại Nam,Sử dụng dịch vụ từ các bên liên quan > Công ty CP chứng khoán Đại Nam,Công ty CP chứng khoán Đại Nam,Công ty liên kết,638.509.388,264.918.963,,638509388.0,264918963.0
