row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Năm nay,Năm trước,numeric__Mã số,numeric__Năm nay,numeric__Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,,,
1. Lợi nhuận trước thuế,I. Lưu chuyển tiền từ hoạt động kinh doanh > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,56.325.379.889,118.270.862.473,1.0,56325379889.0,118270862473.0
2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,,,
- Khấu hao TSCĐ và BĐSDĐT,2. Điều chỉnh cho các khoản > - Khấu hao TSCĐ và BĐSDĐT,- Khấu hao TSCĐ và BĐSDĐT,02,4.246.735.459,2.539.293.844,2.0,4246735459.0,2539293844.0
- Các khoản dự phòng,2. Điều chỉnh cho các khoản > - Các khoản dự phòng,- Các khoản dự phòng,03,8.158.988.019,(17.850.749.662),3.0,8158988019.0,-17850749662.0
"- Lãi, lỗ từ hoạt động đầu tư","2. Điều chỉnh cho các khoản > - Lãi, lỗ từ hoạt động đầu tư","- Lãi, lỗ từ hoạt động đầu tư",05,(85.304.884.420),(105.177.497.537),5.0,-85304884420.0,-105177497537.0
- Chi phí lãi vay,2. Điều chỉnh cho các khoản > - Chi phí lãi vay,- Chi phí lãi vay,06,17.191.700.799,13.667.482.587,6.0,17191700799.0,13667482587.0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,2. Điều chỉnh cho các khoản > 3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,617.919.746,11.449.391.705,8.0,617919746.0,11449391705.0
- (Tăng)/giảm các khoản phải thu,2. Điều chỉnh cho các khoản > - (Tăng)/giảm các khoản phải thu,- (Tăng)/giảm các khoản phải thu,09,5.902.345.829,(13.284.595.483),9.0,5902345829.0,-13284595483.0
"- Tăng/(giảm) các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","2. Điều chỉnh cho các khoản > - Tăng/(giảm) các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","- Tăng/(giảm) các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,(182.974.569),21.006.694.136,11.0,-182974569.0,21006694136.0
- (Tăng)/giảm chi phí trả trước,2. Điều chỉnh cho các khoản > - (Tăng)/giảm chi phí trả trước,- (Tăng)/giảm chi phí trả trước,12,2.175.802.011,(602.063.251),12.0,2175802011.0,-602063251.0
- (Tăng)/giảm chứng khoán kinh doanh,2. Điều chỉnh cho các khoản > - (Tăng)/giảm chứng khoán kinh doanh,- (Tăng)/giảm chứng khoán kinh doanh,13,(45.783.318.516),106.610.533.662,13.0,-45783318516.0,106610533662.0
