row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm(Trình bày lại),numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
,,,VND,VND,,
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,3.467.883.940,149.641.042,3467883940.0,149641042.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,23.442.852.335,33.694.896.699,23442852335.0,33694896699.0
Đầu tư tài chính ngắn hạn,Tài sản tài chính > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,770.900.190.623,1.031.870.646.026,770900190623.0,1031870646026.0
Đầu tư tài chính dài hạn,Tài sản tài chính > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,110.000.000.000,-,110000000000.0,
Các khoản ký quỹ,Tài sản tài chính > Các khoản ký quỹ,Các khoản ký quỹ,1.054.300.000,1.043.300.000,1054300000.0,1043300000.0
Cộng,Tài sản tài chính > Cộng,Cộng,908.865.226.898,1.066.758.483.767,908865226898.0,1066758483767.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,48.937.898.453,156.978.344.768,48937898453.0,156978344768.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,12.107.147.438,12.372.416.879,12107147438.0,12372416879.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,11.473.875.785,13.856.695.374,11473875785.0,13856695374.0
Cộng,Công nợ tài chính > Cộng,Cộng,72.518.921.676,183.207.457.021,72518921676.0,183207457021.0
