row_label_raw,row_label_full,Chứng khoán kinh doanh ngắn hạn- Tổng giá trị cổ phiếu,Số cuối năm > Số lượng CP > 2.596.189,Số cuối năm > Giá gốc > 46.881.188.464,Số cuối năm > Giá trị hợp lý (i) > 38.722.200.445,Số cuối năm > Dự phòng > 8.158.988.019,Số đầu năm (Trình bày lại) > Số lượng CP > 60.000,Số đầu năm (Trình bày lại) > Giá gốc > 1.097.869.948,Số đầu năm (Trình bày lại) > Giá trị hợp lý (i) > 1.097.869.948,numeric__Số cuối năm > Số lượng CP > 2.596.189,numeric__Số cuối năm > Giá gốc > 46.881.188.464,numeric__Số cuối năm > Giá trị hợp lý (i) > 38.722.200.445,numeric__Số cuối năm > Dự phòng > 8.158.988.019,numeric__Số đầu năm (Trình bày lại) > Số lượng CP > 60.000,numeric__Số đầu năm (Trình bày lại) > Giá gốc > 1.097.869.948,numeric__Số đầu năm (Trình bày lại) > Giá trị hợp lý (i) > 1.097.869.948
Đầu tư chứng khoán đã được niêm yết,Đầu tư chứng khoán đã được niêm yết,Đầu tư chứng khoán đã được niêm yết,2.596.189,46.881.188.464,38.722.200.445,8.158.988.019,60.000,1.097.869.948,1.097.869.948,2596189.0,46881188464.0,38722200445.0,8158988019.0,60000.0,1097869948.0,1097869948.0
Tổng Công ty Dầu Việt Nam - Công ty TNHH MTV,Tổng Công ty Dầu Việt Nam - Công ty TNHH MTV,Tổng Công ty Dầu Việt Nam - Công ty TNHH MTV,534.500,9.049.593.734,8.070.950.000,978.643.734,-,-,-,534500.0,9049593734.0,8070950000.0,978643734.0,,,
Công ty Cổ phần Tập đoàn Hà Đô,Công ty Cổ phần Tập đoàn Hà Đô,Công ty Cổ phần Tập đoàn Hà Đô,148.750,6.130.537.801,5.131.875.000,998.662.801,-,-,-,148750.0,6130537801.0,5131875000.0,998662801.0,,,
Tổng công ty Thương Mại Hà Nội,Tổng công ty Thương Mại Hà Nội,Tổng công ty Thương Mại Hà Nội,391.112,5.006.233.600,3.520.008.000,1.486.225.600,-,-,-,391112.0,5006233600.0,3520008000.0,1486225600.0,,,
Công ty Cổ phần Tập đoàn C.E.O,Công ty Cổ phần Tập đoàn C.E.O,Công ty Cổ phần Tập đoàn C.E.O,304.300,4.995.111.445,3.895.040.000,1.100.071.445,-,-,-,304300.0,4995111445.0,3895040000.0,1100071445.0,,,
Công ty Cổ phần GTNfoods,Công ty Cổ phần GTNfoods,Công ty Cổ phần GTNfoods,423.620,4.376.918.345,4.363.286.000,13.632.345,-,-,-,423620.0,4376918345.0,4363286000.0,13632345.0,,,
Ngân hàng TMCP Sài Gòn - Hà Nội,Ngân hàng TMCP Sài Gòn - Hà Nội,Ngân hàng TMCP Sài Gòn - Hà Nội,300.000,3.666.491.500,2.160.000.000,1.506.491.500,-,-,-,300000.0,3666491500.0,2160000000.0,1506491500.0,,,
Ngân hàng TMCP Công Thương Việt Nam,Ngân hàng TMCP Công Thương Việt Nam,Ngân hàng TMCP Công Thương Việt Nam,142.310,3.443.559.603,2.746.583.000,696.976.603,-,-,-,142310.0,3443559603.0,2746583000.0,696976603.0,,,
Tổng Công ty Viglacera,Tổng Công ty Viglacera,Tổng Công ty Viglacera,171.900,2.852.702.645,2.852.702.645,-,-,-,-,171900.0,2852702645.0,2852702645.0,,,,
Công ty CP Tài Nguyên Masan,Công ty CP Tài Nguyên Masan,Công ty CP Tài Nguyên Masan,120.500,2.494.623.625,2.289.500.000,205.123.625,-,-,-,120500.0,2494623625.0,2289500000.0,205123625.0,,,
Công ty CP Vinhomes,Công ty CP Vinhomes,Công ty CP Vinhomes,27.837,2.460.409.073,2.043.235.800,417.173.273,-,-,-,27837.0,2460409073.0,2043235800.0,417173273.0,,,
Công ty Cổ phần Nhựa Bình Minh,Công ty Cổ phần Nhựa Bình Minh,Công ty Cổ phần Nhựa Bình Minh,31.350,2.404.997.093,1.649.010.000,755.987.093,50.000,1.097.859.948,1.097.859.948,31350.0,2404997093.0,1649010000.0,755987093.0,50000.0,1097859948.0,1097859948.0
Đối tượng khác,Đối tượng khác,Đối tượng khác,10,10.000,10.000,-,10.000,10.000,10.000,10.0,10000.0,10000.0,,10000.0,10000.0,10000.0
