row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Tổng cộng
,,,VND,VND,VND,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Tại ngày đầu năm,NGUYÊN GIÁ > Tại ngày đầu năm,Tại ngày đầu năm,18.825.345.650,205.700.000,19.031.045.650,18825345650.0,205700000.0,19031045650.0
Tại ngày cuối năm,NGUYÊN GIÁ > Tại ngày cuối năm,Tại ngày cuối năm,18.825.345.650,205.700.000,19.031.045.650,18825345650.0,205700000.0,19031045650.0
GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,,,
Tại ngày đầu năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Tại ngày đầu năm,Tại ngày đầu năm,-,165.699.992,165.699.992,,165699992.0,165699992.0
- Khấu hao trong năm,GIÁ TRỊ HAO MÔN LỦY KẾ > - Khấu hao trong năm,- Khấu hao trong năm,-,40.000.008,40.000.008,,40000008.0,40000008.0
Tại ngày cuối năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Tại ngày cuối năm,Tại ngày cuối năm,-,205.700.000,205.700.000,,205700000.0,205700000.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,18.825.345.650,40.000.008,18.865.345.658,18825345650.0,40000008.0,18865345658.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,18.825.345.650,-,18.825.345.650,18825345650.0,,18825345650.0
