row_label_raw,row_label_full,col_0,Dưới 1 năm,Từ 1 - 5 năm,Cộng,numeric__Dưới 1 năm,numeric__Từ 1 - 5 năm,numeric__Cộng
,,,VND,VND,VND,,,
Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,,,
Tiền và các khoản tương đương tiền,Tại ngày đầu năm > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,149.641.042,-,149.641.042,149641042.0,,149641042.0
Phải thu khách hàng và phải thu khác,Tại ngày đầu năm > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,33.694.896.699,-,33.694.896.699,33694896699.0,,33694896699.0
Đầu tư tài chính ngắn hạn,Tại ngày đầu năm > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,1.031.870.646.026,-,1.031.870.646.026,1031870646026.0,,1031870646026.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,-,-,-,,,
Các khoản ký quỹ,Đầu tư tài chính dài hạn > Các khoản ký quỹ,Các khoản ký quỹ,28.800.000,1.014.500.000,1.043.300.000,28800000.0,1014500000.0,1043300000.0
Tổng cộng,Đầu tư tài chính dài hạn > Tổng cộng,Tổng cộng,1.065.743.983.767,1.014.500.000,1.066.758.483.767,1065743983767.0,1014500000.0,1066758483767.0
Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,,,
Các khoản vay,Tại ngày đầu năm > Các khoản vay,Các khoản vay,123.121.918.268,33.856.426.500,156.978.344.768,123121918268.0,33856426500.0,156978344768.0
Phải trả người bán và phải trả khác,Tại ngày đầu năm > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,884.386.929,11.488.029.950,12.372.416.879,884386929.0,11488029950.0,12372416879.0
Chỉ phí phải trả,Tại ngày đầu năm > Chỉ phí phải trả,Chỉ phí phải trả,13.856.695.374,-,13.856.695.374,13856695374.0,,13856695374.0
Tổng cộng,Tại ngày đầu năm > Tổng cộng,Tổng cộng,137.863.000.571,45.344.456.450,183.207.457.021,137863000571.0,45344456450.0,183207457021.0
Chênh lệch thanh khoản thuần,Tại ngày đầu năm > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,927.880.983.196,(44.329.956.450),883.551.026.746,927880983196.0,-44329956450.0,883551026746.0
