row_label_raw,row_label_full,Số đầu năm,Năm nay > (233.956.079.434),VNDNăm trước(Dã điều chỉnh lại – Thuyết minh số 33) > (137.351.591.719),numeric__Năm nay > (233.956.079.434),numeric__VNDNăm trước(Dã điều chỉnh lại – Thuyết minh số 33) > (137.351.591.719)
Tăng do nhận sáp nhập,Tăng do nhận sáp nhập,Tăng do nhận sáp nhập,(12.451.876.358),-,-12451876358.0,
Dự phòng trích lập trong năm,Dự phòng trích lập trong năm,Dự phòng trích lập trong năm,(225.136.029.509),(96.604.487.715),-225136029509.0,-96604487715.0
Hoàn nhập dự phòng trong năm,Hoàn nhập dự phòng trong năm,Hoàn nhập dự phòng trong năm,350.222.090.552,-,350222090552.0,
Số cuối năm,Số cuối năm,Số cuối năm,(121.321.894.749),(233.956.079.434),-121321894749.0,-233956079434.0
