row_label_raw,row_label_full,col_0,Số cuối năm,VND > Số đầu năm (Đã điều chỉnh lại – Thuyết minh số 33),numeric__Số cuối năm,numeric__VND > Số đầu năm (Đã điều chỉnh lại – Thuyết minh số 33)
Lãi vay,Lãi vay,Lãi vay,91.278.805.245,25.231.047.494,91278805245.0,25231047494.0
Phải trả các bên liên quan (Thuyết minh số 31),Phải trả các bên liên quan (Thuyết minh số 31),Phải trả các bên liên quan (Thuyết minh số 31),8.977.297.601,16.151.666.668,8977297601.0,16151666668.0
Khác,Khác,Khác,3.503.107.657,1.247.939.137,3503107657.0,1247939137.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,103.759.210.503,42.630.653.299,103759210503.0,42630653299.0
