row_label_raw,row_label_full,col_0,Năm nay,VND > Năm trước (Đã điều chỉnh /ại - Thuyết minh số 33),numeric__Năm nay,numeric__VND > Năm trước (Đã điều chỉnh /ại - Thuyết minh số 33)
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,62.306.329.136,55.708.805.743,62306329136.0,55708805743.0
Chi phí khấu hao và hao mòn,Chi phí khấu hao và hao mòn,Chi phí khấu hao và hao mòn,824.034.824,713.548.290,824034824.0,713548290.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",5.498.181.701,5.132.504.842,5498181701.0,5132504842.0
Thuế và phí,Thuế và phí,Thuế và phí,2.465.206.918,2.463.808.277,2465206918.0,2463808277.0
(Hoàn nhập) chi phí dự phòng,(Hoàn nhập) chi phí dự phòng,(Hoàn nhập) chi phí dự phòng,(124.056.276.934),181.422.907.883,-124056276934.0,181422907883.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,19.963.050.431,11.538.737.931,19963050431.0,11538737931.0
Chi phí khác,Chi phí khác,Chi phí khác,5.225.081.937,2.789.090.435,5225081937.0,2789090435.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,(27.754.391.987),259.769.403.401,-27754391987.0,259769403401.0
