row_label_raw,row_label_full,col_0,Năm nay,VND > Năm trước(Dã điều chỉnh lại – Thuyết minh số 33),numeric__Năm nay,numeric__VND > Năm trước(Dã điều chỉnh lại – Thuyết minh số 33)
Thu nhập khác,Thu nhập khác,Thu nhập khác,29.599.975.524,161.419.615.637,29599975524.0,161419615637.0
Thu nhập từ nợ gốc vay được xóa,Thu nhập từ nợ gốc vay được xóa,Thu nhập từ nợ gốc vay được xóa,14.403.026.433,87.433.106.462,14403026433.0,87433106462.0
Thu nhập từ lãi vay được xóa,Thu nhập từ lãi vay được xóa,Thu nhập từ lãi vay được xóa,11.254.407.711,65.688.280.713,11254407711.0,65688280713.0
Phạt vi phạm hợp đồng,Phạt vi phạm hợp đồng,Phạt vi phạm hợp đồng,2.094.637.300,1.260.576.297,2094637300.0,1260576297.0
Thanh lý tài sản,Thanh lý tài sản,Thanh lý tài sản,690.722.074,6.410.291.347,690722074.0,6410291347.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,1.157.182.006,627.360.818,1157182006.0,627360818.0
Chi phí khác,Chi phí khác,Chi phí khác,(15.246.740.802),(14.136.565.432),-15246740802.0,-14136565432.0
Phạt chậm nộp thuế và bảo hiểm,Phạt chậm nộp thuế và bảo hiểm,Phạt chậm nộp thuế và bảo hiểm,(8.904.526.525),(8.379.503.746),-8904526525.0,-8379503746.0
Phạt vi phạm hợp đồng,Phạt vi phạm hợp đồng,Phạt vi phạm hợp đồng,(3.263.852.761),(2.444.168.454),-3263852761.0,-2444168454.0
Xóa số tài sản có định,Xóa số tài sản có định,Xóa số tài sản có định,(2.654.332.706),-,-2654332706.0,
Thù lao Hội đồng Quản trị,Thù lao Hội đồng Quản trị,Thù lao Hội đồng Quản trị,-,(506.000.000),,-506000000.0
Chi phí khác,Chi phí khác,Chi phí khác,(424.028.810),(2.806.893.232),-424028810.0,-2806893232.0
LỘI NHUẬN KHÁC THUÀN,LỘI NHUẬN KHÁC THUÀN,LỘI NHUẬN KHÁC THUÀN,14.353.234.722,147.283.050.205,14353234722.0,147283050205.0
