row_label_raw,row_label_full,col_0,Phân mềm máy tính,Khác,VND Tổng công,numeric__Phân mềm máy tính,numeric__Khác,numeric__VND Tổng công
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,494.272.894,-,494.272.894,494272894.0,,494272894.0
Tăng do nhận sáp nhập,Nguyên giá: > Tăng do nhận sáp nhập,Tăng do nhận sáp nhập,5.270.539.481,157.259.011,5.427.798.492,5270539481.0,157259011.0,5427798492.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,193.801.920,-,193.801.920,193801920.0,,193801920.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,5.958.614.295,157.259.011,6.115.873.306,5958614295.0,157259011.0,6115873306.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Đã hao mòn hết,Trong đó: > Đã hao mòn hết,Đã hao mòn hết,323.830.785,157.259.011,481.089.796,323830785.0,157259011.0,481089796.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,(454.644.661),-,(454.644.661),-454644661.0,,-454644661.0
Tăng do nhận sáp nhập,Giá trị hao mòn lũy kế: > Tăng do nhận sáp nhập,Tăng do nhận sáp nhập,(2.120.092.776),(154.933.945),(2.275.026.721),-2120092776.0,-154933945.0,-2275026721.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,(75.186.618),(2.325.066),(77.511.684),-75186618.0,-2325066.0,-77511684.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,(2.649.924.055),(157.259.011),(2.807.183.066),-2649924055.0,-157259011.0,-2807183066.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,39.628.233,-,39.628.233,39628233.0,,39628233.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,3.308.690.240,-,3.308.690.240,3308690240.0,,3308690240.0
