row_label_raw,row_label_full,Ngân hàng,Số cuối năm VND,Nguyên tệ USD,Kỳ hạn trả gốc và lãi,Lãi suất %/năm,Hình thức đảm bảo,numeric__Số cuối năm VND,numeric__Nguyên tệ USD,numeric__Kỳ hạn trả gốc và lãi,numeric__Lãi suất %/năm,numeric__Hình thức đảm bảo
"Ngân hàng Thương mại Cổ phần Đông Á, Chi nhánh Bình Dương (""Dong A Bank"")","Ngân hàng Thương mại Cổ phần Đông Á, Chi nhánh Bình Dương (""Dong A Bank"")","Ngân hàng Thương mại Cổ phần Đông Á, Chi nhánh Bình Dương (""Dong A Bank"")","Ngân hàng Thương mại Cổ phần Đông Á, Chi nhánh Bình Dương (""Dong A Bank"")","Ngân hàng Thương mại Cổ phần Đông Á, Chi nhánh Bình Dương (""Dong A Bank"")","Ngân hàng Thương mại Cổ phần Đông Á, Chi nhánh Bình Dương (""Dong A Bank"")","Ngân hàng Thương mại Cổ phần Đông Á, Chi nhánh Bình Dương (""Dong A Bank"")","Ngân hàng Thương mại Cổ phần Đông Á, Chi nhánh Bình Dương (""Dong A Bank"")",,,,,
Hợp đồng số H0367/1N ngày 25 tháng 6 năm 2015,"Ngân hàng Thương mại Cổ phần Đông Á, Chi nhánh Bình Dương (""Dong A Bank"") > Hợp đồng số H0367/1N ngày 25 tháng 6 năm 2015",Hợp đồng số H0367/1N ngày 25 tháng 6 năm 2015,124.292.700.000,-,Từ ngày 27 tháng 7 năm 2016 đến ngày 23 tháng 9 năm 2016,"8,5",\( 12.859 \text{ m}^{3} \text{gỗ nguyên liệu các loại và thành phẩm của Công ty} \),124292700000.0,,,8.5,
"Ngân hàng Thương mại Cổ phần Sài Gòn Hà Nội, Chi nhánh Phú Nhuận (""SHB"")","Ngân hàng Thương mại Cổ phần Sài Gòn Hà Nội, Chi nhánh Phú Nhuận (""SHB"")","Ngân hàng Thương mại Cổ phần Sài Gòn Hà Nội, Chi nhánh Phú Nhuận (""SHB"")","Ngân hàng Thương mại Cổ phần Sài Gòn Hà Nội, Chi nhánh Phú Nhuận (""SHB"")","Ngân hàng Thương mại Cổ phần Sài Gòn Hà Nội, Chi nhánh Phú Nhuận (""SHB"")","Ngân hàng Thương mại Cổ phần Sài Gòn Hà Nội, Chi nhánh Phú Nhuận (""SHB"")","Ngân hàng Thương mại Cổ phần Sài Gòn Hà Nội, Chi nhánh Phú Nhuận (""SHB"")","Ngân hàng Thương mại Cổ phần Sài Gòn Hà Nội, Chi nhánh Phú Nhuận (""SHB"")",,,,,
Hợp đồng số 02/2013/HĐHM-PN/SHB.PN ngày 9 tháng 4 năm 2013,Hợp đồng số 02/2013/HĐHM-PN/SHB.PN ngày 9 tháng 4 năm 2013,Hợp đồng số 02/2013/HĐHM-PN/SHB.PN ngày 9 tháng 4 năm 2013,Hợp đồng số 02/2013/HĐHM-PN/SHB.PN ngày 9 tháng 4 năm 2013,Hợp đồng số 02/2013/HĐHM-PN/SHB.PN ngày 9 tháng 4 năm 2013,Hợp đồng số 02/2013/HĐHM-PN/SHB.PN ngày 9 tháng 4 năm 2013,Hợp đồng số 02/2013/HĐHM-PN/SHB.PN ngày 9 tháng 4 năm 2013,Hợp đồng số 02/2013/HĐHM-PN/SHB.PN ngày 9 tháng 4 năm 2013,,,,,
- VND,Hợp đồng số 02/2013/HĐHM-PN/SHB.PN ngày 9 tháng 4 năm 2013 > - VND,- VND,41.520.634.438,-,Từ ngày 25 tháng 4 năm 2014 đến ngày 24 tháng 12 năm 2014,"11,5","Quyền đời nợ hình thành từ các hợp đồng xuất khẩu, hàng tồn kho và các tài sản hình thành trong tương lai và quyền sử dụng đất thuộc quyền sở hữu của Công ty Cổ phần Trồng rừng Trường Thành, công ty con của Công ty",41520634438.0,,,11.5,
- USD,Hợp đồng số 02/2013/HĐHM-PN/SHB.PN ngày 9 tháng 4 năm 2013 > - USD,- USD,15.326.275.000,672.500,Từ ngày 21 tháng 10 năm 2014 đến ngày 6 tháng 12 năm 2014,"6,9","Quyền đời nợ hình thành từ các hợp đồng xuất khẩu, hàng tồn kho và các tài sản hình thành trong tương lai và quyền sử dụng đất thuộc quyền sở hữu của Công ty Cổ phần Trồng rừng Trường Thành, công ty con của Công ty",15326275000.0,672500.0,,6.9,
"Ngân hàng Thương mại Cổ phần Kiên Long, Chi nhánh Bình Dương (""Kien Long Bank"")","Ngân hàng Thương mại Cổ phần Kiên Long, Chi nhánh Bình Dương (""Kien Long Bank"")","Ngân hàng Thương mại Cổ phần Kiên Long, Chi nhánh Bình Dương (""Kien Long Bank"")","Ngân hàng Thương mại Cổ phần Kiên Long, Chi nhánh Bình Dương (""Kien Long Bank"")","Ngân hàng Thương mại Cổ phần Kiên Long, Chi nhánh Bình Dương (""Kien Long Bank"")","Ngân hàng Thương mại Cổ phần Kiên Long, Chi nhánh Bình Dương (""Kien Long Bank"")","Ngân hàng Thương mại Cổ phần Kiên Long, Chi nhánh Bình Dương (""Kien Long Bank"")","Ngân hàng Thương mại Cổ phần Kiên Long, Chi nhánh Bình Dương (""Kien Long Bank"")",,,,,
Hợp đồng số 2047/14/HĐTD/0100-2647 ngày 10 tháng 12 năm 2014,"Ngân hàng Thương mại Cổ phần Kiên Long, Chi nhánh Bình Dương (""Kien Long Bank"") > Hợp đồng số 2047/14/HĐTD/0100-2647 ngày 10 tháng 12 năm 2014",Hợp đồng số 2047/14/HĐTD/0100-2647 ngày 10 tháng 12 năm 2014,59.980.000.000,-,Từ ngày 5 tháng 11 năm 2016 đến 4 tháng 12 năm 2016,"9,27","\( 4.818 \text{ m}^{3} \text{gỗ nguyên liệu các loại và thành phẩm của CBG, công ty con đã sáp nhập vào Công ty} \)",59980000000.0,,,9.27,
TỔNG CỘNG,"Ngân hàng Thương mại Cổ phần Kiên Long, Chi nhánh Bình Dương (""Kien Long Bank"") > TỔNG CỘNG",TỔNG CỘNG,791.238.294.064,1.229.746,,,,791238294064.0,1229746.0,,,
Công ty sử dụng các khoản vay này nhằm mục đích bổ sung nhu cầu vốn lưu động của Công ty.,Công ty sử dụng các khoản vay này nhằm mục đích bổ sung nhu cầu vốn lưu động của Công ty.,Công ty sử dụng các khoản vay này nhằm mục đích bổ sung nhu cầu vốn lưu động của Công ty.,Công ty sử dụng các khoản vay này nhằm mục đích bổ sung nhu cầu vốn lưu động của Công ty.,Công ty sử dụng các khoản vay này nhằm mục đích bổ sung nhu cầu vốn lưu động của Công ty.,Công ty sử dụng các khoản vay này nhằm mục đích bổ sung nhu cầu vốn lưu động của Công ty.,Công ty sử dụng các khoản vay này nhằm mục đích bổ sung nhu cầu vốn lưu động của Công ty.,Công ty sử dụng các khoản vay này nhằm mục đích bổ sung nhu cầu vốn lưu động của Công ty.,,,,,
