row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước(Dã điều chỉnh lại – Thuyết minh số 33),numeric__Năm nay,numeric__VNDNăm trước(Dã điều chỉnh lại – Thuyết minh số 33)
Tổng lỗ kế toán trước thuế,Tổng lỗ kế toán trước thuế,Tổng lỗ kế toán trước thuế,(1.275.586.231.739),(134.810.413.106),-1275586231739.0,-134810413106.0
Thuế TNDN theo thuế suất 20% áp dụng cho Công ty (Năm 2015: 22%),Thuế TNDN theo thuế suất 20% áp dụng cho Công ty (Năm 2015: 22%),Thuế TNDN theo thuế suất 20% áp dụng cho Công ty (Năm 2015: 22%),(255.117.246.348),(29.658.290.883),-255117246348.0,-29658290883.0
Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,,
"Hao hụt, mất mát hàng tồn kho","Các khoản điều chỉnh: > Hao hụt, mất mát hàng tồn kho","Hao hụt, mất mát hàng tồn kho",186.207.432.312,-,186207432312.0,
Lỗ do sáp nhập,Các khoản điều chỉnh: > Lỗ do sáp nhập,Lỗ do sáp nhập,15.109.709.415,-,15109709415.0,
Các khoản phạt,Các khoản điều chỉnh: > Các khoản phạt,Các khoản phạt,2.433.675.857,-,2433675857.0,
Chỉ phí không được trừ,Các khoản điều chỉnh: > Chỉ phí không được trừ,Chỉ phí không được trừ,530.866.542,2.044.602.334,530866542.0,2044602334.0
Dự phòng giảm giá hàng tồn kho,Các khoản điều chỉnh: > Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,14.273.072.959,-,14273072959.0,
Thay đổi chi phí phải trả,Các khoản điều chỉnh: > Thay đổi chi phí phải trả,Thay đổi chi phí phải trả,7.384.992.870,5.072.988.676,7384992870.0,5072988676.0
Dự phòng nợ phải thu khó đòi,Các khoản điều chỉnh: > Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,(13.209.149.256),38.481.468.228,-13209149256.0,38481468228.0
Dự phòng đầu tư tài chính,Các khoản điều chỉnh: > Dự phòng đầu tư tài chính,Dự phòng đầu tư tài chính,5.015.014.824,19.308.719.014,5015014824.0,19308719014.0
Dự phòng trợ cấp thời việc,Các khoản điều chỉnh: > Dự phòng trợ cấp thời việc,Dự phòng trợ cấp thời việc,289.562.500,112.552.000,289562500.0,112552000.0
Chênh lệch tỷ giá do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ,Các khoản điều chỉnh: > Chênh lệch tỷ giá do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ,Chênh lệch tỷ giá do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ,(2.675.438.546),(2.581.524.435),-2675438546.0,-2581524435.0
Lỗ chuyển sang các năm sau,Các khoản điều chỉnh: > Lỗ chuyển sang các năm sau,Lỗ chuyển sang các năm sau,39.757.506.871,-,39757506871.0,
Chỉ phí thuế TNDN,Các khoản điều chỉnh: > Chỉ phí thuế TNDN,Chỉ phí thuế TNDN,-,32.780.514.934,,32780514934.0
