row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số đầu năm(Đã điều chỉnh lại – Thuyết minh số 33),Số đầu năm(Đã điều chỉnh lại – Thuyết minh số 33)_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm(Đã điều chỉnh lại – Thuyết minh số 33),numeric__Số đầu năm(Đã điều chỉnh lại – Thuyết minh số 33)_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Hàng đang đi trên đường,Hàng đang đi trên đường,Hàng đang đi trên đường,12.680.838.957,-,576.623.405,-,12680838957.0,,576623405.0,
Nguyên vật liệu,Nguyên vật liệu,Nguyên vật liệu,656.409.652.497,(46.232.735.938),780.818.548.781,(30.270.314.562),656409652497.0,-46232735938.0,780818548781.0,-30270314562.0
Vật liệu phụ,Vật liệu phụ,Vật liệu phụ,21.247.232.648,(516.476.264),26.155.738.674,(516.476.264),21247232648.0,-516476264.0,26155738674.0,-516476264.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",1.291.320.832,-,780.262.882,-,1291320832.0,,780262882.0,
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,392.152.800.196,(23.717.007.119),623.260.944.719,(13.230.539.353),392152800196.0,-23717007119.0,623260944719.0,-13230539353.0
Chi phí dở dang hàng sản xuất,Chi phí dở dang hàng sản xuất,Chi phí dở dang hàng sản xuất,119.175.881.055,(1.730.539.353),401.526.007.369,(1.730.539.353),119175881055.0,-1730539353.0,401526007369.0,-1730539353.0
Chi phí dở dang công trình lắp đặt,Chi phí dở dang công trình lắp đặt,Chi phí dở dang công trình lắp đặt,182.343.520.021,(10.486.467.766),109.478.637.358,-,182343520021.0,-10486467766.0,109478637358.0,
"Chi phí trồng rừng Huyện Krông Pắk, Tĩnh Đắk Lắk","Chi phí trồng rừng Huyện Krông Pắk, Tĩnh Đắk Lắk","Chi phí trồng rừng Huyện Krông Pắk, Tĩnh Đắk Lắk",57.133.399.120,-,78.756.299.992,-,57133399120.0,,78756299992.0,
Bắt động sản (*),Bắt động sản (*),Bắt động sản (*),33.500.000.000,(11.500.000.000),33.500.000.000,(11.500.000.000),33500000000.0,-11500000000.0,33500000000.0,-11500000000.0
