row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,Số cuối năm,Số đầu năm (Đã điều chỉnh lại – Thuyết minh số 33),numeric__TÀI SẢN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (Đã điều chỉnh lại – Thuyết minh số 33)
100,100,100,A. TÀI SẢN NGĂN HẠN,,2.423.246.552.958,2.577.198.863.917,,,2423246552958.0,2577198863917.0
110,110,110,I. Tiền và các khoản tương đương tiền,5,103.850.722.369,4.615.301.999,,5.0,103850722369.0,4615301999.0
111,111,111,1. Tiền,,103.850.722.369,4.564.877.018,,,103850722369.0,4564877018.0
112,112,112,2. Các khoản tương đương tiền,,-,50.424.981,,,,50424981.0
120,120,120,II. Đầu tư tài chính ngắn hạn,6,752.831.791,125.062.930.061,,6.0,752831791.0,125062930061.0
123,123,123,1. Đầu tư nấm giữ đến ngày đáo hạn,,752.831.791,125.062.930.061,,,752831791.0,125062930061.0
130,130,130,III. Các khoản phải thu ngắn hạn,,1.107.767.528.545,948.343.825.553,,,1107767528545.0,948343825553.0
131,131,131,1. Phải thu ngắn hạn của khách hàng,7.1,769.779.410.870,847.450.935.205,,71.0,769779410870.0,847450935205.0
132,132,132,2. Trả trước cho người bán ngắn hạn,7.2,75.722.684.363,39.301.495.813,,72.0,75722684363.0,39301495813.0
135,135,135,3. Phải thu về cho vay ngắn hạn,8,257.688.912.951,190.908.088.526,,8.0,257688912951.0,190908088526.0
136,136,136,4. Phải thu ngắn hạn khác,9,125.228.531.326,94.049.544.014,,9.0,125228531326.0,94049544014.0
137,137,137,5. Dự phòng phải thu ngắn hạn khó đòi,"7, 8, 9",(120.652.010.965),(223.366.238.005),,,-120652010965.0,-223366238005.0
140,140,140,IV. Hàng tồn kho,11,1.152.072.697.206,1.474.350.001.048,,11.0,1152072697206.0,1474350001048.0
141,141,141,1. Hàng tồn kho,,1.228.659.581.047,1.522.726.721.389,,,1228659581047.0,1522726721389.0
149,149,149,2. Dự phòng giảm giá hàng tồn kho,,(76.586.883.841),(48.376.720.341),,,-76586883841.0,-48376720341.0
150,150,150,V. Tài sản ngắn hạn khác,,58.802.773.047,24.826.805.256,,,58802773047.0,24826805256.0
151,151,151,1. Chi phí trả trước ngắn hạn,15,3.727.826.238,1.033.542.305,,15.0,3727826238.0,1033542305.0
152,152,152,2. Thuế GTGT được khấu trừ,,52.605.169.094,22.302.456.300,,,52605169094.0,22302456300.0
153,153,153,3. Thuế và các khoản khác phải thu Nhà nước,18,2.469.777.715,1.490.806.651,,18.0,2469777715.0,1490806651.0
200,200,200,B. TÀI SẢN DÀI HẠN,,849.608.147.069,605.057.173.057,,,849608147069.0,605057173057.0
210,210,210,I. Các khoản phải thu dài hạn,,35.401.679.296,45.166.010.672,,,35401679296.0,45166010672.0
212,212,212,1. Trả trước cho người bán dài hạn,7.2,669.883.784,25.865.164.805,,72.0,669883784.0,25865164805.0
215,215,215,2. Phải thu về cho vay dài hạn,8,34.491.840.000,28.920.848.000,,8.0,34491840000.0,28920848000.0
216,216,216,3. Phải thu dài hạn khác,9,909.839.296,969.839.296,,9.0,909839296.0,969839296.0
219,219,219,4. Dự phòng phải thu dài hạn khó đòi,7,(669.883.784),(10.589.841.429),,7.0,-669883784.0,-10589841429.0
220,220,220,II. Tài sản cố định,,377.301.525.553,79.614.802.279,,,377301525553.0,79614802279.0
221,221,221,1. Tài sản cố định hữu hình,12,373.992.835.313,79.575.174.046,,12.0,373992835313.0,79575174046.0
222,222,222,Nguyên giá,,531.615.599.230,113.184.767.946,,,531615599230.0,113184767946.0
223,223,223,Giá trị khấu hao lũy kế,,(157.622.763.917),(33.609.593.900),,,-157622763917.0,-33609593900.0
227,227,227,2. Tài sản cố định vô hình,13,3.308.690.240,39.628.233,,13.0,3308690240.0,39628233.0
228,228,228,Nguyên giá,,6.115.873.306,494.272.894,,,6115873306.0,494272894.0
229,229,229,Giá trị hao mòn lũy kế,,(2.807.183.066),(454.644.661),,,-2807183066.0,-454644661.0
240,240,240,III. Tài sản dở dang dài hạn,,47.095.960.884,7.248.328.280,,,47095960884.0,7248328280.0
242,242,242,1. Chi phí xây dựng cơ bản dở dang,14,47.095.960.884,7.248.328.280,,14.0,47095960884.0,7248328280.0
250,250,250,IV. Đầu tư tài chính dài hạn,16,301.958.766.483,414.760.570.989,,16.0,301958766483.0,414760570989.0
251,251,251,1. Đầu tư vào công ty con,,241.385.487.443,373.385.487.443,,,241385487443.0,373385487443.0
252,252,252,"2. Đầu tư vào công ty liên doanh, liên kết",,173.135.473.000,173.135.473.000,,,173135473000.0,173135473000.0
253,253,253,3. Đầu tư góp vốn vào đơn vị khác,,279.784.766,279.784.766,,,279784766.0,279784766.0
254,254,254,4. Dự phòng đầu tư tài chính dài hạn,,(112.841.978.726),(132.040.174.220),,,-112841978726.0,-132040174220.0
260,260,260,V. Tài sản dài hạn khác,,87.850.214.853,58.267.460.837,,,87850214853.0,58267460837.0
261,261,261,1. Chi phí trả trước dài hạn,15,87.850.214.853,58.267.460.837,,15.0,87850214853.0,58267460837.0
270,270,270,TỔNG CỘNG TÀI SẢN,,3.272.854.700.027,3.182.256.036.974,,,3272854700027.0,3182256036974.0
