row_label_raw,row_label_full,col_0,Số cuối năm,VND > Số đầu năm(Đã điều chỉnh lại –Thuyết minh số 33),numeric__Số cuối năm,numeric__VND > Số đầu năm(Đã điều chỉnh lại –Thuyết minh số 33)
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Chi phí bảo hiểm,Ngắn hạn > Chi phí bảo hiểm,Chi phí bảo hiểm,2.040.301.077,425.167.238,2040301077.0,425167238.0
"Công cụ, dụng cụ","Ngắn hạn > Công cụ, dụng cụ","Công cụ, dụng cụ",1.370.811.500,482.835.754,1370811500.0,482835754.0
Khác,Ngắn hạn > Khác,Khác,316.713.661,125.539.313,316713661.0,125539313.0
,,,3.727.826.238,1.033.542.305,3727826238.0,1033542305.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Chi phí thuê đất (*),Dài hạn > Chi phí thuê đất (*),Chi phí thuê đất (*),71.657.928.210,42.442.673.605,71657928210.0,42442673605.0
"Công cụ, dụng cụ","Dài hạn > Công cụ, dụng cụ","Công cụ, dụng cụ",15.570.613.064,15.110.005.027,15570613064.0,15110005027.0
Khác,Dài hạn > Khác,Khác,621.673.579,714.782.205,621673579.0,714782205.0
,,,87.850.214.853,58.267.460.837,87850214853.0,58267460837.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,91.578.041.091,59.301.003.142,91578041091.0,59301003142.0
