row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước (Đã điều chỉnh lại – Thuyết minh số 33),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Đã điều chỉnh lại – Thuyết minh số 33)
,,,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,,,,
01,01,01,Tổng lỗ kế toán trước thuế Điều chỉnh cho các khoản: Khấu hao và hao mòn Các khoản dự phòng Lãi chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ Lỗ (lãi) từ hoạt động đầu tư Chi phí lãi vay,"12, 13",(1.275.586.231.739)11.563.364.3398.731.024.518(12.935.192.844)40.746.044.058208.857.085.815,(134.810.413.106)6.064.805.755286.133.171.121(12.065.520.056)(27.461.189.078)136.335.253.556,,,,
02,02,02,Tổng lỗ kế toán trước thuế Điều chỉnh cho các khoản: Khấu hao và hao mòn Các khoản dự phòng Lãi chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ Lỗ (lãi) từ hoạt động đầu tư Chi phí lãi vay,"12, 13",(1.275.586.231.739)11.563.364.3398.731.024.518(12.935.192.844)40.746.044.058208.857.085.815,(134.810.413.106)6.064.805.755286.133.171.121(12.065.520.056)(27.461.189.078)136.335.253.556,,,,
03,03,03,Tổng lỗ kế toán trước thuế Điều chỉnh cho các khoản: Khấu hao và hao mòn Các khoản dự phòng Lãi chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ Lỗ (lãi) từ hoạt động đầu tư Chi phí lãi vay,"12, 13",(1.275.586.231.739)11.563.364.3398.731.024.518(12.935.192.844)40.746.044.058208.857.085.815,(134.810.413.106)6.064.805.755286.133.171.121(12.065.520.056)(27.461.189.078)136.335.253.556,,,,
04,04,04,Tổng lỗ kế toán trước thuế Điều chỉnh cho các khoản: Khấu hao và hao mòn Các khoản dự phòng Lãi chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ Lỗ (lãi) từ hoạt động đầu tư Chi phí lãi vay,"12, 13",(1.275.586.231.739)11.563.364.3398.731.024.518(12.935.192.844)40.746.044.058208.857.085.815,(134.810.413.106)6.064.805.755286.133.171.121(12.065.520.056)(27.461.189.078)136.335.253.556,,,,
05,05,05,Tổng lỗ kế toán trước thuế Điều chỉnh cho các khoản: Khấu hao và hao mòn Các khoản dự phòng Lãi chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ Lỗ (lãi) từ hoạt động đầu tư Chi phí lãi vay,"12, 13",(1.275.586.231.739)11.563.364.3398.731.024.518(12.935.192.844)40.746.044.058208.857.085.815,(134.810.413.106)6.064.805.755286.133.171.121(12.065.520.056)(27.461.189.078)136.335.253.556,,,,
06,06,06,Tổng lỗ kế toán trước thuế Điều chỉnh cho các khoản: Khấu hao và hao mòn Các khoản dự phòng Lãi chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ Lỗ (lãi) từ hoạt động đầu tư Chi phí lãi vay,"12, 13",(1.275.586.231.739)11.563.364.3398.731.024.518(12.935.192.844)40.746.044.058208.857.085.815,(134.810.413.106)6.064.805.755286.133.171.121(12.065.520.056)(27.461.189.078)136.335.253.556,,,,
08,08,08,(Lỗ) lợi nhuận từ hoạt động kinh doanh trước thay đối vốn lưu động Giảm (tăng) các khoản phải thu Giảm (tăng) hàng tồn kho Giảm các khoản phải trả Giảm (tăng) chi phí trả trước Tiền lãi vay đã trả Thuế thu nhập doanh nghiệp đã nộp Tiền chỉ khác cho hoạt động kinh doanh,,(1.018.623.905.853)254.330.110.656365.541.934.423(241.381.220.909)3.062.313.268(172.372.690.389)(398.571.758)(556.175.280),254.196.108.192(109.794.022.298)(171.570.398.040)(139.392.208.077)(36.230.011.940)(17.912.924.682)-,,,,
09,09,09,(Lỗ) lợi nhuận từ hoạt động kinh doanh trước thay đối vốn lưu động Giảm (tăng) các khoản phải thu Giảm (tăng) hàng tồn kho Giảm các khoản phải trả Giảm (tăng) chi phí trả trước Tiền lãi vay đã trả Thuế thu nhập doanh nghiệp đã nộp Tiền chỉ khác cho hoạt động kinh doanh,,(1.018.623.905.853)254.330.110.656365.541.934.423(241.381.220.909)3.062.313.268(172.372.690.389)(398.571.758)(556.175.280),254.196.108.192(109.794.022.298)(171.570.398.040)(139.392.208.077)(36.230.011.940)(17.912.924.682)-,,,,
10,10,10,(Lỗ) lợi nhuận từ hoạt động kinh doanh trước thay đối vốn lưu động Giảm (tăng) các khoản phải thu Giảm (tăng) hàng tồn kho Giảm các khoản phải trả Giảm (tăng) chi phí trả trước Tiền lãi vay đã trả Thuế thu nhập doanh nghiệp đã nộp Tiền chỉ khác cho hoạt động kinh doanh,,(1.018.623.905.853)254.330.110.656365.541.934.423(241.381.220.909)3.062.313.268(172.372.690.389)(398.571.758)(556.175.280),254.196.108.192(109.794.022.298)(171.570.398.040)(139.392.208.077)(36.230.011.940)(17.912.924.682)-,,,,
