row_label_raw,row_label_full,col_0,Số cuối năm,VND > Số đầu năm(Đã điều chỉnh lại –Thuyết minh số 33),numeric__Số cuối năm,numeric__VND > Số đầu năm(Đã điều chỉnh lại –Thuyết minh số 33)
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải thu về cho các bên liên quan vay (*) (Thuyết minh số 31),Ngắn hạn > Phải thu về cho các bên liên quan vay (*) (Thuyết minh số 31),Phải thu về cho các bên liên quan vay (*) (Thuyết minh số 31),240.690.756.028,173.329.931.603,240690756028.0,173329931603.0
Phải thu về cho các bên liên quan vay (*) (Thuyết minh số 31),Ngắn hạn > Phải thu về cho các bên liên quan vay (*) (Thuyết minh số 31),Phải thu về cho các bên liên quan vay (*) (Thuyết minh số 31),16.998.156.923,17.578.156.923,16998156923.0,17578156923.0
Phải thu về cho các bên khác vay,Phải thu về cho các bên khác vay,Phải thu về cho các bên khác vay,Phải thu về cho các bên khác vay,Phải thu về cho các bên khác vay,,
TỔNG CỘNG,Phải thu về cho các bên khác vay > TỔNG CỘNG,TỔNG CỘNG,257.688.912.951,190.908.088.526,257688912951.0,190908088526.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Phải thu về cho bên liên quan vay (*) (Thuyết minh số 31),Dài hạn > Phải thu về cho bên liên quan vay (*) (Thuyết minh số 31),Phải thu về cho bên liên quan vay (*) (Thuyết minh số 31),34.491.840.000,28.920.848.000,34491840000.0,28920848000.0
Dự phòng phải thu về cho vay khó đòi,Dài hạn > Dự phòng phải thu về cho vay khó đòi,Dự phòng phải thu về cho vay khó đòi,,(4.056.336.210),,-4056336210.0
Trong đó:Ngắn hạn,Dài hạn > Trong đó:Ngắn hạn,Trong đó:Ngắn hạn,,(4.056.336.210),,-4056336210.0
"(*) Đây khoản cho vay tín chấp các bên liên quan với lãi suất dao động từ 6,9% đến 12%/năm.","(*) Đây khoản cho vay tín chấp các bên liên quan với lãi suất dao động từ 6,9% đến 12%/năm.","(*) Đây khoản cho vay tín chấp các bên liên quan với lãi suất dao động từ 6,9% đến 12%/năm.","(*) Đây khoản cho vay tín chấp các bên liên quan với lãi suất dao động từ 6,9% đến 12%/năm.","(*) Đây khoản cho vay tín chấp các bên liên quan với lãi suất dao động từ 6,9% đến 12%/năm.",,
