row_label_raw,row_label_full,Tên công ty,Số cuối năm > Tỷ lệ sở hữu(%),Số cuối năm > Giá gốcVND,Số cuối năm > Dự phòng,Số cuối năm > Giá trị còn lại,Số đầu năm(Đã điều chỉnh lại – Thuyết minh số 33) > Tỷ lệ sở hữu(%),Số đầu năm(Đã điều chỉnh lại – Thuyết minh số 33) > Giá gốcVND,Số đầu năm(Đã điều chỉnh lại – Thuyết minh số 33) > Dự phòngVND,Số đầu năm(Đã điều chỉnh lại – Thuyết minh số 33) > Giá trị còn lạiVND,Địa điểm,Ngành nghề kinh doanh,numeric__Số cuối năm > Tỷ lệ sở hữu(%),numeric__Số cuối năm > Giá gốcVND,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị còn lại,numeric__Số đầu năm(Đã điều chỉnh lại – Thuyết minh số 33) > Tỷ lệ sở hữu(%),numeric__Số đầu năm(Đã điều chỉnh lại – Thuyết minh số 33) > Giá gốcVND,numeric__Số đầu năm(Đã điều chỉnh lại – Thuyết minh số 33) > Dự phòngVND,numeric__Số đầu năm(Đã điều chỉnh lại – Thuyết minh số 33) > Giá trị còn lạiVND,numeric__Địa điểm,numeric__Ngành nghề kinh doanh
Công ty TNHH Trồng rừng Trường Thành OJI,Công ty TNHH Trồng rừng Trường Thành OJI,Công ty TNHH Trồng rừng Trường Thành OJI,"51,00",94.930.473.000,7.147.426.991,87.783.046.009,"51,00",94.930.473.000,5.947.562.624,88.982.910.376,Phú Yên Đồng Nai,Trồng rừng Bất động sản,51.0,94930473000.0,7147426991.0,87783046009.0,51.0,94930473000.0,5947562624.0,88982910376.0,,
Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,"26,74",52.680.000.000,2.051.774.306,50.628.225.694,"27,88",52.680.000.000,1.154.166.539,51.525.833.461,Phú Yên Đồng Nai,Trồng rừng Bất động sản,26.74,52680000000.0,2051774306.0,50628225694.0,27.88,52680000000.0,1154166539.0,51525833461.0,,
Công ty Cổ phần Nông Lâm nghiệp Trường Thành,Công ty Cổ phần Nông Lâm nghiệp Trường Thành,Công ty Cổ phần Nông Lâm nghiệp Trường Thành,"25,72",23.525.000.000,1.574.105.098,21.950.894.902,"35,17",23.525.000.000,411.163.815,23.113.836.185,Đắk Nông TP. HCM,Trồng rừng Bao bì,25.72,23525000000.0,1574105098.0,21950894902.0,35.17,23525000000.0,411163815.0,23113836185.0,,
Công ty Cổ phần Bao bì Trường Thành,Công ty Cổ phần Bao bì Trường Thành,Công ty Cổ phần Bao bì Trường Thành,"43,76",2.000.000.000,1.340.537.524,659.462.476,"43,76",2.000.000.000,1.226.217.629,773.782.371,Đắk Nông TP. HCM,Trồng rừng Bao bì,43.76,2000000000.0,1340537524.0,659462476.0,43.76,2000000000.0,1226217629.0,773782371.0,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,173.135.473.000,12.113.843.919,161.021.629.081,,173.135.473.000,8.739.110.607,164.396.362.393,,,,173135473000.0,12113843919.0,161021629081.0,,173135473000.0,8739110607.0,164396362393.0,,
