row_label_raw,row_label_full,col_0,VND,VND_1,numeric__VND,numeric__VND_1
,,,Số cuối năm,Số đầu năm(Đã điều chỉnh lại –Thuyết minh số 33),,
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải thu từ các bên liên quan(Thuyết minh số 31),Ngắn hạn > Phải thu từ các bên liên quan(Thuyết minh số 31),Phải thu từ các bên liên quan(Thuyết minh số 31),190.610.701.078,305.663.120.816,190610701078.0,305663120816.0
Phải thu từ các bên khác,Ngắn hạn > Phải thu từ các bên khác,Phải thu từ các bên khác,579.168.709.792,541.787.814.389,579168709792.0,541787814389.0
- Công ty TNHH Lâm nghiệp Hoàng Nam,Ngắn hạn > - Công ty TNHH Lâm nghiệp Hoàng Nam,- Công ty TNHH Lâm nghiệp Hoàng Nam,84.611.869.162,80.522.049.379,84611869162.0,80522049379.0
- AFI,Ngắn hạn > - AFI,- AFI,78.468.721.746,102.972.834.572,78468721746.0,102972834572.0
- GME,Ngắn hạn > - GME,- GME,64.412.110.111,66.332.362.844,64412110111.0,66332362844.0
- Các khách hàng khác,Ngắn hạn > - Các khách hàng khác,- Các khách hàng khác,351.676.008.773,291.960.567.594,351676008773.0,291960567594.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,769.779.410.870,847.450.935.205,769779410870.0,847450935205.0
Dự phòng các khoản phải thu khách hàng khó đòi,Ngắn hạn > Dự phòng các khoản phải thu khách hàng khó đòi,Dự phòng các khoản phải thu khách hàng khó đòi,(104.155.277.652),(218.936.404.324),-104155277652.0,-218936404324.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Ngắn hạn,Trong đó: > Ngắn hạn,Ngắn hạn,(104.155.277.652),(218.936.404.324),-104155277652.0,-218936404324.0
