row_label_raw,row_label_full,Mãsố,NGUỒN VỐN,Thuyếtminh,Số cuối năm,Số đầu năm(Dã điều chỉnh lại – Thuyết minh số 33),numeric__NGUỒN VỐN,numeric__Thuyếtminh,numeric__Số cuối năm,numeric__Số đầu năm(Dã điều chỉnh lại – Thuyết minh số 33)
300,300,300,C. NỘ PHẢI TRẢ,,3.174.411.155.028,1.858.025.336.236,,,3174411155028.0,1858025336236.0
310,310,310,I. Nợ ngân hạn,,3.172.451.742.528,1.854.428.820.736,,,3172451742528.0,1854428820736.0
311,311,311,1. Phải trả người bán ngân hạn,17.1,228.789.174.125,227.681.902.584,,171.0,228789174125.0,227681902584.0
312,312,312,2. Người mua trả tiền trước ngân hạn,17.2,179.487.965.150,54.251.268.300,,172.0,179487965150.0,54251268300.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,18,26.654.318.712,37.318.444.525,,18.0,26654318712.0,37318444525.0
314,314,314,4. Phải trả người lao động,,36.366.018.753,34.937.099.145,,,36366018753.0,34937099145.0
315,315,315,5. Chi phí phải trả ngân hạn,19,103.759.210.503,42.630.653.299,,19.0,103759210503.0,42630653299.0
318,318,318,6. Doanh thu chưa thực hiện ngân hạn,,195.000.005,61.818.182,,,195000005.0,61818182.0
319,319,319,7. Phải trả ngân hạn khác,20,100.202.119.400,183.758.712.310,,20.0,100202119400.0,183758712310.0
320,320,320,8. Vay ngân hạn,21,2.494.963.821.850,1.272.424.173.165,,21.0,2494963821850.0,1272424173165.0
322,322,322,"9. Quỹ khen thưởng, phúc lợi",,2.034.114.030,1.364.749.226,,,2034114030.0,1364749226.0
330,330,330,II. Nợ dài hạn,,1.959.412.500,3.596.515.500,,,1959412500.0,3596515500.0
337,337,337,1. Phải trả dài hạn khác,20,-,1.586.928.000,,20.0,,1586928000.0
342,342,342,2. Dự phòng phải trả dài hạn,,1.959.412.500,2.009.587.500,,,1959412500.0,2009587500.0
400,400,400,D. VỐN CHỦ SỐ HỮU,,98.443.544.999,1.324.230.700.738,,,98443544999.0,1324230700738.0
410,410,410,I. Vốn chủ sở hữu,22,98.443.544.999,1.324.230.700.738,,22.0,98443544999.0,1324230700738.0
411,411,411,1. Vốn cổ phần,,1.446.078.400.000,1.400.939.400.000,,,1446078400000.0,1400939400000.0
411a,411a,411a,- Cổ phiếu phổ thông cỏ quyền biểu quyết,,1.446.078.400.000,1.400.939.400.000,,,1446078400000.0,1400939400000.0
412,412,412,2. Thắng dư vốn cổ phần,,63.750.862.467,51.798.842.848,,,63750862467.0,51798842848.0
413,413,413,3. Quyền chọn chuyển đổi vay,,-,6.743.618.619,,,,6743618619.0
415,415,415,4. Cổ phiếu quỹ,,(552.965.000),(4.640.000),,,-552965000.0,-4640000.0
418,418,418,5. Quỹ đầu tư phát triển,,16.176.475.297,16.176.475.297,,,16176475297.0,16176475297.0
421,421,421,6. Lỗ lũy kế,,(1.427.009.227.765),(151.422.996.026),,,-1427009227765.0,-151422996026.0
421a,421a,421a,- Lỗ lũy kế đến cuối năm trước,,(151.422.996.026),34.917.932.014,,,-151422996026.0,34917932014.0
421b,421b,421b,- Lỗ năm nay,,(1.275.586.231.739),(186.340.928.040),,,-1275586231739.0,-186340928040.0
440,440,440,TỔNG CỘNG NGUỐN VỐN,,3.272.854.700.027,3.182.256.036.974,,,3272854700027.0,3182256036974.0
