row_label_raw,row_label_full,Tên công ty,Số cuối năm > Tỷ lệsố hữu(%),Số cuối năm > Giá gốcVND,Số cuối năm > Dự phòngVND,Số cuối năm > Giá trị còn lạiVND,Số đầu năm(Dã điều chỉnh lại – Thuyết minh số 33) > Tỷ lệsố hữu(%),Số đầu năm(Dã điều chỉnh lại – Thuyết minh số 33) > Giá gốcVND,Số đầu năm(Dã điều chỉnh lại – Thuyết minh số 33) > Dự phòngVND,Số đầu năm(Dã điều chỉnh lại – Thuyết minh số 33) > Giá trị còn lạiVND,Địa điểm,Ngành nghềkinh doanh,numeric__Số cuối năm > Tỷ lệsố hữu(%),numeric__Số cuối năm > Giá gốcVND,numeric__Số cuối năm > Dự phòngVND,numeric__Số cuối năm > Giá trị còn lạiVND,numeric__Số đầu năm(Dã điều chỉnh lại – Thuyết minh số 33) > Tỷ lệsố hữu(%),numeric__Số đầu năm(Dã điều chỉnh lại – Thuyết minh số 33) > Giá gốcVND,numeric__Số đầu năm(Dã điều chỉnh lại – Thuyết minh số 33) > Dự phòngVND,numeric__Số đầu năm(Dã điều chỉnh lại – Thuyết minh số 33) > Giá trị còn lạiVND,numeric__Địa điểm,numeric__Ngành nghềkinh doanh
Công ty Cổ phầnTrường Thành,Công ty Cổ phầnTrường Thành,Công ty Cổ phầnTrường Thành,"70,00",21.000.000.000,21.000.000.000,-,"70,00",21.000.000.000,14.559.390.596,6.440.609.404,Đắk Lắk,Sản xuấtđồ gỗSản xuấtđồ gỗ,70.0,21000000000.0,21000000000.0,,70.0,21000000000.0,14559390596.0,6440609404.0,,
Công ty Cổ phần Chế biếnGỗ Trường Thành,Công ty Cổ phần Chế biếnGỗ Trường Thành,Công ty Cổ phần Chế biếnGỗ Trường Thành,"70,00",19.600.000.000,10.693.123.512,8.906.876.488,"70,00",19.600.000.000,-,19.600.000.000,Đắk Lắk,Sản xuấtđồ gỗSản xuấtđồ gỗ,70.0,19600000000.0,10693123512.0,8906876488.0,70.0,19600000000.0,,19600000000.0,,
Công ty Cổ phầnTrường Thành Xanh,Công ty Cổ phầnTrường Thành Xanh,Công ty Cổ phầnTrường Thành Xanh,"100,00",53.347.393.305,20.959.129.746,32.388.263.559,"100,00",53.347.393.305,22.527.448.503,30.819.944.802,Phú Yên,Trồng rừng,100.0,53347393305.0,20959129746.0,32388263559.0,100.0,53347393305.0,22527448503.0,30819944802.0,,
Công ty Cổ phần Lâmnghiệp Trường Thành,Công ty Cổ phần Lâmnghiệp Trường Thành,Công ty Cổ phần Lâmnghiệp Trường Thành,"99,97",59.564.847.684,20.476.637.367,39.088.210.317,"99,97",59.564.847.684,9.533.826.674,50.031.021.010,Đắk Lắk,Trồng rừng,99.97,59564847684.0,20476637367.0,39088210317.0,99.97,59564847684.0,9533826674.0,50031021010.0,,
Công ty Cổ phần Lâmnghiệp Trường ThànhĐắk Nông,Công ty Cổ phần Lâmnghiệp Trường ThànhĐắk Nông,Công ty Cổ phần Lâmnghiệp Trường ThànhĐắk Nông,"94,75",1.777.000.000,1.777.000.000,-,"94,75",1.777.000.000,1.777.000.000,-,Đắk Nông,Trồng rừng,94.75,1777000000.0,1777000000.0,,94.75,1777000000.0,1777000000.0,,,
Công ty TNHH Kỹ nghệGỗ Trường Thành,Công ty TNHH Kỹ nghệGỗ Trường Thành,Công ty TNHH Kỹ nghệGỗ Trường Thành,"97,50",12.480.000.000,6.613.949.342,5.866.050.658,"97,50",12.480.000.000,6.704.785.476,5.775.214.524,TP. HCM,Thương mạiSản xuấtđồ gỗ,97.5,12480000000.0,6613949342.0,5866050658.0,97.5,12480000000.0,6704785476.0,5775214524.0,,
Công ty Cổ phần Chế biếnGỗ Trường Thành M'Drak,Công ty Cổ phần Chế biếnGỗ Trường Thành M'Drak,Công ty Cổ phần Chế biếnGỗ Trường Thành M'Drak,"90,25",9.885.456.454,8.526.724.278,1.358.732.176,"90,25",9.885.456.454,97.971.828,9.787.484.626,Đắk Lắk,Thương mạiSản xuấtđồ gỗ,90.25,9885456454.0,8526724278.0,1358732176.0,90.25,9885456454.0,97971828.0,9787484626.0,,
Công ty Cổ phần Thươngmại XNK Trường ThànhĐắk Nông,Công ty Cổ phần Thươngmại XNK Trường ThànhĐắk Nông,Công ty Cổ phần Thươngmại XNK Trường ThànhĐắk Nông,"94,75",18.950.000.000,-,18.950.000.000,"94,75",18.950.000.000,-,18.950.000.000,Đắk Nông,Thương mạiSản xuấtđồ gỗ,94.75,18950000000.0,,18950000000.0,94.75,18950000000.0,,18950000000.0,,
Công ty Cổ phần Côngnghiệp Gỗ Trường Thành,Công ty Cổ phần Côngnghiệp Gỗ Trường Thành,Công ty Cổ phần Côngnghiệp Gỗ Trường Thành,"68,52",12.571.430.000,-,12.571.430.000,"68,52",12.571.430.000,-,12.571.430.000,Phú Yên,Thương mạiSản xuấtđồ gỗ,68.52,12571430000.0,,12571430000.0,68.52,12571430000.0,,12571430000.0,,
Công ty Cổ phần Trồngrừng Trường Thành,Công ty Cổ phần Trồngrừng Trường Thành,Công ty Cổ phần Trồngrừng Trường Thành,"79,89",26.809.360.000,8.792.409.076,18.016.950.924,"79,89",26.809.360.000,15.622.449.050,11.186.910.950,Đắk Lắk,Trồng rừng,79.89,26809360000.0,8792409076.0,18016950924.0,79.89,26809360000.0,15622449050.0,11186910950.0,,
