row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm (Đã điều chỉnh lại – Thuyết minh số 33),numeric__Số cuối năm,numeric__VND Số đầu năm (Đã điều chỉnh lại – Thuyết minh số 33)
"Mua sắm máy móc, thiết bị","Mua sắm máy móc, thiết bị","Mua sắm máy móc, thiết bị",30.105.857.243,28.054.614,30105857243.0,28054614.0
"Xây dựng nhà kho, trung bày","Xây dựng nhà kho, trung bày","Xây dựng nhà kho, trung bày",16.990.103.641,7.220.273.666,16990103641.0,7220273666.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,47.095.960.884,7.248.328.280,47095960884.0,7248328280.0
