row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dưvốn cổ phần,Quyền chơnchuyển đổi vay,Cổ phiếu quỹ,Quỹ đầu tưphát triển,Lỗ lũy kế,Tổng cộng,numeric__Vốn cổ phần,numeric__Thăng dưvốn cổ phần,numeric__Quyền chơnchuyển đổi vay,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tưphát triển,numeric__Lỗ lũy kế,numeric__Tổng cộng
Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,,,,,,,
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,,
Số liệu đã trình bày trước đây,Số đầu năm > Số liệu đã trình bày trước đây,Số liệu đã trình bày trước đây,1.000.671.000.000,52.105.692.848,-,(4.640.000),13.407.463.167,106.303.693.858,1.172.483.209.873,1000671000000.0,52105692848.0,,-4640000.0,13407463167.0,106303693858.0,1172483209873.0
Ảnh hưởng của các điều chỉnhhồi tố – Thuyết minh số 33,Số đầu năm > Ảnh hưởng của các điều chỉnhhồi tố – Thuyết minh số 33,Ảnh hưởng của các điều chỉnhhồi tố – Thuyết minh số 33,-,-,-,-,-,(64.740.132.730),(64.740 132.730),,,,,,-64740132730.0,
Đã điều chỉnh lại,Số đầu năm > Đã điều chỉnh lại,Đã điều chỉnh lại,1.000.671.000.000,52.105.692.848,-,(4.640.000),13.407.463.167,41.563.561.128,1.107.743.077.143,1000671000000.0,52105692848.0,,-4640000.0,13407463167.0,41563561128.0,1107743077143.0
Phát hành cổ phiếu,Số đầu năm > Phát hành cổ phiếu,Phát hành cổ phiếu,400.268.400.000,(306.850.000),-,-,-,-,399.961.550.000,400268400000.0,-306850000.0,,,,,399961550000.0
Tăng vay chuyển đổi,Số đầu năm > Tăng vay chuyển đổi,Tăng vay chuyển đổi,-,-,6.743.618.619,-,-,-,6.743.618.619,,,6743618619.0,,,,6743618619.0
Trích quỹ đầu tư phát triển,Số đầu năm > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,2.769.012.130,(2.769.012.130),-,,,,,2769012130.0,-2769012130.0,
Trích quỹ khen thưởng phúc lợi,Số đầu năm > Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,-,-,(22.626.616.984),(22.626.616.984),,,,,,-22626616984.0,-22626616984.0
Lỗ thuần trong năm,Lỗ thuần trong năm,Lỗ thuần trong năm,Lỗ thuần trong năm,Lỗ thuần trong năm,Lỗ thuần trong năm,Lỗ thuần trong năm,Lỗ thuần trong năm,Lỗ thuần trong năm,Lỗ thuần trong năm,,,,,,,
