row_label_raw,row_label_full,col_0,Giá trị hợp lý ghi nhận tại ngày nhận sáp nhập,Giá trị hợp lý ghi nhận tại ngày nhận sáp nhập_1,Giá trị hợp lý ghi nhận tại ngày nhận sáp nhập_2,numeric__Giá trị hợp lý ghi nhận tại ngày nhận sáp nhập,numeric__Giá trị hợp lý ghi nhận tại ngày nhận sáp nhập_1,numeric__Giá trị hợp lý ghi nhận tại ngày nhận sáp nhập_2
,,,CBG,VCN,Tổng công,,,
Tài sản,Tài sản,Tài sản,422.190.762.370,175.222.153.727,597.412.916.097,422190762370.0,175222153727.0,597412916097.0
Tiền,Tiền,Tiền,198.819.467,324.313.202,523.132.669,198819467.0,324313202.0,523132669.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,548.325.000,-,548.325.000,548325000.0,,548325000.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,170.453.226.049,36.843.657.018,207.296.883.067,170453226049.0,36843657018.0,207296883067.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,8.284.838.301,57.968.436.734,66.253.275.035,8284838301.0,57968436734.0,66253275035.0
Các tài sản ngắn hạn khác,Các tài sản ngắn hạn khác,Các tài sản ngắn hạn khác,3.449.737.877,1.251.717.618,4.701.455.495,3449737877.0,1251717618.0,4701455495.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,215.083.297.223,62.332.987.431,277.416.284.654,215083297223.0,62332987431.0,277416284654.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,102.637.974,6.483.288.604,6.585.926.578,102637974.0,6483288604.0,6585926578.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,24.069.880.479,10.017.753.120,34.087.633.599,24069880479.0,10017753120.0,34087633599.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,365.087.859.855,260.811.414.920,625.899.274.775,365087859855.0,260811414920.0,625899274775.0
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,282.714.287.000,33.385.262.842,316.099.549.842,282714287000.0,33385262842.0,316099549842.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,1.452.990.416,162.598.896.122,164.051.886.538,1452990416.0,162598896122.0,164051886538.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,80.920.582.439,64.827.255.956,145.747.838.395,80920582439.0,64827255956.0,145747838395.0
Tổng tài sản thuần theo giá trị hợp lý,Tổng tài sản thuần theo giá trị hợp lý,Tổng tài sản thuần theo giá trị hợp lý,57.102.902.515,(85.589.261.193),(28.486.358.678),57102902515.0,-85589261193.0,-28486358678.0
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,126.139.000.000,51.000.000.000,177.139.000.000,126139000000.0,51000000000.0,177139000000.0
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,(79.076.811.601),(51.000.000.000),(130.076.811.601),-79076811601.0,-51000000000.0,-130076811601.0
Lãi (lỗ) từ nhận sáp nhập,Lãi (lỗ) từ nhận sáp nhập,Lãi (lỗ) từ nhận sáp nhập,10.040.714.116,(85.589.261.193),(75.548.547.077),10040714116.0,-85589261193.0,-75548547077.0
