row_label_raw,row_label_full,col_0,Số liệu được trình bày trước đây,Ảnh hưởng của điều chỉnh hoặc phân loại lại,Ảnh hưởng của điều chỉnh hoặc phân loại lại_1,VND Số liệu trình bày lại,numeric__Số liệu được trình bày trước đây,numeric__Ảnh hưởng của điều chỉnh hoặc phân loại lại,numeric__Ảnh hưởng của điều chỉnh hoặc phân loại lại_1,numeric__VND Số liệu trình bày lại
,,,Số liệu được trình bày trước đây,Điều chỉnh hồi tố,Phân loại lại,VND Số liệu trình bày lại,,,,
Bảng cân đối kế toán riêng (tiếp theo),Bảng cân đối kế toán riêng (tiếp theo),Bảng cân đối kế toán riêng (tiếp theo),Bảng cân đối kế toán riêng (tiếp theo),Bảng cân đối kế toán riêng (tiếp theo),Bảng cân đối kế toán riêng (tiếp theo),Bảng cân đối kế toán riêng (tiếp theo),,,,
Nợ phải trả dài hạn,Nợ phải trả dài hạn,Nợ phải trả dài hạn,Nợ phải trả dài hạn,Nợ phải trả dài hạn,Nợ phải trả dài hạn,Nợ phải trả dài hạn,,,,
Vay chuyển đổi,Nợ phải trả dài hạn > Vay chuyển đổi,Vay chuyển đổi,598.656.595.251,-,(598.656.595.251),-,598656595251.0,,-598656595251.0,
Dự phòng phải trả dài hạn,Nợ phải trả dài hạn > Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,-,2.009.587.500,-,2.009.587.500,,2009587500.0,,2009587500.0
Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,,,,
Lợi nhuận sau thuế chưa phân phối (lỗ lũy kế),Vốn chủ sở hữu > Lợi nhuận sau thuế chưa phân phối (lỗ lũy kế),Lợi nhuận sau thuế chưa phân phối (lỗ lũy kế),188.238.149.766,(339.661.145.792),-,(151.422.996.026),188238149766.0,-339661145792.0,,-151422996026.0
Bảo cáo kết quả hoạt động kinh doanh riêng,Bảo cáo kết quả hoạt động kinh doanh riêng,Bảo cáo kết quả hoạt động kinh doanh riêng,Bảo cáo kết quả hoạt động kinh doanh riêng,Bảo cáo kết quả hoạt động kinh doanh riêng,Bảo cáo kết quả hoạt động kinh doanh riêng,Bảo cáo kết quả hoạt động kinh doanh riêng,,,,
Doanh thu bán hàng và cung cấp dịch vụ,Bảo cáo kết quả hoạt động kinh doanh riêng > Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,2.495.800.672.097,-,(102.378.830),2.495.698.293.267,2495800672097.0,,-102378830.0,2495698293267.0
Các khoản giảm trừ doanh thu,Bảo cáo kết quả hoạt động kinh doanh riêng > Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,(369.836.768),-,102.378.830,(267.457.938),-369836768.0,,102378830.0,-267457938.0
Doanh thu hoạt động tài chính,Bảo cáo kết quả hoạt động kinh doanh riêng > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,30.894.155.758,11.332.295.654,-,42.226.451.412,30894155758.0,11332295654.0,,42226451412.0
Chi phí tài chính,Bảo cáo kết quả hoạt động kinh doanh riêng > Chi phí tài chính,Chi phí tài chính,(70.692.843.863),(110.825.944.043),(65.688.280.713),(247.207.068.619),-70692843863.0,-110825944043.0,-65688280713.0,-247207068619.0
Trong đó: Chi phí lãi vay,Bảo cáo kết quả hoạt động kinh doanh riêng > Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,(113.276.214.120),(23.059.039.436),-,(136.335.253.556),-113276214120.0,-23059039436.0,,-136335253556.0
Chi phí quản lý doanh nghiệp,Bảo cáo kết quả hoạt động kinh doanh riêng > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,(84.342.038.730),(175.427.364.671),-,(259.769.403.401),-84342038730.0,-175427364671.0,,-259769403401.0
Thu nhập khác,Bảo cáo kết quả hoạt động kinh doanh riêng > Thu nhập khác,Thu nhập khác,95.731.334.924,-,65.688.280.713,161.419.615.637,95731334924.0,,65688280713.0,161419615637.0
Lợi nhuận (lỗ) kế toán trước thuế TNDN,Bảo cáo kết quả hoạt động kinh doanh riêng > Lợi nhuận (lỗ) kế toán trước thuế TNDN,Lợi nhuận (lỗ) kế toán trước thuế TNDN,140.110.599.954,(274.921.013.060),-,(134.810.413.106),140110599954.0,-274921013060.0,,-134810413106.0
Lợi nhuận (lỗ) sau thuế TNDN,Bảo cáo kết quả hoạt động kinh doanh riêng > Lợi nhuận (lỗ) sau thuế TNDN,Lợi nhuận (lỗ) sau thuế TNDN,107.330.085.020,(274.921.013.060),-,(167.590.928.040),107330085020.0,-274921013060.0,,-167590928040.0
