row_label_raw,row_label_full,col_0,Số cuối năm,VND > Số đầu năm(Đã điều chỉnh lại – Thuyết minh số 33),numeric__Số cuối năm,numeric__VND > Số đầu năm(Đã điều chỉnh lại – Thuyết minh số 33)
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải thu ngắn hạn khác từ các bên liên quan(Thuyết minh số 31),Ngắn hạn > Phải thu ngắn hạn khác từ các bên liên quan(Thuyết minh số 31),Phải thu ngắn hạn khác từ các bên liên quan(Thuyết minh số 31),109.425.233.226,64.007.722.123,109425233226.0,64007722123.0
Cho vay không lãi suất,Ngắn hạn > Cho vay không lãi suất,Cho vay không lãi suất,3.526.446.158,24.703.858.906,3526446158.0,24703858906.0
Tạm ứng cho nhân viên,Ngắn hạn > Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,3.426.768.960,2.414.169.708,3426768960.0,2414169708.0
Khác,Ngắn hạn > Khác,Khác,8.850.082.982,2.923.793.277,8850082982.0,2923793277.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,125.228.531.326,94.049.544.014,125228531326.0,94049544014.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Khác,Dài hạn > Khác,Khác,909.839.296,969.839.296,909839296.0,969839296.0
Dự phòng các khoản phải thu khác khó đòi,Dài hạn > Dự phòng các khoản phải thu khác khó đòi,Dự phòng các khoản phải thu khác khó đòi,(2.340.492.689),(373.497.471),-2340492689.0,-373497471.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Ngắn hạn,Trong đó: > Ngắn hạn,Ngắn hạn,(2.340.492.689),(373.497.471),-2340492689.0,-373497471.0
