row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc",Máy móc thiết bị,Phương tiện vận tải,Thiết bị quản lý,VND Tống cộng,"numeric__Nhà cửa, vật kiến trúc",numeric__Máy móc thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị quản lý,numeric__VND Tống cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,73.198.619.729,26.281.312.064,12.659.366.843,1.045.469.310,113.184.767.946,73198619729.0,26281312064.0,12659366843.0,1045469310.0,113184767946.0
Tăng do nhận sáp nhập,Nguyên giá: > Tăng do nhận sáp nhập,Tăng do nhận sáp nhập,192.259.490.396,191.565.098.367,8.068.353.705,1.143.901.822,393.036.844.290,192259490396.0,191565098367.0,8068353705.0,1143901822.0,393036844290.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,14.116.446.885,8.476.400.400,665.000.000,11.035.107.171,34.292.954.456,14116446885.0,8476400400.0,665000000.0,11035107171.0,34292954456.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá: > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,182.795.284,306.946.050,-,-,489.741.334,182795284.0,306946050.0,,,489741334.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,-,(506.175.005),(1.993.485.690),-,(2.499.660.695),,-506175005.0,-1993485690.0,,-2499660695.0
Xóa số,Nguyên giá: > Xóa số,Xóa số,-,(6.003.304.227),(847.579.394),(38.164.480),(6.889.048.101),,-6003304227.0,-847579394.0,-38164480.0,-6889048101.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,279.757.352.294,220.120.277.649,18.551.655.464,13.186.313.823,531.615.599.230,279757352294.0,220120277649.0,18551655464.0,13186313823.0,531615599230.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,1.157.581.411,12.035.612.190,3.714.180.971,1.564.936.231,18.472.310.803,1157581411.0,12035612190.0,3714180971.0,1564936231.0,18472310803.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(7.813.760.930),(17.711.280.106),(7.212.327.974),(872.224.890),(33.609.593.900),-7813760930.0,-17711280106.0,-7212327974.0,-872224890.0,-33609593900.0
Tăng do nhận sáp nhập,Giá trị khấu hao lũy kế: > Tăng do nhận sáp nhập,Tăng do nhận sáp nhập,(40.925.756.122),(70.891.611.561),(5.873.525.527),(1.082.438.197),(118.773.331.407),-40925756122.0,-70891611561.0,-5873525527.0,-1082438197.0,-118773331407.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(6.170.817.646),(3.951.576.094),(1.175.932.290),(187.526.625),(11.485.852.655),-6170817646.0,-3951576094.0,-1175932290.0,-187526625.0,-11485852655.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,-,299.818.159,1.711.480.491,-,2.011.298.650,,299818159.0,1711480491.0,,2011298650.0
Xóa số,Giá trị khấu hao lũy kế: > Xóa số,Xóa số,-,3.522.693.276,673.857.639,38.164.480,4.234.715.395,,3522693276.0,673857639.0,38164480.0,4234715395.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(54.910.334.698),(88.731.956.326),(11.876.447.661),(2.104.025.232),(157.622.763.917),-54910334698.0,-88731956326.0,-11876447661.0,-2104025232.0,-157622763917.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,65.384.858.799,8.570.031.958,5.447.038.869,173.244.420,79.575.174.046,65384858799.0,8570031958.0,5447038869.0,173244420.0,79575174046.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,224.847.017.596,131.388.321.323,6.675.207.803,11.082.288.591,373.992.835.313,224847017596.0,131388321323.0,6675207803.0,11082288591.0,373992835313.0
