row_label_raw,row_label_full,col_0,Số cuối năm,VND > Số đầu năm(Dã điều chỉnh lại –Thuyết minh số 33),numeric__Số cuối năm,numeric__VND > Số đầu năm(Dã điều chỉnh lại –Thuyết minh số 33)
Tiền gửi ngân hàng có kỳ hạn (*),Tiền gửi ngân hàng có kỳ hạn (*),Tiền gửi ngân hàng có kỳ hạn (*),752.831.791,116.330.930.061,752831791.0,116330930061.0
Các khoản đầu tư khác,Các khoản đầu tư khác,Các khoản đầu tư khác,-,8.732.000.000,,8732000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,752.831.791,125.062.930.061,752831791.0,125062930061.0
