row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,,
Công ty Cổ phần Thương mại XNK Trường Thành Đắk Nông,Phải trả người bán ngắn hạn > Công ty Cổ phần Thương mại XNK Trường Thành Đắk Nông,Công ty Cổ phần Thương mại XNK Trường Thành Đắk Nông,Công ty con,Mua hàng,29.851.292.094,,,,29851292094.0,
Công ty Cổ phần Trường Thành Xanh,Phải trả người bán ngắn hạn > Công ty Cổ phần Trường Thành Xanh,Công ty Cổ phần Trường Thành Xanh,Công ty con,Mua hàng,22.136.910.117,20.974.936.190,,,22136910117.0,20974936190.0
Công ty Cổ phần Chế biến Gỗ Trường Thành,Phải trả người bán ngắn hạn > Công ty Cổ phần Chế biến Gỗ Trường Thành,Công ty Cổ phần Chế biến Gỗ Trường Thành,Công ty con,Mua hàng,2.090.306.828,33.536.369.788,,,2090306828.0,33536369788.0
Công ty TNHH Kỹ nghệ Gỗ Trường Thành,Phải trả người bán ngắn hạn > Công ty TNHH Kỹ nghệ Gỗ Trường Thành,Công ty TNHH Kỹ nghệ Gỗ Trường Thành,Công ty con,Mua hàng,4.797.491.750,2.969.578.815,,,4797491750.0,2969578815.0
Công ty Cổ phần Công nghiệp Gỗ Trường Thành,Phải trả người bán ngắn hạn > Công ty Cổ phần Công nghiệp Gỗ Trường Thành,Công ty Cổ phần Công nghiệp Gỗ Trường Thành,Công ty con,Mua hàng,2.731.302.077,4.222.845.015,,,2731302077.0,4222845015.0
Công ty TNHH Trồng rừng Trường Thành OJI,Phải trả người bán ngắn hạn > Công ty TNHH Trồng rừng Trường Thành OJI,Công ty TNHH Trồng rừng Trường Thành OJI,Công ty liên doanh,Mua hàng,7.538.515.055,7.608.978.255,,,7538515055.0,7608978255.0
Công ty Cổ phần Bao bì Trường Thành,Phải trả người bán ngắn hạn > Công ty Cổ phần Bao bì Trường Thành,Công ty Cổ phần Bao bì Trường Thành,Công ty liên kết,Mua hàng,2.156.982.086,1.091.024.015,,,2156982086.0,1091024015.0
Các bên liên quan khác,Phải trả người bán ngắn hạn > Các bên liên quan khác,Các bên liên quan khác,Bên liên quan,Mua hàng và dịch vụ,792.353.408,395.051.375,,,792353408.0,395051375.0
,,,,,72.095.153.415,70.798.783.453,,,72095153415.0,70798783453.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,,,,
Tập đoàn Vingroup – Công ty Cổ phần,Chi phí phải trả ngắn hạn > Tập đoàn Vingroup – Công ty Cổ phần,Tập đoàn Vingroup – Công ty Cổ phần,Bên liên quan,Lãi vay,5.731.927.056,,,,5731927056.0,
Công ty Cổ phần Đầu tư Xây dựng Tân Liên Phát,Chi phí phải trả ngắn hạn > Công ty Cổ phần Đầu tư Xây dựng Tân Liên Phát,Công ty Cổ phần Đầu tư Xây dựng Tân Liên Phát,Cổ đông lớn,Lãi vay,2.580.796.308,16.151.666.668,,,2580796308.0,16151666668.0
Công ty Cổ phần Phú Hữu Gia,Chi phí phải trả ngắn hạn > Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty liên kết,Lãi vay,664.574.237,,,,664574237.0,
,,,,,8.977.297.601,16.151.666.668,,,8977297601.0,16151666668.0
Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,,,,
Công ty TNHH Một thành viên Chế biến Gỗ Trường Thành,Phải trả khác ngắn hạn > Công ty TNHH Một thành viên Chế biến Gỗ Trường Thành,Công ty TNHH Một thành viên Chế biến Gỗ Trường Thành,Công ty con,Mượn,,5.270.000.000,,,,5270000000.0
Công ty Cổ phần Trường Thành,Phải trả khác ngắn hạn > Công ty Cổ phần Trường Thành,Công ty Cổ phần Trường Thành,Công ty con,Mượn,24.953.541.078,27.000.000.000,,,24953541078.0,27000000000.0
Công ty Cổ phần Trường Thành Xanh,Phải trả khác ngắn hạn > Công ty Cổ phần Trường Thành Xanh,Công ty Cổ phần Trường Thành Xanh,Công ty con,Mượn,1.338.493.106,3.408.493.106,,,1338493106.0,3408493106.0
Công ty Cổ phần Chế biến Gỗ Trường Thành M'Drak,Phải trả khác ngắn hạn > Công ty Cổ phần Chế biến Gỗ Trường Thành M'Drak,Công ty Cổ phần Chế biến Gỗ Trường Thành M'Drak,Công ty con,Mượn,51.141.316,51.141.316,,,51141316.0,51141316.0
Công ty Cổ phần Đầu tư & Phát triển Địa Ôc Hoàng Gia,Phải trả khác ngắn hạn > Công ty Cổ phần Đầu tư & Phát triển Địa Ôc Hoàng Gia,Công ty Cổ phần Đầu tư & Phát triển Địa Ôc Hoàng Gia,Bên liên quan,Mượn,1.679.013.344,,,,1679013344.0,
,,,,,28.022.188.844,35.729.634.422,,,28022188844.0,35729634422.0
