row_label_raw,row_label_full,col_0,Số đầu năm,Tăng do nhận sáp nhập,Tăng trong năm,Giảm trong năm,VND Số cuối năm,numeric__Số đầu năm,numeric__Tăng do nhận sáp nhập,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__VND Số cuối năm
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,,
Thuế nhập khẩu,Phải thu > Thuế nhập khẩu,Thuế nhập khẩu,1.490.806.651,-,2.777.006.311,(1.798.035.247),2.469.777.715,1490806651.0,,2777006311.0,-1798035247.0,2469777715.0
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,,
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,3.860.967.342,414.057.441,1.675.687.048,(1.881.927.295),4.068.784.536,3860967342.0,414057441.0,1675687048.0,-1881927295.0,4068784536.0
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,368.329.187,14.132.460.474,3.598.798.592,(4.532.407.944),13.567.180.309,368329187.0,14132460474.0,3598798592.0,-4532407944.0,13567180309.0
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,32.976.239.051,8.456.061.630,-,(33.105.889.337),8.326.411.344,32976239051.0,8456061630.0,,-33105889337.0,8326411344.0
Khác,Phải nộp > Khác,Khác,112.908.945,222.161.133,525.323.758,(168.451.313),691.942.523,112908945.0,222161133.0,525323758.0,-168451313.0,691942523.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,37.318.444.525,23.224.740.678,5.799.809.398,(39.688.675.889),26.654.318.712,37318444525.0,23224740678.0,5799809398.0,-39688675889.0,26654318712.0
