row_label_raw,row_label_full,col_0,Năm nay,VND > Năm trước (Đã điều chỉnh lai – Thuyết minh số 33),numeric__Năm nay,numeric__VND > Năm trước (Đã điều chỉnh lai – Thuyết minh số 33)
"Doanh thu bán thành phẩm, và hàng hóa","Doanh thu bán thành phẩm, và hàng hóa","Doanh thu bán thành phẩm, và hàng hóa",631.510.134.443,1.116.087.930.175,631510134443.0,1116087930175.0
Doanh thu bán nguyên liệu,Doanh thu bán nguyên liệu,Doanh thu bán nguyên liệu,8.159.810.481,1.207.457.529.314,8159810481.0,1207457529314.0
Doanh thu dịch vụ lắp đặt,Doanh thu dịch vụ lắp đặt,Doanh thu dịch vụ lắp đặt,210.815.236.865,152.830.485.629,210815236865.0,152830485629.0
Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,1.011.419.947,19.054.890.211,1011419947.0,19054890211.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,851.496.601.736,2.495.430.835.329,851496601736.0,2495430835329.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu đối với các bên liên quan,Trong đó: > Doanh thu đối với các bên liên quan,Doanh thu đối với các bên liên quan,329.164.407.987,831.444.547.431,329164407987.0,831444547431.0
Doanh thu đối với các bên khác,Trong đó: > Doanh thu đối với các bên khác,Doanh thu đối với các bên khác,522.332.193.749,1.663.986.287.898,522332193749.0,1663986287898.0
