row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2019Triệu đồng,Ngày 31 tháng 12 năm 2018Triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2019Triệu đồng,numeric__Ngày 31 tháng 12 năm 2018Triệu đồng
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,
Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,NỘ PHẢI TRẢ > Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,17,19.492,3.781.343,17.0,19492.0,3781343.0
"Tiền gửi và vay các tổ chức tài chính, tổ chức tín dụng khác","NỘ PHẢI TRẢ > Tiền gửi và vay các tổ chức tài chính, tổ chức tín dụng khác","Tiền gửi và vay các tổ chức tài chính, tổ chức tín dụng khác",,32.115.191,40.440.618,,32115191.0,40440618.0
Tiền gửi của các tổ chức tín dụng khác,NỘ PHẢI TRẢ > Tiền gửi của các tổ chức tín dụng khác,Tiền gửi của các tổ chức tín dụng khác,18.1,11.259.366,21.755.026,181.0,11259366.0,21755026.0
"Vay các tổ chức tài chính (“TCTC”), tổ chức tín dụng (“TCTD”) khác","NỘ PHẢI TRẢ > Vay các tổ chức tài chính (“TCTC”), tổ chức tín dụng (“TCTD”) khác","Vay các tổ chức tài chính (“TCTC”), tổ chức tín dụng (“TCTD”) khác",18.2,20.855.825,18.685.592,182.0,20855825.0,18685592.0
Tiền gửi của khách hàng,NỘ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,19,210.983.782,167.561.668,19.0,210983782.0,167561668.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,NỘ PHẢI TRẢ > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,9,-,68.444,9.0,,68444.0
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","NỘ PHẢI TRẢ > Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",20,291.823,329.649,20.0,291823.0,329649.0
Phát hành giấy tờ có giá,NỘ PHẢI TRẢ > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,21,27.420.246,24.839.922,21.0,27420246.0,24839922.0
Các khoản nợ khác,NỘ PHẢI TRẢ > Các khoản nợ khác,Các khoản nợ khác,,8.950.910,6.610.818,,8950910.0,6610818.0
"Các khoản lãi, phí phải trả","NỘ PHẢI TRẢ > Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",22.1,6.560.965,4.261.760,221.0,6560965.0,4261760.0
Các khoản phải trả và công nợ khác,NỘ PHẢI TRẢ > Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,22.2,2.389.945,2.349.058,222.0,2389945.0,2349058.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,,279.781.444,243.632.462,,279781444.0,243632462.0
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,,,
Vốn điều lệ,VỐN CHỦ SỞ HỮU > Vốn điều lệ,Vốn điều lệ,,25.299.680,25.299.680,,25299680.0,25299680.0
Thặng dư vốn cổ phần,VỐN CHỦ SỞ HỮU > Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,,692.720,1.289.001,,692720.0,1289001.0
Cổ phiếu quỹ,VỐN CHỦ SỞ HỮU > Cổ phiếu quỹ,Cổ phiếu quỹ,,(2.696.030),(2.491.721),,-2696030.0,-2491721.0
Các quỹ của tổ chức tín dụng,VỐN CHỦ SỞ HỮU > Các quỹ của tổ chức tín dụng,Các quỹ của tổ chức tín dụng,,3.622.029,2.902.077,,3622029.0,2902077.0
Lợi nhuận chưa phân phối,VỐN CHỦ SỞ HỮU > Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,,10.267.844,3.526.701,,10267844.0,3526701.0
TỔNG VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG VỐN CHỦ SỞ HỮU,TỔNG VỐN CHỦ SỞ HỮU,24,37.186.243,30.525.738,24.0,37186243.0,30525738.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,316.967.687,274.158.200,,316967687.0,274158200.0
