row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2019%/năm,Ngày 31 tháng 12năm 2018%/năm,numeric__Ngày 31 tháng 12năm 2019%/năm,numeric__Ngày 31 tháng 12năm 2018%/năm
Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,"1,30 - 6,45","4,50 - 7,55",,
Tiền gửi có kỳ hạn bằng ngoại tệ,Tiền gửi có kỳ hạn bằng VND > Tiền gửi có kỳ hạn bằng ngoại tệ,Tiền gửi có kỳ hạn bằng ngoại tệ,"2,00","2,60 - 2,75",2.0,
Cấp tín dụng bằng VND,Cấp tín dụng bằng VND,Cấp tín dụng bằng VND,"3,54 - 5,50","4,67 - 6,83",,
Cấp tín dụng bằng ngoại tệ,Cấp tín dụng bằng ngoại tệ,Cấp tín dụng bằng ngoại tệ,Không áp dụng,Không áp dụng,,
