row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2019 > Giá trị gốcTriệu đồng,Ngày 31 tháng 12năm 2019 > Tỷ lệsở hữu%,Ngày 31 tháng 12năm 2018 > Giá trị gốcTriệu đồng,Ngày 31 tháng 12năm 2018 > Tỷ lệsở hữu%,numeric__Ngày 31 tháng 12năm 2019 > Giá trị gốcTriệu đồng,numeric__Ngày 31 tháng 12năm 2019 > Tỷ lệsở hữu%,numeric__Ngày 31 tháng 12năm 2018 > Giá trị gốcTriệu đồng,numeric__Ngày 31 tháng 12năm 2018 > Tỷ lệsở hữu%
Đầu tư vào tổ chức kinh tế,Đầu tư vào tổ chức kinh tế,Đầu tư vào tổ chức kinh tế,Đầu tư vào tổ chức kinh tế,Đầu tư vào tổ chức kinh tế,Đầu tư vào tổ chức kinh tế,Đầu tư vào tổ chức kinh tế,,,,
Công ty Cổ phần Vận tải ITRACO,Đầu tư vào tổ chức kinh tế > Công ty Cổ phần Vận tải ITRACO,Công ty Cổ phần Vận tải ITRACO,21,"0,64",21,"0,64",21.0,0.64,21.0,0.64
Công ty Cổ phần Đồng Xuân,Đầu tư vào tổ chức kinh tế > Công ty Cổ phần Đồng Xuân,Công ty Cổ phần Đồng Xuân,5.000,"10,00",5.000,"10,00",5000.0,10.0,5000.0,10.0
Công ty Cổ phần Đào tạo và Tư vấn Ngân hàng,Đầu tư vào tổ chức kinh tế > Công ty Cổ phần Đào tạo và Tư vấn Ngân hàng,Công ty Cổ phần Đào tạo và Tư vấn Ngân hàng,371,"5,29",371,"5,29",371.0,5.29,371.0,5.29
Công ty Cổ phần Thông tin tín dụng,Đầu tư vào tổ chức kinh tế > Công ty Cổ phần Thông tin tín dụng,Công ty Cổ phần Thông tin tín dụng,3.934,"3,28",3.934,"3,28",3934.0,3.28,3934.0,3.28
Công ty Cổ phần Cảng Sài Gòn,Đầu tư vào tổ chức kinh tế > Công ty Cổ phần Cảng Sài Gòn,Công ty Cổ phần Cảng Sài Gòn,185.276,"7,44",185.276,"7,44",185276.0,7.44,185276.0,7.44
Công ty Cổ phần Bảo hiểm OPES,Đầu tư vào tổ chức kinh tế > Công ty Cổ phần Bảo hiểm OPES,Công ty Cổ phần Bảo hiểm OPES,44.000,"11,00",33.000,"11,00",44000.0,11.0,33000.0,11.0
,,,238.602,,227.602,,238602.0,,227602.0,
Dự phòng đầu tư dài hạn khác,Đầu tư vào tổ chức kinh tế > Dự phòng đầu tư dài hạn khác,Dự phòng đầu tư dài hạn khác,(74.177),,(36.948),,-74177.0,,-36948.0,
,,,164.425,,190.654,,164425.0,,190654.0,
