row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2019Triệu đồng,%,Ngày 31 tháng 12năm 2018Triệu đồng,%_1,numeric__Ngày 31 tháng 12năm 2019Triệu đồng,numeric__%,numeric__Ngày 31 tháng 12năm 2018Triệu đồng,numeric__%_1
"Nông nghiệp, lâm nghiệp vàthủy sản","Nông nghiệp, lâm nghiệp vàthủy sản","Nông nghiệp, lâm nghiệp vàthủy sản",1.224.901,"0,64",1.149.359,"0,68",1224901.0,0.64,1149359.0,0.68
Khai khoáng,Khai khoáng,Khai khoáng,872.775,"0,45",391.618,"0,23",872775.0,0.45,391618.0,0.23
"Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo",12.299.785,"6,39",11.938.173,"7,10",12299785.0,6.39,11938173.0,7.1
"Sản xuất và phân phối điện, khídốt, nước nóng, hơi nước và điềuhoà không khí","Sản xuất và phân phối điện, khídốt, nước nóng, hơi nước và điềuhoà không khí","Sản xuất và phân phối điện, khídốt, nước nóng, hơi nước và điềuhoà không khí",2.500.209,"1,30",1.865.916,"1,11",2500209.0,1.3,1865916.0,1.11
"Cung cấp nước; hoạt động quảnlý và xử lý rác thải, nước thải","Cung cấp nước; hoạt động quảnlý và xử lý rác thải, nước thải","Cung cấp nước; hoạt động quảnlý và xử lý rác thải, nước thải",204.229,"0,11",216.406,"0,13",204229.0,0.11,216406.0,0.13
Xây dựng,Xây dựng,Xây dựng,21.607.181,"11,22",19.234.916,"11,44",21607181.0,11.22,19234916.0,11.44
"Bán buôn và bán lẻ; sửa chữa ôtô, mô tô, xe máy và xe có độngccơ khác","Bán buôn và bán lẻ; sửa chữa ôtô, mô tô, xe máy và xe có độngccơ khác","Bán buôn và bán lẻ; sửa chữa ôtô, mô tô, xe máy và xe có độngccơ khác",29.559.991,"15,35",24.644.053,"14,65",29559991.0,15.35,24644053.0,14.65
Vận tải kho bãi,Vận tải kho bãi,Vận tải kho bãi,7.286.253,"3,78",7.945.263,"4,72",7286253.0,3.78,7945263.0,4.72
Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,9.809.042,"5,09",9.902.603,"5,89",9809042.0,5.09,9902603.0,5.89
Thông tin và truyền thông,Thông tin và truyền thông,Thông tin và truyền thông,345.026,"0,18",396.897,"0,24",345026.0,0.18,396897.0,0.24
"Hoạt động tài chính, ngân hàngvà bảo hiểm","Hoạt động tài chính, ngân hàngvà bảo hiểm","Hoạt động tài chính, ngân hàngvà bảo hiểm",5.749.920,"2,98",3.469.632,"2,06",5749920.0,2.98,3469632.0,2.06
Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,20.535.962,"10,66",19.674.243,"11,69",20535962.0,10.66,19674243.0,11.69
"Hoạt động chuyên môn, khoa họcvà công nghệ","Hoạt động chuyên môn, khoa họcvà công nghệ","Hoạt động chuyên môn, khoa họcvà công nghệ",565.941,"0,29",638.907,"0,38",565941.0,0.29,638907.0,0.38
Hoạt động hành chính và dịch vụhỗ trợ,Hoạt động hành chính và dịch vụhỗ trợ,Hoạt động hành chính và dịch vụhỗ trợ,1.476.380,"0,77",1.563.129,"0,93",1476380.0,0.77,1563129.0,0.93
