row_label_raw,row_label_full,col_0,Quá hạnTriệu đồng,Không chịu lãiTriệu đồng,Đến 1 thángTriệu đồng,Từ 1 - 3 thángTriệu đồng,Từ 3 - 6 thángTriệu đồng,Từ 6 - 12 thángTriệu đồng,Từ 1 - 5 nămTriệu đồng,Trên 5 nămTriệu đồng,Tổng cộngTriệu đồng,numeric__Quá hạnTriệu đồng,numeric__Không chịu lãiTriệu đồng,numeric__Đến 1 thángTriệu đồng,numeric__Từ 1 - 3 thángTriệu đồng,numeric__Từ 3 - 6 thángTriệu đồng,numeric__Từ 6 - 12 thángTriệu đồng,numeric__Từ 1 - 5 nămTriệu đồng,numeric__Trên 5 nămTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,2.459.321,-,-,-,-,-,-,2.459.321,,2459321.0,,,,,,,2459321.0
Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Tài sản > Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,-,-,3.009.041,-,-,-,-,-,3.009.041,,,3009041.0,,,,,,3009041.0
Tiền gửi và cấp tin dụng cho các TCTD khác - gộp,Tài sản > Tiền gửi và cấp tin dụng cho các TCTD khác - gộp,Tiền gửi và cấp tin dụng cho các TCTD khác - gộp,-,-,11.194.644,4.737.643,1.838.970,622.340,28.457,-,18.422.054,,,11194644.0,4737643.0,1838970.0,622340.0,28457.0,,18422054.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,-,1.571.141,-,-,-,-,-,1.571.141,,,1571141.0,,,,,,1571141.0
Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,,,,,,,,,
tài chính khác,Các công cụ tài chính phải sinh và các tài sản > tài chính khác,tài chính khác,-,-,(1.828.524),(1.116.565),329.867,920.868,1.698.971,-,4.617,,,-1828524.0,-1116565.0,329867.0,920868.0,1698971.0,,4617.0
Cho vay khách hàng và mua nợ - gộp,Các công cụ tài chính phải sinh và các tài sản > Cho vay khách hàng và mua nợ - gộp,Cho vay khách hàng và mua nợ - gộp,2.662.480,-,146.502.619,30.087.446,7.537.992,5.040.280,3.868.646,994.045,196.693.508,2662480.0,,146502619.0,30087446.0,7537992.0,5040280.0,3868646.0,994045.0,196693508.0
Chứng khoán đầu tư - gộp,Các công cụ tài chính phải sinh và các tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,15.357,3.122.817,13.053.104,6.605.024,7.319.302,21.030.844,16.640.459,67.786.907,,15357.0,3122817.0,13053104.0,6605024.0,7319302.0,21030844.0,16640459.0,67786907.0
"Góp vốn, đầu tư dài hạn - gộp","Các công cụ tài chính phải sinh và các tài sản > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",-,7.905.637,-,-,-,-,-,-,7.905.637,,7905637.0,,,,,,,7905637.0
