row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận tảiTriệu đồng,Thiết bị dụngcụ quản lýTriệu đồng,Tài sản cố địnhkhácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận tảiTriệu đồng,numeric__Thiết bị dụngcụ quản lýTriệu đồng,numeric__Tài sản cố địnhkhácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,987.005,590.618,109.725,103.757,69.018,1.860.123,987005.0,590618.0,109725.0,103757.0,69018.0,1860123.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,6.564,2.428,3.402,-,12.394,,6564.0,2428.0,3402.0,,12394.0
Tăng/(giảm) khác,Nguyên giá > Tăng/(giảm) khác,Tăng/(giảm) khác,(15.149),112.620,5.666,29.783,4.655,137.575,-15149.0,112620.0,5666.0,29783.0,4655.0,137575.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(4.645),(180),(10.047),(5.287),(20.159),,-4645.0,-180.0,-10047.0,-5287.0,-20159.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,971.856,705.157,117.639,126.895,68.386,1.989.933,971856.0,705157.0,117639.0,126895.0,68386.0,1989933.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,25.454,379.546,72.645,77.119,46.214,600.978,25454.0,379546.0,72645.0,77119.0,46214.0,600978.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,25.755,101.413,13.070,21.006,11.617,172.861,25755.0,101413.0,13070.0,21006.0,11617.0,172861.0
Tăng khác,Giá trị hao mòn lũy kế > Tăng khác,Tăng khác,-,-,-,19,-,19,,,,19.0,,19.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(4.627),(180),(10.045),(5.196),(20.048),,-4627.0,-180.0,-10045.0,-5196.0,-20048.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,51.209,476.332,85.535,88.099,52.635,753.810,51209.0,476332.0,85535.0,88099.0,52635.0,753810.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,961.551,211.072,37.080,26.638,22.804,1.259.145,961551.0,211072.0,37080.0,26638.0,22804.0,1259145.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,920.647,228.825,32.104,38.796,15.751,1.236.123,920647.0,228825.0,32104.0,38796.0,15751.0,1236123.0
